id,name,party_id,party,email,term,image,source,birth_date,birth_place,area,commissions,identifier__kuvendi
13390,Alfred Peza,PS,Partia Socialist,alfred.peza@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Alfred-Peza-PS.jpg,http://www.parlament.al/deputet/alfred-peza/,,,,,13390
13400,Anduel Xhindi,PS,Partia Socialist,anduel.xhindi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Anduel-Xhindi-PS.jpg,http://www.parlament.al/deputet/anduel-xhindi/,,,,,13400
13404,Blerina Gjylameti,PS,Partia Socialist,blerina.gjylameti@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Blerina-Gjylameti-PS.jpg,http://www.parlament.al/deputet/blerina-gjylameti/,,,,,13404
13407,Vexhi Muçmataj,PS,Partia Socialist,vexhi.mucmataj@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Vexhi-Mu--mataj-PS.jpg,http://www.parlament.al/deputet/vexhi-mucmataj/,,,,,13407
13419,Luan Rama,LSI,Levizja Socialiste per Integrim,luan.rama@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Luan-Rama-LSI.jpg,http://www.parlament.al/deputet/luan-rama/,,,,,13419
13432,Aqif Rakipi,PDIU,"Partia per Dretjtesi, Integrim, Unitet",aqif.rakipi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Aqif-Rakipi-PDIU.jpg,http://www.parlament.al/deputet/aqif-rakipi/,,,,,13432
13433,Omer Mamo,PDIU,"Partia per Dretjtesi, Integrim, Unitet",omer.mamo@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Omer-Mamo-PDIU.jpg,http://www.parlament.al/deputet/omer-mamo/,,,,,13433
13447,Blendi Klosi,PS,Partia Socialist,blendi.klosi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Blendi-Klosi-PS.jpg,http://www.parlament.al/deputet/blendi-klosi/,,,,,13447
13469,Ervin Bushati,PS,Partia Socialist,ervin.bushati@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Ervin-Bushati-PS.jpg,http://www.parlament.al/deputet/ervin-bushati/,,,,,13469
13484,Anila Agalliu,PS,Partia Socialist,anila.agalliu@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Anila-Agalliu-PS.jpg,http://www.parlament.al/deputet/anila-agalliu/,,,,,13484
13486,Keltis Kruja,PD,Partia Demokratike,keltis.kruja@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Keltis-Kruja-PD.jpg,http://www.parlament.al/deputet/keltis-kruja/,,,,,13486
13496,Pjerin Ndreu,PS,Partia Socialist,pjerin.ndreu@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Pjerin-Ndreu-PS.jpg,http://www.parlament.al/deputet/pjerin-ndreu/,,,,,13496
13571,Mhill Fufi,PD,Partia Demokratike,mhill.fufi@parlament.al,8,http://www.parlament.al/wp-content/uploads/sites/4/2016/01/Mehill-Fufi-PR.jpg,http://www.parlament.al/deputet/mhill-fufi/,,,,,13571
