name,wikiname__sq,area,party,term,source,wikiname__en,id
Adelina Rista,"",Fier,PS,8,,,adelina_rista
Agron Duka,"",Durrës,PR,8,,,agron_duka
Agron Çela,"",Shkodër,LSI,8,,,agron_Çela
Alban Zeneli,"",Kukës,PD,8,,,alban_zeneli
Albana Vokshi,Albana Vokshi,Durrës,PD,8,,,albana_vokshi
Albina Deda,Albina Deda,Lezhë,PD,8,,,albina_deda
Aldo Bumçi,Aldo Bumçi,Lezhë,PD,8,,,aldo_bumçi
Alfred Peza,"",Elbasan,PS,8,,,alfred_peza
Anastas Angjeli,"",Gjirokastër,PS,8,,,anastas_angjeli
Andrea Marto,"",Vlorë,PS,8,,,andrea_marto
Anduel Xhindi,"",Fier,PS,8,,,anduel_xhindi
Anila Agalliu,"",Berat,PS,8,,,anila_agalliu
Aqif Rakipi,"",Elbasan,PDIU,8,,,aqif_rakipi
Arben Imami,Arben Imami,Elbasan,PD,8,,,arben_imami
Arben Ndoka,"",Lezhë,PS,8,,,arben_ndoka
Arben Ristani,Arben Ristani,Vlorë,PD,8,,,arben_ristani
Arben Çuko,Arben Çuko,Fier,PS,8,,,arben_Çuko
Ardian Turku,Ardian Turku,Elbasan,PD,8,,,ardian_turku
Armando Prenga,"",Lezhë,PS,8,,,armando_prenga
Armando Subashi,Armando Subashi,Fier,PS,8,,,armando_subashi
Arta Dade,Arta Dade,Korçë,PS,8,,,arta_dade
Artan Gaçi,"",Tiranë,PS,8,,,artan_gaçi
Artur Bushi,"",Durrës,PS,8,,,artur_bushi
Astrit Patozi,Astrit Patozi,Vlorë,PD,8,,,astrit_patozi
Astrit Veliaj,Astrit Veliaj,Berat,PD,8,,,astrit_veliaj
Bashkim Fino,Bashkim Fino,Fier,PS,8,,,bashkim_fino
Bashkim Fino,Bashkim Fino,Korçë,PS,8,,,bashkim_fino
Bedri Hoxha,Bedri Hoxha,Dibër,PD,8,,,bedri_hoxha
Bedri Mihaj,"",Fier,PD,8,,,bedri_mihaj
Ben Blushi,Ben Blushi,Elbasan,PS,8,,,ben_blushi
Besnik Baraj,"",Tiranë,PS,8,,,besnik_baraj
Besnik Dushaj,Besnik Dushaj,Kukës,PD,8,,,besnik_dushaj
Blendi Klosi,Blendi Klosi,Durrës,PS,8,,,blendi_klosi
Blerina Gjylameti,"",Tiranë,PS,8,,,blerina_gjylameti
Bujar Derveni,"",Durrës,LSI,8,,,bujar_derveni
Bujar Kllogjri,"",Elbasan,LSI,8,,,bujar_kllogjri
Dashamir Kamberi,"",Gjirokastër,PS,8,,,dashamir_kamberi
Dashamir Peza,"",Tiranë,PS,8,,,dashamir_peza
Dashamir Shehi,"",Tiranë,PD,8,,,dashamir_shehi
Dashamir Tahiri,Dashamir Tahiri,Vlorë,PDIU,8,,,dashamir_tahiri
Edi Paloka,Edi Paloka,Tiranë,PD,8,,,edi_paloka
Edi Rama,Edi Rama,Vlorë,PS,8,,,edi_rama
Edmond Spaho,Edmond Spaho,Korçë,PD,8,,,edmond_spaho
Eduard Halimi,Eduard Halimi,Durrës,PD,8,,,eduard_halimi
Eduard Selami,Eduard Selami,Elbasan,PD,8,,,eduard_selami
Eduard Shalsi,Eduard Shalsi,Berat,PS,8,,,eduard_shalsi
Eduart Bejko,"",Berat,PS,8,,,eduart_bejko
Eleina Qirici,Eleina Qirici,Korçë,PD,8,,,eleina_qirici
Enkelejd Alibeaj,Enkelejd Alibeaj,Fier,PD,8,,,enkelejd_alibeaj
Enkelejda Shkreli,"",Tiranë,PS,8,,,enkelejda_shkreli
Erion Braçe,Erion Braçe,Fier,PS,8,,,erion_braçe
Erjeta Alhysa,"",Tiranë,PS,8,,,erjeta_alhysa
Ervin Bushati,"",Tiranë,PS,8,,,ervin_bushati
Ervin Koçi,Ervin Koçi,Fier,PS,8,,,ervin_koçi
Esmeralda Shkjau,"",Durrës,PS,8,,,esmeralda_shkjau
Evis Kushi,"",Elbasan,PS,8,,,evis_kushi
Fatmir Mehdiu,"",Korçë,PD,8,,,fatmir_mehdiu
Fatmir Toçi,Fatmir Toçi,Vlorë,PS,8,,,fatmir_toçi
Fatmir Xhafaj,"",Tiranë,PS,8,,,fatmir_xhafaj
Fidel Ylli,Fidel Ylli,Berat,PS,8,,,fidel_ylli
Flamur Noka,Flamur Noka,Kukës,PD,8,,,flamur_noka
Florjon Mima,Florjon Mima,Tiranë,PD,8,,,florjon_mima
Genc Pollo,Genc Pollo,Berat,PD,8,,,genc_pollo
