uuid,female,male,other,skip,total
77f036f7-c8ca-4388-be74-74aea27b7652,,21,1,,22
a11887ce-2c42-4555-bfd9-0843f3a9ced0,,21,1,,22
4703e873-67fd-4322-9659-39f6d47b8eab,,21,1,,22
66d1f769-3e52-40cb-9ddb-1e5ffbec8456,,21,1,,22
061ae887-8e7f-45be-9ef2-84a18fd4dd45,,21,1,,22
b9a6c59e-a3cf-406e-88b8-9bba70ffbb30,,19,1,2,22
6baacce2-655a-493f-883a-29feea8a799d,,21,1,,22
a3833a8a-61b0-415a-a459-b6726d916f7b,,21,1,,22
48723cfe-9970-4ce7-92da-ff6b91dfa2b5,,21,1,,22
70b26d38-ae65-4e90-9a99-15b948b9784b,18,,1,3,22
