uuid,female,male,other,skip,total
88c63947-6999-42a5-a4fe-fe3ebc9a9443,,25,,1,26
b4c423b8-2afd-482c-b0fb-b6300c7eff28,,23,,1,24
247fb02b-0c86-42c5-8191-8a7c863fca1d,,24,,1,25
f344d681-6b37-4e41-b577-46156258a82a,24,,,1,25
dbb2389e-db6d-4c1a-94a5-96f3a6165abe,23,,,1,24
79ae676b-b2f8-4e11-bef5-2786189d0369,,26,,1,27
1db086ba-889f-44e4-9d30-2cbd3797ba74,25,1,,1,27
451e8dae-103d-4279-82dd-70d3fe2cb32c,,25,,1,26
1b37f649-ecab-4329-8acb-e229fd6413cc,26,,,,26
699e8761-8b97-47a3-b246-da2423bf4e0c,,22,1,1,24
c47a85be-ee9a-4748-b733-d46133578419,26,,,,26
5e1cc899-f864-4574-b6a0-945020a47361,,25,,1,26
a8461db0-9f16-4ff2-8378-dbd3840aded8,,13,1,11,25
460b5f40-84df-4ec6-9861-3e44bab5ac6a,,26,,,26
efd76dab-ba43-4547-846d-ef56f852b860,26,,,,26
610798d8-3001-4fe0-985e-ee2829b46f8c,,26,,1,27
ffb9e650-d760-4db5-9581-1a271d08a07b,,25,,,25
928dce4e-1bc3-4fce-80e8-4b614dc7aa53,23,,,2,25
d7f9640e-dc24-419b-a267-038d11111f7b,24,,,1,25
8e3495a4-7cfc-43ce-8a8c-f17025f6a1da,1,26,,,27
51c1934c-f613-42e1-9703-6992f090cfb7,1,23,,,24
8db7e637-e7bd-427e-aaff-426c29d98113,26,,,,26
a7dc2acf-7869-45b5-aa36-398847607ffa,,25,,,25
593e6c88-87df-47f0-b69f-36a6b88942e5,,24,,,24
c82b8056-313f-45f5-bdd0-25549944e19a,25,,,,25
99094dbe-f905-4966-a99a-39824125701b,26,,,,26
b421423a-7b23-44c8-918f-0d569d4618dc,1,13,1,9,24
76156012-95d5-4927-96c7-0f09021a69e8,,24,,1,25
