uuid,female,male,other,skip,total
438b8680-aede-4d7a-bd85-a958f92f8477,,13,,,13
595c01ca-6031-43c9-8e09-28db6a46f8ef,,13,,,13
dfe521dd-da46-425f-b35e-cdbe5d0b90ab,,13,,,13
cae0056b-d307-4e4e-af35-7d5ecb546f90,,13,,,13
4e5151e1-0c86-4b67-aa3b-7a1063d3c457,13,,,,13
4e7dfbaa-06fe-42a6-b02c-ab22d24aa63f,,13,,,13
f4528dba-b447-47ea-b2ba-5cc4370e0fde,,13,,,13
ebd6fbd8-7333-47d2-b42e-e7aa33f98127,,13,,,13
ef49ca33-2b19-4990-93e6-4485f5c3b577,,13,,,13
9d38ae91-b2b7-46a3-b1ca-6d0fa5710104,,13,,,13
1fea7c08-2471-42e4-ae62-828302bda765,,13,,,13
b6fd4f57-2860-4933-b3b0-6fb2c7272577,,13,,,13
5613b468-ad73-48f0-bff7-51d2c1c93465,,13,,,13
39fdba26-f8e5-4e30-a037-b12670f218f8,,13,,,13
c14320e5-207f-4ef3-857a-98d8f740eb5a,13,,,,13
3a283491-31ff-4779-9ddb-623b6c2bc253,,13,,,13
e61eec3d-2138-451a-8a70-b9bc81ab45fa,,13,,,13
a6028e21-7d91-4eea-a4c7-d437f2d7bcb7,,12,,,12
aea860bb-071f-4849-b716-86020acb818d,,12,,,12
6345b1a3-d20b-472e-876f-51955ef80932,12,,,,12
e93f12a2-b1c6-4296-bd30-a07f3fbc34f4,,12,,,12
7863e0da-b04d-4c24-82cb-ac016fce3c31,,12,,,12
c81df4ca-ba1c-4d5b-ac61-4241b07549eb,,12,,,12
07a4a99c-64bb-4d68-9050-bcb85229bf1f,,12,,,12
50f51dd4-759e-4556-992d-d39f70d2c2b3,,12,,,12
83d02920-3f31-4bea-9786-0d0a6e96e687,,9,,1,10
1a8451cc-a32c-43f2-9cdc-3d7dffcf7a8a,,8,,,8
aa85cc64-6b38-4158-a513-026fb532d059,,8,,1,9
902900e3-fa33-4283-b296-081198f3e794,,6,,2,8
69536166-32a6-4e6d-bf83-85628ab56389,,4,,2,6
7d75da03-7f82-4774-a4ed-a74a96c9d872,,4,,2,6
21035fa2-eb63-4f14-a036-2622f1e9183b,1,2,,3,6
b1aaffed-0c7b-4f3c-8228-6b85d0a194df,,1,1,4,6
571f8ac4-820c-428f-a464-da227629c809,,4,,2,6
f9f60ae2-543b-47aa-9af6-01933b4be573,,3,,3,6
65c01a15-0659-48fe-99fb-144272dab310,,3,1,2,6
fffde83d-8d46-4f5e-86a2-11cc365f2e2d,,4,,2,6
2c35ade3-32ab-4101-a545-5810046f1513,,5,,1,6
46ecd21d-8257-48d9-99f0-674ee1b0deca,,2,,1,3
1d7b7f2c-8a54-4cae-be45-2ab3882125ab,,3,,,3
aef3b9ab-e405-4940-b850-f1e193cca3e4,1,,,2,3
c1a4b5df-9c7b-480a-aca0-58b8740b5d71,,2,,1,3
ac24ca3b-a03a-4884-b961-a89c123a8e7b,,2,,1,3
7fb6cd04-762b-49bd-9d81-201959608849,,2,,1,3
9ade60f8-7d0c-45cd-aef5-0f0296e3b175,1,,1,1,3
4b4a85cc-79d1-4cba-bd91-88ec7677c233,,2,,1,3
c54d6032-bc49-49a2-bc6b-cbe7cf486221,,2,,1,3
379d432e-977d-409c-94f2-e142c88c29d5,,2,,1,3
2285ced8-5b82-45db-be27-face93c707a7,,2,,1,3
facd7580-ee83-4367-a460-fbb1559a2133,,2,,1,3
b51efbbf-e840-4935-9ccc-3053f7d8c750,,3,,,3
986fd0f0-5fce-4232-b6d2-39801da82496,,3,,,3
72e1de8e-399f-4671-84a6-b7d4f6923846,,3,,,3
309b3ce7-0d62-4717-812f-77a1a653dd6d,,3,,,3
5a2df409-abae-4aa2-92d8-0e91bb9e325f,,3,,,3
e1ff6978-0a97-49ae-9b49-b50c105a3adf,,3,,,3
76ac6f79-50e7-40fa-b045-f5114d9c66ba,,2,1,,3
593ab7f7-02bd-4b69-b9df-f1721f26c17f,,1,1,1,3
6e05a518-48c3-45c0-ba18-15e6fd659ca2,,3,,,3
83753517-78d3-4a13-b172-349fff49ad68,,3,,,3
89055206-89c5-4ec5-b204-9864fa1cbe6f,,3,,,3
c9df5f07-fe99-4771-aa63-1f597a7e0313,,2,,1,3
ca88d8cf-bbdf-4082-be48-a4ee3c5b4825,,2,1,,3
