id,wikidata
frente_para_la_victoria_-_pj,Q1072438
union_pro,Q1507720
ucr,Q123585
federal_unidos_por_una_nueva_argentina,Q15120034
justicialista,Q1053668
partido_socialista,Q1813766
frente_civico_por_santiago,Q5869316
compromiso_federal,Q5668474
gen,Q5692773
coalicion_civica,Q1104292
mov_pop_neuquino,Q7002024
frente_civico_y_social_de_catamarca,Q7248613
libres_del_sur,Q5501084
frente_de_izquierda_y_de_los_trabajadores,Q598744
frente_renovador,Q15120034
solidario_si,Q6064404
pts_-_frente_de_izquierda,Q7551801
democrata_progresista,Q287777
concertacion_forja,Q5870697
partido_bloquista_de_san_juan,Q6156958
