uuid,female,male,other,skip,total
0e0edf7d-f095-4366-91c2-55c59bc86e77,1,0,0,0,1
1797ee71-00eb-4c8c-9106-18d3b065df62,1,0,0,0,1
18e3f210-0650-4eb2-8176-56fd7ca38297,0,1,0,0,1
1ddf933a-b7cb-4ab9-afd6-49c22a4a86de,1,0,0,0,1
22643c2a-98e2-46e7-a852-a28e73326373,0,1,0,0,1
239aee0f-e3fc-493d-9c51-e9735c02bdeb,0,1,0,0,1
28bac915-8b4d-4bce-bf5f-df4a5521f6bf,1,0,0,0,1
2bd17cd7-f279-4f73-b01d-0801a6fde436,1,0,0,0,1
32cc7a2d-7210-4545-a47b-ce6950f722f3,0,1,0,0,1
3bc9d6b8-c318-4c94-9fbd-7292f4e0e218,1,0,0,0,1
45f80f3f-d1d4-407c-acaf-2b0cddbef848,1,0,0,0,1
49eaf48e-d8af-4dad-9f3d-9232abb2264d,1,0,0,0,1
5314ce21-bdc2-43b4-bc6b-9497397410fb,1,0,0,0,1
56e4cd5e-94f2-4568-8e74-6edb33344326,1,0,0,0,1
5c377688-0307-45af-b65f-6d78dbe49d75,0,1,0,0,1
7569bf33-3a40-4990-b081-d001f1bf5c51,0,1,0,0,1
75e3d799-25e4-4851-a27c-33e3cf946887,0,1,0,0,1
77bfd598-e4a9-48ef-b69d-d48f8bb741cb,0,1,0,0,1
7ddb3ad3-614b-4a31-ba84-e24c5ebf8263,1,0,0,0,1
85ac0058-497a-4b81-b698-a404a7810492,1,0,0,0,1
867fff17-9f4d-467b-acf4-80406b66f13b,0,1,0,0,1
86fbd268-3876-42cb-abc3-c8ab16513515,0,1,0,0,1
9238f0f0-e203-482a-9754-92d512607fb5,0,1,0,0,1
9b8f9531-fac4-4d52-8d6a-583af7759e66,1,0,0,0,1
9dfc4306-da49-4491-831e-cb4a2defe1b6,0,1,0,0,1
ac42a597-a4a6-4308-9cf2-93c685b332e3,1,0,0,0,1
c4b4c18f-0b61-4b0b-8951-8905dc7299df,1,0,0,0,1
c7e0cdd0-c848-4555-a055-d4045aec4716,1,0,0,0,1
d28cfea9-4fa2-4faa-8acf-ba103a66fa0c,0,1,0,0,1
dc772dcc-84bc-4daa-afca-1dc987e91a93,1,0,0,0,1
ef43d63c-b5a6-4a58-80bb-442cd03f623c,1,0,0,0,1
f003f504-1b4e-411a-80dd-fa08f8ebd306,1,0,0,0,1
f4e826fd-6e3f-4dbe-9c13-9ab26a65b306,1,0,0,0,1
f7d25720-f6c0-4f4d-9243-5248d3a22503,0,1,0,0,1
f91fe30e-f02b-4d64-b209-1d737bed25ac,0,1,0,0,1
fac042de-4931-40f9-b51a-6c8aeb7248a1,1,0,0,0,1
