uuid,female,male,other,skip,total
39dd4c49-f329-4fb3-976d-fd8cbb563b9f,,29,1,1,31
bc3e14b5-ca1f-47cb-89ef-9f2d0febbb6d,,30,,1,31
cdbd90ad-9f19-4c7a-bf47-dc9bbda4367e,29,1,,1,31
507def8c-f3fd-4be5-8937-4ceaa26520ae,,30,,1,31
8b96a7d6-f769-49d4-b577-1c6a76de1d88,,30,,1,31
2b2081df-2fe3-43d5-9886-c8d01bef443e,30,,1,,31
9a016d4d-f26b-4b85-a026-f2eba23de3b8,1,30,,,31
35fb4043-6d9f-4bfd-8130-1284b7ea8e02,,31,,,31
9cc86928-c79f-4c35-860b-671c72205585,30,1,,,31
26c73bfa-9bd8-43e0-99d7-9183da991280,31,,,,31
4d24a721-a2c3-411e-bf4b-6bcbdb9876ba,,31,,,31
34b7af42-fa68-4e04-9a16-92a7cdd1082b,31,,,,31
e5965652-0ceb-4f21-a435-5883c8207885,,31,,,31
dd773e82-9df9-4d82-9b56-165af6a07f38,,31,,,31
4c341988-b484-4e11-9383-11f3770a22d8,30,1,,,31
4cf9b2ae-54c9-4fce-82a3-84e71ede51ca,,31,,,31
8b0c6b42-84f5-4886-a026-0353b6a32cf4,,31,,,31
798bb3bc-e9a4-4faa-9694-3a2ed4ce0bed,31,,,,31
e930bdf9-1e7b-472b-adb2-9816c9f1cef8,,31,,,31
3375e2b5-b29f-48b4-a5c0-b30b6b703745,,31,,,31
41e4f552-da12-45d9-b849-0bc36e1bb006,,31,,,31
3f7e5adc-979c-418b-950b-4731079c2cf7,31,,,,31
092e4ca5-d575-4f04-9d1d-66f6ba1e8203,,31,,,31
d78e6905-f642-405e-991c-b81a8f8449ad,31,,,,31
011f00b2-70b7-49c4-a55e-8cbda1ab3a38,,31,,,31
3812108f-9ee7-4972-948e-44e3d23a3982,31,,,,31
c43e89a3-e635-4eae-a186-1b0d4802e0fa,,31,,,31
08d1256c-cb2d-4115-bca3-88d19a2bb414,,31,,,31
b6b705a5-0355-4f1c-8951-273aed19156d,,31,,,31
143868a4-a562-4d3b-b50c-e134e4eb2b5b,,31,,,31
5f5d2117-0942-4dca-841c-1720d1ace335,,31,,,31
fa6d6ed9-90d9-4225-a8c6-95cbe7528c39,,31,,,31
