id,wikidata
australian_labor_party,Q216082
liberal_party,Q241149
liberal_party_of_australia,Q241149
country_liberal_party,Q2496080
australian_greens,Q781486
palmer_united_party,Q15130081
the_nationals,Q946040
australian_greens,Q781486
australian_motoring_enthusiast_party,Q14866895
liberal_democratic_party,Q6540624
australian_democrats,Q781392
family_first_party,Q1395400
nuclear_disarmament_party,Q7067936
glenn_lazarus_team,Q15130081
national_party,Q946040
independent,Q327591
pauline_hanson's_one_nation_party,Q1585274
national_country_party,Q946040
