id,name,sort_name,given_name,family_name,area,party,source,identifier__aph,email,website,facebook,twitter,start_date,end_date,term,wikipedia,wikipedia_name,identifier__openaustralia
N26,Eric Abetz,"Abetz, Eric",Eric,Abetz,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,N26,"",http://abetz.com.au/,http://www.facebook.com/SenatorAbetz,http://twitter.com/SenatorAbetz,2013-09-07,,44,,,10003
G0D,Cory Bernardi,"Bernardi, Cory",Cory,Bernardi,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,G0D,"",http://www.senatorbernardi.com/,"","",2013-09-07,,44,,,10038
H6X,Simon Birmingham,"Birmingham, Simon",Simon,Birmingham,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6X,"",http://www.senatorbirmingham.com.au/,https://facebook.com/simonbirmingham,https://twitter.com/Birmo,2013-09-07,,44,,,10044
2L6,Mark Bishop,"Bishop, Mark",Mark,Bishop,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,2L6,senator.bishop@aph.gov.au,http://www.senatormarkbishop.com.au,"","",2013-09-07,2014-06-30,44,,,10048
YE4,Ron Boswell,"Boswell, Ron",Ron,Boswell,Queensland,National Party,http://data.openaustralia.org/members/senators.xml,YE4,senator.boswell@aph.gov.au,http://www.ronboswell.com/,"","",2013-09-07,2014-06-30,44,,,10057
H6V,Sue Boyce,"Boyce, Sue",Sue,Boyce,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,H6V,"",http://www.sueboyce.com.au/,"","",2013-09-07,2014-06-30,44,,,10062
008W7,George Brandis,"Brandis, George",George,Brandis,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,008W7,senator.brandis@aph.gov.au,"","","",2013-09-07,,44,,,10067
F49,Carol Brown,"Brown, Carol",Carol,Brown,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,F49,senator.carol.brown@aph.gov.au,http://www.alp.org.au/carol_brown,"","",2013-09-07,,44,,,10071
HLL,David Bushby,"Bushby, David",David,Bushby,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,HLL,"",http://www.davidbushby.com.au/,"","",2013-09-07,,44,,,10085
AW5,Kim Carr,"Carr, Kim",Kim,Carr,Victoria,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,AW5,senator.carr@aph.gov.au,"","","",2013-09-07,,44,,,10103
00AOL,Richard Colbeck,"Colbeck, Richard",Richard,Colbeck,Tasmania,Liberal Party,http://data.openaustralia.org/members/senators.xml,00AOL,senator.colbeck@aph.gov.au,"","","",2013-09-07,,44,,,10131
GB6,Jacinta Collins,"Collins, Jacinta",Jacinta,Collins,Victoria,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,GB6,"","","","",2013-09-07,,44,,,10135
3L6,Stephen Conroy,"Conroy, Stephen",Stephen,Conroy,Victoria,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,3L6,senator.conroy@aph.gov.au,"","","",2013-09-07,,44,,,10142
HDA,Mathias Cormann,"Cormann, Mathias",Mathias,Cormann,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,HDA,"",http://www.mathiascormann.com.au,"","",2013-09-07,,44,,,10148
4L6,Alan Eggleston,"Eggleston, Alan",Alan,Eggleston,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,4L6,senator.eggleston@aph.gov.au,http://www.senatoralaneggleston.com/,"","",2013-09-07,2014-06-30,44,,,10193
5K4,John Faulkner,"Faulkner, John",John,Faulkner,NSW,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,5K4,senator.faulkner@aph.gov.au,http://www.senatorjohnfaulkner.com.au,"","",2013-09-07,2015-02-06,44,,,10214
DYU,David Fawcett,"Fawcett, David",David,Fawcett,SA,Liberal Party,http://data.openaustralia.org/members/senators.xml,DYU,senator.fawcett@aph.gov.au,http://www.senator.fawcett.net.au,"","",2013-09-07,,44,http://en.wikipedia.org/wiki/David_Fawcett,David Fawcett,10215
e4t,Concetta Fierravanti-Wells,"Fierravanti-Wells, Concetta",Concetta,Fierravanti-Wells,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,e4t,Concetta.Fierravanti-Wells@dfat.gov.au,http://ministers.dfat.gov.au/fierravanti-wells/Pages/default.aspx,"","",2013-09-07,,44,,,10222
D2I,Mitch Fifield,"Fifield, Mitch",Mitch,Fifield,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,D2I,"",http://www.mitchfifield.com/,https://www.facebook.com/SenatorFifield,https://twitter.com/SenatorFifield,2013-09-07,,44,,,10224
C16,Bill Heffernan,"Heffernan, Bill",Bill,Heffernan,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,C16,"",http://www.billheffernan.com.au/,"","",2013-09-07,,44,,,10296
7L6,John Hogg,"Hogg, John",John,Hogg,Queensland,PRES,http://data.openaustralia.org/members/senators.xml,7L6,senator.hogg@aph.gov.au,"","","",2013-09-07,2014-06-30,44,,,10309
00AON,David Johnston,"Johnston, David",David,Johnston,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,00AON,"","","","",2013-09-07,,44,,,10344
84N,Joe Ludwig,"Ludwig, Joe",Joe,Ludwig,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,84N,"",http://www.joeludwig.org,"","",2013-09-07,,44,,,10397
7G6,Kate Lundy,"Lundy, Kate",Kate,Lundy,ACT,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,7G6,senator.lundy@aph.gov.au,http://www.katelundy.com.au/,"","",2013-09-07,2015-03-24,44,,,10398
YW4,Ian Macdonald,"Macdonald, Ian",Ian,Macdonald,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,YW4,"",http://www.senatormacdonald.org/,"","",2013-09-07,,44,,,10401
00AOP,Gavin Marshall,"Marshall, Gavin",Gavin,Marshall,Victoria,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,00AOP,senator.marshall@aph.gov.au,http://www.gavinmarshall.org/,"","",2013-09-07,2014-07-06,44,,,10419
00AOP,Gavin Marshall,"Marshall, Gavin",Gavin,Marshall,Victoria,DPRES,http://data.openaustralia.org/members/senators.xml,00AOP,senator.marshall@aph.gov.au,http://www.gavinmarshall.org/,"","",2014-07-07,,44,,,10419
84M,Brett Mason,"Mason, Brett",Brett,Mason,Queensland,Liberal Party,http://data.openaustralia.org/members/senators.xml,84M,senator.mason@aph.gov.au,"","","",2013-09-07,2015-04-15,44,,,10423
e5e,Anne McEwen,"McEwen, Anne",Anne,McEwen,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,e5e,senator.mcewen@aph.gov.au,"","","",2013-09-07,,44,,,10433
84L,Jan McLucas,"McLucas, Jan",Jan,McLucas,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,84L,senator.mclucas@aph.gov.au,http://www.janmclucas.net/,"","",2013-09-07,,44,,,10447
ka5,Christine Milne,"Milne, Christine",Christine,Milne,Tasmania,Australian Greens,http://data.openaustralia.org/members/senators.xml,ka5,senator.milne@aph.gov.au,http://www.christinemilne.org.au/,"","",2013-09-07,2015-08-10,44,,,10458
00AOQ,Claire Moore,"Moore, Claire",Claire,Moore,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,00AOQ,"",http://www.clairemoore.net/,"","",2013-09-07,,44,,,10463
e5g,Fiona Nash,"Nash, Fiona",Fiona,Nash,NSW,National Party,http://data.openaustralia.org/members/senators.xml,e5g,"",http://www.fionanash.com.au/,"","",2013-09-07,,44,,,10478
e5v,Stephen Parry,"Parry, Stephen",Stephen,Parry,Tasmania,DPRES,http://data.openaustralia.org/members/senators.xml,e5v,senator.parry@aph.gov.au,http://www.stephenparry.com.au,"","",2013-09-07,2014-07-06,44,,,10507
e5v,Stephen Parry,"Parry, Stephen",Stephen,Parry,Tasmania,PRES,http://data.openaustralia.org/members/senators.xml,e5v,senator.parry@aph.gov.au,http://www.stephenparry.com.au,"","",2014-07-07,,44,,,10507
M56,Marise Payne,"Payne, Marise",Marise,Payne,NSW,Liberal Party,http://data.openaustralia.org/members/senators.xml,M56,minister@defence.gov.au,http://www.marisepayne.com/,"","",2013-09-07,,44,,,10509
e5x,Helen Polley,"Polley, Helen",Helen,Polley,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,e5x,senator.polley@aph.gov.au,http://www.senatorhelenpolley.com.au/,"","",2013-09-07,,44,,,10515
xt4,Michael Ronaldson,"Ronaldson, Michael",Michael,Ronaldson,Victoria,Liberal Party,http://data.openaustralia.org/members/senators.xml,xt4,"","",https://www.facebook.com/senronno,https://twitter.com/senronno,2013-09-07,2016-02-28,44,,,10550
00AOM,Nigel Scullion,"Scullion, Nigel",Nigel,Scullion,NT,Country Liberal Party,http://data.openaustralia.org/members/senators.xml,00AOM,senator.scullion@aph.gov.au,http://www.nigelscullion.com/,"","",2013-09-07,,44,,,10569
e5z,Rachel Siewert,"Siewert, Rachel",Rachel,Siewert,WA,Australian Greens,http://data.openaustralia.org/members/senators.xml,e5z,senator.siewert@aph.gov.au,http://www.rachelsiewert.org.au/,"","",2013-09-07,,44,,,10584
00AOS,Ursula Stephens,"Stephens, Ursula",Ursula,Stephens,NSW,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,00AOS,senator.stephens@aph.gov.au,http://www.ursulastephens.com/,"","",2013-09-07,2014-06-30,44,,,10609
e68,Glenn Sterle,"Sterle, Glenn",Glenn,Sterle,WA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,e68,senator.sterle@aph.gov.au,"","","",2013-09-07,,44,,,10610
00AOU,Penny Wong,"Wong, Penny",Penny,Wong,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,00AOU,"",http://www.pennywong.com.au/,"","",2013-09-07,,44,,,10678
HZB,Catryna Bilyk,"Bilyk, Catryna",Catryna,Bilyk,Tasmania,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,HZB,"",http://www.catrynabilyk.com,"","",2013-09-07,,44,,,10705
AI6,Doug Cameron,"Cameron, Doug",Doug,Cameron,NSW,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,AI6,senator.cameron@aph.gov.au,http://dougcameron.com.au,http://facebook.com/senator.doug.cameron,"",2013-09-07,,44,,,10706
I0M,Michaelia Cash,"Cash, Michaelia",Michaelia,Cash,WA,Liberal Party,http://data.openaustralia.org/members/senators.xml,I0M,"","","","",2013-09-07,,44,,,10707
I0N,Don Farrell,"Farrell, Don",Don,Farrell,SA,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,I0N,"","","","",2013-09-07,2014-06-30,44,,,10708
I0P,Mark Furner,"Furner, Mark",Mark,Furner,Queensland,Australian Labor Party,http://data.openaustralia.org/members/senators.xml,I0P,"",http://www.markfurner.com/,"","",2013-09-07,2014-06-30,44,,,10710
