id,name__az,name,name__en,gender,birth_date,given_name,identifier__PACE,identifier__VIAF,image,identifier__freebase,website,identifier__LCAuth,death_date,wikipedia__az,wikipedia__en,name__ru,name__hy,name__pl,wikipedia__commons,wikipedia__ru,name__fr,name__it,name__de,name__tr,name__es,name__nl,wikipedia__azwikiquote,wikipedia__tr,name__cs,name__fa,name__id,name__ka,name__ms,name__sv,name__zh,name__be,wikipedia__be,wikipedia__cs,wikipedia__fa,wikipedia__fr,wikipedia__hy,wikipedia__id,wikipedia__it,wikipedia__ka,wikipedia__ms,wikipedia__pl,wikipedia__sv,wikipedia__zh,name__ro,wikipedia__de,wikipedia__ro,name__ca,name__oc,name__en_gb,wikipedia__azwikibooks,wikipedia__es,name__uk,wikipedia__uk,wikipedia__gag,name__gag,original_wikiname,identifier__BNF,identifier__SUDOC,identifier__ISNI,identifier__NUKAT,identifier__LNB,identifier__FAST,name__hu,last_seen
Q12835357,Abel Məhərrəmov,Abel Məhərrəmov,Abel Maharramov,male,,Abel,,,,,,,,Abel Məhərrəmov,,"Магеррамов, Абель Мамедали оглы",Աբել Մահարրամով,Abel Maharramov,Category:Abel Məhərrəmov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abel Məhərrəmov,,,,,,,,2016-03-27
Q12835439,Adil Əliyev,Adil Əliyev,,male,1969,,,,,,,,,Adil Əliyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adil Əliyev,,,,,,,,2016-03-27
Q12836122,Asəf Hacıyev,Asəf Hacıyev,,male,,,,,,,,,,Asəf Hacıyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asəf Hacıyev,,,,,,,,2016-03-27
Q12836332,Azər Kərimli,Azər Kərimli,,,,,,,,,,,,Azər Kərimli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azər Kərimli,,,,,,,,2016-03-27
Q12836966,Ağacan Abiyev,Ağacan Abiyev,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/2c/Ağacan_Abiyev_Polşa_Senatında.JPG,,,,,Ağacan Abiyev,,,,,Category:Ağacan Abiyev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ağacan Əbiyev,,,,,,,,2016-03-27
Q12838167,Ceyhun Osmanlı,Ceyhun Osmanlı,,,,,,,,,,,,Ceyhun Osmanlı,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceyhun Osmanlı,,,,,,,,2016-03-27
Q12839020,Eldar İbrahimov,Eldar İbrahimov,,male,,,,,,,,,,Eldar İbrahimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eldar İbrahimov,,,,,,,,2016-03-27
Q12839099,Elmira Axundova,Elmira Axundova,,female,,,,,,,,,,Elmira Axundova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elmira Axundova,,,,,,,,2016-03-27
Q12839143,Elton Məmmədov,Elton Məmmədov,,,,,,,,,,,,Elton Məmmədov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elton Məmmədov,,,,,,,,2016-03-27
Q12839470,Fazil Mustafa,Fazil Mustafa,,female,,,,,,,,,,Fazil Mustafa,,,,,,,,Fazil Mustafa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fazil Mustafa,,,,,,,,2016-03-27
