uuid,female,male,other,skip,total
bf80cc77-50cf-4026-8953-5126db91ed76,,1,,,1
fbc7c142-d11b-499b-8ce3-5b157289fb53,,1,,,1
2e433662-3be3-449c-85dc-9e3e4e4718b7,,1,,,1
dcd1a356-a7e6-409b-8028-27fea2691105,,1,,,1
4076d906-cedc-468b-b106-1bf1a83afd12,,1,,,1
bf4d389a-fd1a-4a8e-8edc-d9c178caf78c,,1,,,1
a7a8d355-b7f7-4f2c-b077-47def1f3f60d,,1,,,1
80f062aa-b092-4ed0-8aaa-a6cf5d86bfe4,1,,,,1
a0bd764c-7ca1-4f66-8cb6-6ead9d84c5e8,,1,,,1
7c16b927-18ea-4555-b68d-fc087065570f,,1,,,1
d5c68954-2cf6-4a38-b2b5-8c6abbf6e93e,,1,,,1
fec01322-1e2b-4a32-a06c-2155bf4c36ea,,1,,,1
fbca8d53-3f82-445d-8dae-91c70c1753ce,,1,,,1
4932323d-dcc8-4af8-b89c-db1d465af75c,1,,,1,2
4a7bfd46-3b03-46ec-957f-3ef526b04bbe,,,,1,1
b6aad8fc-4d16-4e10-873e-8b214e388373,,1,,,1
