uuid,female,male,other,skip,total
b3b8c248-94ac-4bbf-8d7b-79d2f2790a1b,,4,,,4
25f3ae7f-99bc-4a28-a4f4-9730b367629a,,4,,,4
829da266-fa5f-4a99-8298-c795947450db,,4,,,4
d3f88700-e86a-400a-a2f5-d0fea8c97931,4,,,,4
3214b6eb-291c-46f2-91f3-2ec1d000d41b,,4,,,4
7a51987c-1bf9-4b52-9e83-537e2b0414e9,,4,,,4
32113dc1-f976-4364-8a07-86a623bafb01,,4,,,4
324d58f4-6e44-48e8-b0ba-4f60e6ceba7c,,4,,,4
c7fbeb75-652b-488f-8578-78d3b8fb645e,,4,,,4
a44d940e-bdc8-4ebf-b881-cf22ae6be898,,4,,,4
c216f406-b11f-4f2b-a890-e9922293478e,,4,,,4
d7f07d9d-0e37-4b52-8393-12e50819beaf,,4,,,4
a84f4c6c-68af-48b9-805f-9b7dddd51f37,,4,,,4
5a76ebe1-9913-4008-83fd-f7ea1e95c26a,,4,,,4
ca0cab2b-9f86-4925-8fb1-de64c9211a33,,4,,,4
bfc707ae-99a1-43f9-bdcb-404738a8dde3,,4,,,4
2c7a22cd-7635-4728-9013-8086d7f6d2a3,,4,,,4
c0fe3047-be8c-4ebe-9476-dcaf9437f0a6,,4,,,4
eb421100-a356-4a71-9db5-8df8eada5e5f,,4,,,4
15baf44a-e9cc-48f5-829b-8640b56e892c,,4,,,4
06be9eb9-b70a-4032-ad1a-6a37fd32716d,,4,,,4
01112d05-5dcc-4718-af1e-18df2c26eb2d,,4,,,4
22696b1e-b7b5-48a1-8069-e2c0b151e768,,4,,,4
dd2a2e70-f2a1-4e75-9af7-dea88b7a0b4e,,4,,,4
520ef51f-8186-43f4-83b5-815f49d8be3f,,4,,,4
1a5f0311-6716-4df2-a593-cc2bf08f4aaf,,4,,,4
bc6383b8-c755-4f1c-b8ea-ace3f1d87994,,4,,,4
