uuid,female,male,other,skip,total
32dbf538-0bb9-47ed-9e50-f2e76c48f682,,,,2,2
642e0dea-e124-4694-9382-6df28ccc1ac3,,,,1,1
57b3c6f7-c91b-4aa4-a7c0-17992f518517,,,,1,1
201a8a8e-a3b0-4586-bbed-43c19bd34f2b,,,,1,1
5e98119b-fa62-43fa-8787-0a5933fda948,,,,1,1
8728afa7-374c-4cf4-89fa-35c81933d6e2,,,,1,1
ef1edabb-585e-48bf-85a9-c2cb4dab1e71,,,,1,1
65f15677-aeeb-412e-aa5a-0924ae14865b,,,,1,1
0a5890fe-7a27-441e-a80f-bae0307f159b,,1,,1,2
b90edb7c-d4d0-4852-8d95-6af8c9b9d25a,,1,,,1
96e6de2f-360f-4f55-a0d3-7c26d6b01c60,,,,1,1
d384124c-0c87-4ad1-951d-90685e991d99,,1,,,1
4f9c0c6d-9a7a-4e2d-b3e5-04254c68124f,,1,,,1
01d112a2-3cc1-46e9-950b-379b4b528832,,1,,,1
542a59f8-5e7d-4a67-a120-dee8b70a8518,,1,,,1
a824898f-f25f-4394-a4b6-04b58285c118,,1,,,1
f7469ab5-25cb-4a91-bfcb-8904e29a6d14,,1,,,1
0f2d5ee7-2919-4940-9873-c4b3412224f2,,1,,,1
e7dc8874-a76a-46db-bbd6-9eb2a6b78a4e,,1,,,1
