id,fullname,birth_date,death_date,img,mandates,source,name,party,area,term
195925,Abel Salvador Mesquita Junior,,,http://www.camara.gov.br/internet/deputado/bandep/178957.jpg,"Deputado Federal, 2015-2019, RR, PDT. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195925&tipo=0,ABEL MESQUITA JR.,DEM,RR,55
195823,Jose Adail Carneiro Silva,2016-11-07,2016-11-07,http://www.camara.gov.br/internet/deputado/bandep/178864.jpg,"Deputado Federal, 2015-2019, CE, PHS. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195823&tipo=0,ADAIL CARNEIRO,PP,CE,55
195878,Adalberto Cavalcanti Rodrigues,2016-10-02,2016-10-02,http://www.camara.gov.br/internet/deputado/bandep/178914.jpg,"Deputado Federal, 2015-2019, PE, PTB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195878&tipo=0,ADALBERTO CAVALCANTI,PTB,PE,55
195852,Adelmo Carneiro Leao,,,http://www.camara.gov.br/internet/deputado/bandep/178890.jpg,"Deputado Federal, 2015-2019, MG, PT. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195852&tipo=0,ADELMO CARNEIRO LEÃO,PT,MG,55
195936,Adelson Barreto Dos Santos,,,http://www.camara.gov.br/internet/deputado/bandep/178968.jpg,"Deputado Federal, 2015-2019, SE, PTB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195936&tipo=0,ADELSON BARRETO,PR,SE,55
139355,Ademir Camilo Prates Rodrigues,1964-05-30,1964-05-30,http://www.camara.gov.br/internet/deputado/bandep/133374.jpg,"Deputado Federal, 2003-2007, MG, PPS. Dt. Posse: 03/01/2005; Deputado Federal, 2007-2011, MG, PDT. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, MG, PDT. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, MG, PROS. Dt. Posse: 03/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=139355&tipo=0,ADEMIR CAMILO,PTN,MG,55
195865,Adilton Domingos Sachetti,2016-05-02,2016-05-02,http://www.camara.gov.br/internet/deputado/bandep/178903.jpg,"Deputado Federal, 2015-2019, MT, PSB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195865&tipo=0,ADILTON SACHETTI,PSB,MT,55
162235,Aelton José de Freitas,1961-12-15,1961-12-15,http://www.camara.gov.br/internet/deputado/bandep/141372.jpg,"Deputado Federal, 2007-2011, MG, PL. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, MG, PR. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, MG, PR. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=162235&tipo=0,AELTON FREITAS,PR,MG,55
189039,Afonso Bandeira Florence,1960-10-15,1960-10-15,http://www.camara.gov.br/internet/deputado/bandep/160508.jpg,"Deputado Federal, 2011-2015, BA, PT. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, BA, PT. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189039&tipo=0,AFONSO FLORENCE,PT,BA,55
147760,José Alfonso Ebert Hamm,1962-04-25,1962-04-25,http://www.camara.gov.br/internet/deputado/bandep/136811.jpg,"Deputado Federal, 2003-2007, RS, PP. Dt. Posse: 27/09/2005; Deputado Federal, 2007-2011, RS, PP. Dt. Posse: 01/02/2007; Deputado Federal, 2011-2015, RS, PP. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, RS, PP. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=147760&tipo=0,AFONSO HAMM,PP,RS,55
195387,Afonso Antunes da Motta,1950-01-08,1950-01-08,http://www.camara.gov.br/internet/deputado/bandep/178835.jpg,"Deputado Federal, 2011-2015, RS, PDT. Dt. Posse: 01/01/2015; Deputado Federal, 2015-2019, RS, PDT. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195387&tipo=0,AFONSO MOTTA,PDT,RS,55
189098,Aguinaldo Velloso Borges Ribeiro,1969-02-13,1969-02-13,http://www.camara.gov.br/internet/deputado/bandep/160527.jpg,"Deputado Federal, 2011-2015, PB, PP. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, PB, PP. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189098&tipo=0,AGUINALDO RIBEIRO,PP,PB,55
195793,Alan Rick Miranda,,,http://www.camara.gov.br/internet/deputado/bandep/178836.jpg,"Deputado Federal, 2015-2019, AC, PRB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=195793&tipo=0,ALAN RICK,PRB,AC,55
189076,José Alberto Oliveira Veloso Filho,1987-02-10,1987-02-10,http://www.camara.gov.br/internet/deputado/bandep/160582.jpg,"Deputado Federal, 2011-2015, MA, PMDB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, MA, PMDB. Dt. Posse: 09/04/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189076&tipo=0,ALBERTO FILHO,PMDB,MA,55
100655,João Alberto Fraga Silva,1956-06-02,1956-06-02,http://www.camara.gov.br/internet/deputado/bandep/73579.jpg,"Deputado Federal, 1999-2002, 2003, DF, PMDB. Dt. Posse: 23/02/1999; Deputado Federal, 2003-2007, DF, PMDB. Dt. Posse: 01/02/2003; Deputado Federal, 2007-2011, DF, PFL. Dt. Posse: 01/02/2007; Deputado Federal, 2015-2019, DF, DEM. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=100655&tipo=0,ALBERTO FRAGA,DEM,DF,55
189143,Alceu Moreira da Silva,1954-06-04,1954-06-04,http://www.camara.gov.br/internet/deputado/bandep/160559.jpg,"Deputado Federal, 2011-2015, RS, PMDB. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, RS, PMDB. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189143&tipo=0,ALCEU MOREIRA,PMDB,RS,55
189123,Alessandro Lucciola Molon,1971-10-28,1971-10-28,http://www.camara.gov.br/internet/deputado/bandep/160511.jpg,"Deputado Federal, 2011-2015, RJ, PT. Dt. Posse: 01/02/2011; Deputado Federal, 2015-2019, RJ, PT. Dt. Posse: 01/02/2015.",http://www2.camara.gov.br/deputados/pesquisa/layouts_deputados_biografia?pk=189123&tipo=0,ALESSANDRO MOLON,REDE,RJ,55
