uuid,female,male,other,skip,total
00795b6b-9445-448d-a86c-d3b2e90d1dd3,0,1,0,0,1
00ae2276-c015-439a-843f-b9b753217a06,0,1,0,0,1
02b58c65-ab22-4f2b-a316-e2acc38e903d,1,0,0,0,1
0349d483-dcf6-4aba-b47a-eae8d506bf69,0,2,0,0,2
03ef7a6d-bb4c-4c74-b7bd-bd42c99dfb06,0,1,0,0,1
04e5ccf9-aa51-4ca8-85d1-2463423ffeda,2,0,0,0,2
051dbb89-60d4-4f1f-871e-67cec8c57739,0,1,0,0,1
057f56af-87b9-4ade-b0e2-73d67a3c9250,0,1,0,0,1
07a5defe-99ef-4658-8843-9a025d49c552,0,1,0,0,1
07ca608f-10a5-4544-a294-77655718c920,1,0,0,0,1
09357f8d-70ec-433d-abab-eb72c24e0ba3,0,2,0,0,2
09a9f7f6-7dbd-47b0-95ab-2f0e94c6aaae,0,1,0,0,1
0a0c04dc-d05d-48d3-b191-a03e9ed6f901,0,2,0,0,2
0b3f600e-3a7d-4bc3-b92b-d525c455d5d9,0,2,0,0,2
0b69dcfe-fa7a-402d-a505-efc9bb6757fb,0,1,0,0,1
0d3c728e-a8da-4aaa-85d8-1234837a0875,0,2,0,0,2
0d448cd6-0a94-422b-a0e9-56df86cb89de,0,2,0,0,2
0dfa5029-4b54-48db-988e-ab69069b031e,0,2,0,0,2
0ee6bccd-ea82-4954-805d-1f3cee8cf3a2,0,2,0,0,2
1073a7f5-1168-417d-9a62-bfc2ca53cbe6,0,1,0,0,1
10e3bc88-cf22-4f8d-a7c0-af8297718f5d,0,2,0,0,2
11462dcb-444e-482d-bcec-98b22e4c42e3,1,0,0,0,1
11c81cf5-142f-4848-9a5d-2a023d6ec7b7,0,1,0,0,1
12748e2e-1ada-4320-a6a7-9cef152a090e,0,1,0,0,1
13687a46-73ee-4057-9851-603885ce603a,0,2,0,0,2
14a60a28-1d38-4063-8caa-153c366b84b3,1,0,0,0,1
1617b789-9a3b-4a80-9bd8-a269a6b71015,0,1,0,0,1
175ae55c-1b7f-4e49-90d0-b9ee9bc21f63,2,0,0,0,2
178efbd5-dd4f-4ae4-bcb6-efdf3f2fc383,0,1,0,0,1
17e4c554-003b-483b-b735-f5401218362a,0,1,0,0,1
18450a11-c0d0-4556-8d2f-cd52ad5355a2,0,1,0,0,1
199ff6cd-0246-498d-8fdc-b51c0a0dd2c2,0,2,0,0,2
19e1943b-9873-4623-8eb5-4f2c26ef07e9,0,2,0,0,2
1a0915c0-48d5-46a7-8b6b-f2a6ecefbf51,0,1,0,0,1
1a6de18c-8115-4d9b-b506-1171253a6802,0,1,0,0,1
1aa26cbf-a57f-4d93-9946-1dc28aad10a6,1,0,0,0,1
1acef72b-1af6-4d3b-ba42-f68163ef4164,1,0,0,0,1
1ad69a03-9e76-4881-8877-0296046ccc4f,0,2,0,0,2
1b115a27-86bc-4b21-8bb3-0895cdd3fd89,0,2,0,0,2
1b9dde37-5d18-42dc-9c5c-6130bb8d5615,0,1,0,0,1
1c7f2c06-6e61-4149-bab2-e715027cec20,0,1,0,1,2
1f4d30c8-4f13-4a45-8c48-55581279147d,2,0,0,0,2
20d5bc17-751a-478a-af34-d596c974eec3,0,2,0,0,2
20e523a0-b34f-499b-b959-0d0c4bff8bfd,0,1,0,0,1
20eec7de-be9c-4a0f-ab0d-c3421beb698a,0,1,0,0,1
2196aa11-d17f-46ca-b1bf-0e6af9a4aac7,0,2,0,0,2
21f92348-52bf-4f2e-8516-22c2b28ee6cb,0,1,0,0,1
22277ee4-27eb-4a27-8134-b1521a19d78f,2,0,0,0,2
2380e849-f09b-4ff3-964a-fa2bf16291f0,0,2,0,0,2
23afa697-45af-4f3e-b981-80f350e65904,0,1,0,0,1
23ea0588-542a-4167-9e23-5c0be5b16d76,0,2,0,0,2
243fe426-90b4-47e5-88ba-069249caf7cb,2,0,0,0,2
24622ce1-92ee-4d7e-97e7-f9a02a99d269,0,2,0,0,2
2494f157-a0f9-4f4a-a16d-4b65914786fe,0,1,0,0,1
256c288a-267a-4b5e-8264-f9a876c05c4e,0,2,0,0,2
25c6bdb3-8564-4c14-af88-b9caa4fbaaa6,0,1,0,0,1
26b5626a-a637-4ef1-88eb-49d8134b5934,0,2,0,0,2
2728bd74-7c38-4fe2-926c-4ad05adfa6de,0,0,1,0,1
278a4635-134e-4215-a4f8-329ad62d2c6e,1,0,0,0,1
279175d4-8017-4311-a426-e6c104073638,1,0,0,0,1
286f59e6-fda2-4d68-8384-8d119b1dacbc,0,0,0,1,1
288b5082-5bbe-4158-8f4b-fcd1c2643b6c,0,2,0,0,2
2aaaf401-96eb-4f9e-aef7-e40dcae6e14f,0,1,0,0,1
2b2c7417-03a4-4fb4-8e6a-3a0c823ecb03,0,2,0,0,2
2bcbd268-fc77-4414-aeb4-548c78ebffed,0,1,0,0,1
2f1e6608-c670-471d-b153-d0cf15a2e4d9,2,0,0,0,2
2f232665-75eb-49b0-878f-343dd7bfc06b,0,2,0,0,2
2f55fc5d-86a3-4342-9a68-63f494596079,0,2,0,0,2
2fab0cb6-df9d-428d-86d4-4bd2aafcd650,0,1,0,0,1
3097001b-b944-4a4f-81fb-a82687f8b5f5,0,1,0,0,1
3220f1d0-7645-43d1-8a2a-cde515361f89,0,2,0,0,2
3253a645-543d-44bc-8b7e-6969bdb5ce27,0,1,0,0,1
32af2ef2-145b-4112-b0b9-f486a9bdb39a,0,0,0,1,1
34023e4f-9bea-4999-a97c-6e70a7c15885,0,2,0,0,2
3473088b-c3e1-4ae2-8e70-711c210e4317,2,0,0,0,2
34fddfe1-3b3e-4fe4-89a0-f90b473caa41,0,1,0,1,2
35244740-3b4b-405f-b81e-526df230124d,0,2,0,0,2
363adee9-4faa-4c53-b653-df27498a70be,0,0,0,1,1
36412ee2-f645-46cd-8cd7-ee8506ba7554,0,2,0,0,2
36a54c07-2b6a-412f-b93a-16aa5a3095d3,0,2,0,0,2
3787ce21-4f67-4865-9a15-56e391215410,0,1,0,0,1
38acb493-3f03-4fb2-9a76-77b3089d7297,1,0,0,0,1
38fefe20-b737-4216-93fa-2a501793d684,0,1,0,0,1
395027bb-f1a3-4c39-9552-66327e345bf3,0,1,0,0,1
39dfce9a-2040-4c72-a943-589b214022c7,0,1,0,0,1
3a29a929-ea2e-4611-8692-3449807deeb3,0,1,0,0,1
3b33bcf3-de0b-42f1-973a-d7f47e1a031c,0,1,0,0,1
3c0d38d9-4e55-4e69-827e-d04304c7722f,0,2,0,0,2
3c18cc91-5275-4495-b9c2-ac60d648a773,0,1,0,0,1
3c9a4304-802c-4703-a79a-ba623146e430,0,2,0,0,2
3d025334-8b69-4d97-9c8d-4ef3248f37a8,0,2,0,0,2
3dde2887-d724-4af3-b080-3b6960900d7e,0,1,0,0,1
402968f3-5dd2-4c05-93e7-901f80fbf03b,1,0,0,0,1
423e2408-1e5d-4811-995d-51e8b5f2730e,2,0,0,0,2
427f0db6-8c38-4b99-8318-3a80de01dc7d,0,1,0,0,1
430f8140-f993-4bff-a681-00bc10d9a40f,0,1,0,0,1
432d38d9-40cc-48b7-8562-758c30266df4,0,2,0,0,2
4381605f-b76f-4adc-8ea0-1d2401a8f0f0,1,0,0,0,1
44f599a5-555e-4c7b-a5fb-f676e7b8ba4d,0,1,0,0,1
45035556-aff1-45fc-8366-fdb9076587f2,0,1,0,0,1
45f15ccd-704f-4d78-a994-2e755e66855d,0,2,0,0,2
45ff386c-6442-46aa-9314-4ae7b6b01129,0,1,0,0,1
464b458e-8213-4288-952f-4262107806d5,0,1,0,0,1
482fab77-f907-4593-8272-851ecc54fae3,0,1,0,0,1
49313870-fad0-4d19-b138-3a986407c718,0,2,0,0,2
4c0ad49c-3818-4f36-a383-470a2cf15522,0,1,0,0,1
4dacf2f5-e5e2-4429-b91f-d151d7979f93,1,0,0,0,1
4e02bdea-21b6-4838-b3b7-e17afe5d39ae,0,2,0,0,2
4e6f67f2-3c4f-46c1-9a9d-e166caf97205,0,1,0,0,1
4f6679a8-0564-4da7-ad3b-382ee998e880,0,1,0,0,1
4f807277-7a2c-41a8-8bd9-889479f55e26,0,2,0,0,2
4f8d2671-a32d-460a-b583-052136c98c44,0,1,0,0,1
4fb5bf4e-3db7-40ff-aedc-48dcc74d761b,0,1,0,0,1
5050184e-878c-4d07-a2c6-ef7c56432346,2,0,0,0,2
506321d1-11ac-4853-8071-9fb4619879d3,0,1,0,0,1
52f4783f-92aa-49c7-b910-e8cfe230489c,0,0,0,1,1
53c7984d-1921-4137-aecb-f926ffdeb59b,1,0,0,0,1
53f411ff-d1e6-4393-978a-54afb8c9d185,0,1,0,0,1
54ca1e1b-db33-4be9-826e-dec91e03447e,1,0,0,0,1
5549db45-5a59-4bc5-97e4-1d39fe428c25,1,0,0,0,1
56362b83-12f2-4e74-b685-de3079ffdcaa,0,1,0,0,1
564cb9c0-e1ca-4df6-be0c-ab7ae4e647bb,0,0,0,1,1
56510ce3-3969-48eb-b9f5-36565d058357,0,2,0,0,2
5738cf58-3591-4cd0-b675-44950f3ec5f7,0,1,0,0,1
5774cd4c-d8a0-429f-bc2c-c32861ea2629,2,0,0,0,2
57949d08-9487-468d-bb7a-b47c18628eb7,2,0,0,0,2
587dcf7b-fa72-4b7f-90b2-fc96f7e6f2b8,0,1,0,0,1
58a1e56b-2184-4d13-a6d4-896b4ccd21cf,2,0,0,0,2
59e4282b-cfcf-4db5-a043-bc0b607b407f,0,0,0,1,1
59f87dc1-a1ac-40c4-8d14-cd184ee60ba6,2,0,0,0,2
5a8b74ec-fb3e-4ea3-bf62-4855e4a8fd91,2,0,0,0,2
5ae4bb60-f3ce-4be7-a3a0-3c0730244b1a,0,2,0,0,2
5aeaabbe-3827-4999-b6f4-37c556d027d0,0,1,0,0,1
5b484264-f57b-4acc-a7e9-0a04327a0803,0,1,0,0,1
5b7fd990-bbba-475e-9e61-0714a8298e3d,0,1,0,0,1
5cffa489-ace9-4cc8-8227-0d110fb30c94,0,1,0,0,1
5d2b2831-f2a0-4b69-9db9-20fef1020927,2,0,0,0,2
5d6109fd-3923-4905-855a-0a7f1cf508d9,0,1,0,0,1
5d8b8c64-46e8-41e3-9db5-eab291edf5aa,0,1,0,0,1
5da775e5-e114-4f58-a2ba-d169a55e78c7,1,0,0,0,1
5f306309-f87e-4235-a36f-c83211dc01aa,1,0,0,0,1
616091de-c38c-48a5-81d9-70639ae397a2,0,2,0,0,2
642712f7-d881-4dcd-80b1-b9615c0176e5,0,2,0,0,2
65ac562c-39dc-4818-8244-7eeb71e081fc,0,1,0,0,1
65f10443-4fb2-46b0-bcc1-fcb2677928a6,0,1,0,0,1
662bf4ec-a2ec-4272-ac2f-5f46e4505142,0,1,0,1,2
662ea2ac-cb58-434f-a9f8-b883a222692b,1,0,0,0,1
664dfa29-51d7-45ba-ad8a-4571a8761d94,0,1,0,0,1
6685abbb-6791-45ec-bcd2-c6c6f1a8d73d,0,2,0,0,2
66ecd68c-f7b8-42f0-8ba8-9cbdef05e39f,0,2,0,0,2
6709a77a-66ef-4a2d-aaf9-b5daf8047a99,2,0,0,0,2
679e57f9-9ce7-45d3-bdf7-b617124185fe,2,0,0,0,2
67f99142-4d25-4237-8484-cf8cd3f8220d,2,0,0,0,2
68d0036b-b247-4083-9293-d4ae5081708f,0,1,0,0,1
6929f525-e177-4ae2-88f3-9aa33ae3d559,0,2,0,0,2
