id,wikidata
political_party_gerb,Q133968
coalition_for_bulgaria,Q971439
simeon_the_second_national_movement,Q928435
movement_for_rights_and_freedoms,Q164242
parliamentary_union_of_the_united_democratic_forces,Q841253
nmss_stability_and_prosperity,Q928435
ataka_party,Q178049
parliamentary_group_bsp_left_bulgaria,Q971439
the_movement_for_rights_and_freedoms,Q164242
"the_united_democratic_forces,_dp,_national_alliance_-_bapu,_bapu,_st._george's_day_movement",Q265322
reformist_bloc,Q15991304
parliamentary_union_of_democrats_for_strong_bulgaria,Q127205
the_ataka_coalition,Q178049
patriotic_front,Q17514144
"order,_lawfulness_justice",Q1048010
abv,Q17173534
the_bulgarian_new_democracy,Q4996214
"the_blue_coalition_-_utdf,_dsb,_the_united_agrarians,_bsdp,_rdp",Q677080
democrats_for_strong_bulgaria,Q127205
the_union_of_the_democratic_forces,Q841253
parliamentary_group_novoto_vreme,Q4325952
bulgarian_people's_union,Q834030
the_national_ideal_for_unity,Q12287846
"order,_lawfulness,_justice",Q1048010
independent,Q327591
national_assembly_members_not_affiliated_with_a_parliamentary_group,Q327591
national_assembly_members_of_no_membership_with_a_parliamentary_group,Q327591
