name,id
A. Thophile DENTIOGUE,ece84db2-4081-4689-8ef2-1d5a67462e1c
Adama DERA,1e6ae311-0597-4b99-97e5-4d63ae86f255
Alfred KABOR,9dc6aebc-8641-437b-a6ba-3b93bc48a941
Amad TAHO,49de15cc-4892-4ba9-ab6a-51723547211d
Amadou DABO,fa8e3d8b-3719-4ad4-b1b5-967850ae2e99
Amadou HAMA,61b4cf32-6dcb-4fe2-ae2b-6582bb6d6ca9
Amidou Christophe BADINI,f8309c32-6aec-4c0a-883f-c1d7e9106e35
Assata SIDIBE,c4b79f47-b496-4193-9cde-b1017e2fc1d8
B. Sbastien ZABSONR,2124c4a7-c3e2-4e95-8be7-45f6fcd07ca8
Babor Grgoire BADO,867d8d98-0e94-487c-ba58-f5c3d264aab5
Bakary SR,d422401f-971c-4dcf-871d-f9bd62ad82db
Blaise KYELEM,567687fb-77de-478c-9c9a-6f0ac3865786
Blandine SAWADOGO,ef164ccd-1b78-4b2a-bed1-3039dcc48665
Bli Etienne GUE,3499da7a-be24-4445-b5e2-aa642f102ce5
Bonaventure OUDRAOGO,9e1427e9-35a1-4946-8783-06331e6300ca
BONGNESSAN Arsne YE,808a11e6-ef0b-4cea-a7ce-b9330a944d91
Cyril GOUNGOUGA,82848069-8fcd-4d43-9986-7e24e09f2c10
D. Juste LANKOAND,f187bbf0-d3cd-428f-8ec2-91e5c208d404
Dieudonn BONANET,56787652-7913-4379-ad2a-f450ca364491
Dimfangodo SAWADOGO,3a9925c7-91f6-4be3-88d5-52f77fc3a26e
Djjouma SANON,32bd8978-59ee-4a5e-88a8-b90ca66874f0
Dma Raphal BADO,14c6793b-3c27-4534-87ef-2c598350079d
Dr DIALLO Salifou,66f85a00-0521-4fd1-b503-7fe58d2fd4a8
Etienne TRAORE,9d9be184-7aa4-485c-b855-10bef39e84a6
Fidle HIEN,41421d87-b262-484e-8ab4-5aec2369231c
Fidle LANKOAND,a76d387f-a0ba-458b-83c0-4a1108dade71
Fidle OUI,b58e687b-9933-4f81-b2ed-43f022494a04
Fidle TO,a620ca8e-5623-47bb-b05c-112f8ef6b926
Gaspard BADOLO,5127e0df-6923-4d1a-b811-608fbb586355
H. Rasman COMPAOR,5a48b0f5-129e-4139-b52a-a7d3e2805eb4
H. Thodule DA,6b3ce459-7538-4ad0-8cba-1277054f19b6
Habata Marlne ZEBANGO,b22e9bf7-74ca-40f1-80a2-2f7e829cc226
Harouna MAGA,b801fd65-ea6a-4d20-a71b-e1145b87d8fc
Hyacinthe SANWIDI,e3aa8c4e-9bb3-4537-a111-30a26f985125
Idrissa Alfred SEKON,f7edb54b-572e-4bd9-b8eb-b9fcc5727200
Idrissa OUDRAOGO,c044b42a-7bf3-4882-b40c-338b32c94222
Idrissa TANDAMBA,8fca4b1b-fb41-4f9b-9e4e-ff58a21555f6
Jean-Baptiste YAMOGO,7c368a4d-4e2e-4f9f-bc20-dc1c9fe6405e
Joseph KABORE,241fae15-d676-4882-b713-d942d58a1b67
Josphine DRABO/KANYOULOU,f684e291-91fe-4ec2-94ce-b263cce47f71
K. Ernest SOULAMA,0d69e709-a824-47ec-a3ba-db8cecaa9d66
K. Madeleine BONZI,91cec41e-7c0d-49d3-a5fe-1df64e02ca12
K.M. Suzanne COULIBALY,fc18dce4-569a-4fb6-b186-11d23a904fcb
L. Bernard OUEDRAOGO,e4ec5694-7acb-430f-9b73-b250091b1778
Laleyan Sadou GOUEM,8925703b-b48d-4bf5-8f13-a67575c72b21
Larba YARGA,f8035d12-0503-473a-9267-1de391a1f3bf
M'P Augustin DEMBEL,1fc17d7b-27e3-42d1-a15c-d85945e903c3
M. AGALI Ag. Almaouna,3e172274-7377-4311-92f2-86707c955ddb
M. AOUE Ataouegue Joël,1e7c86aa-8281-4c69-b536-1db0641c5a4f
M. BA Saïdou,dcb74263-e6c3-4100-9dbd-da27f156ee23
M. BACYE Zilma,f37f18fe-b0be-4290-9740-3b3e11e00699
M. BADIARA Michel,bb2a18e6-aab0-43c3-bb84-de4843a75054
M. BADO Laurent,b2934d8d-9279-4084-86f7-8a7c3206a684
M. BAKYONO Bienvenue Ambroise,563a1e94-5b8b-45da-bc14-a6e602bcb1d4
M. BANGOU Yenignia,e26fa0ee-7ce8-4631-bea0-bff61e9223ca
M. BARRY Boukary,2f4f902e-999c-4360-a54d-9152a2b135ff
M. BARRY Boureima,4d955ecb-38e8-4279-b58d-ef9275c78929
M. BAZIE Anicet,33f5daa7-05ee-4dd2-9706-937ea4dd490f
M. BONKOUNGOU Issa Anatole,8ca91a83-09cd-4302-8535-7e3c8d0154a6
M. BONZI Tini,36bdceb7-6e70-4492-b7ab-4d730fa8ea3d
M. BOUGOUMA Boureima,c13f82d8-33d2-4675-bc48-f5f8af54b0ba
M. Christophe OUATTARA,6630d2ca-ad1c-4144-abeb-c6b6cff260a4
M. COMPAORE Gaoussou,08834fb1-c9d8-4d8d-9ea7-f4a28e39a602
M. CONGO Issaka,cd2f2a62-95db-4961-bee6-6a0ad8612801
M. COULIBALY Ladji,877aad7b-b666-4c59-bd94-1398c80d6341
M. COULIBALY Lomboza Narcisse,c5ede285-6530-4102-a129-1e3829f67d1d
M. DALA Blaise,b3b78432-dae6-40ff-b685-779a101a08cd
M. DIALLO Ahmed Aziz,c74cf48a-8905-41f1-b63b-1197be7afc62
M. DIALLO Mamadou,b71cf1d1-5a6a-49ab-a0d1-86d66607e4fd
M. DIALLO Ousmane,9900de5c-9d47-4458-8022-9a9c44cd81a2
M. DICKO Hama Moussa,b4a3225b-29ce-4265-9110-d0233551b452
M. DICKO Oumarou,1724d7f4-9d90-41c4-8c56-bca72a567ab8
M. GNOUMOU Dissan Boureima,64883749-93ee-47ef-9a31-792fed88bb8f
M. GONDE Lansina,aeb539f0-9038-4308-9da6-ac9cc6ad9a48
M. IDANI Oumarou,f5320e8a-b982-4fbd-9963-2f766de76176
M. KABORE Tibila,5da6a2ff-9fa8-42d7-b7dd-c19f94ee2fd3
M. KONATE Hervé,8fc6da94-6486-4534-8f2d-867707d23a02
M. KONE Maxime,351757a0-4309-42a6-8ccc-88c97b5f44b1
M. KORBEOGO/OUEDRAOGO Fatimata,1d65e40e-cf31-4097-842d-916685e78340
M. KOUAMA Koudwango Raphael,15ca575c-4552-4206-9a96-13c210bb5b07
M. KOUBIZARA Henri,3ba428f1-250c-4488-a4d2-75e50a930673
M. KOULDIATI Julien,b4f5e1da-f42d-4b64-80b7-e26688820b38
M. LANKOANDE Larba Ousmane,752e896b-a7de-4e0d-9c8a-92c4c61b07c3
M. Lankoandé Emmanuel,f527323d-4d1a-4557-9c95-a03c2f75ae75
M. LY Bassirou Karmadji,2822614c-7455-4767-ba1a-8f97a856b2c2
M. MOSSE Abdoulaye,6dac1243-33aa-42dc-a0cd-3982346aa207
M. NABIE Nimayé,c8de98b4-d182-42c7-bd7e-bd452838d65c
M. Nacro Ousmane,f59a9f51-503b-4384-a41f-72ff352cee68
M. NAMA Baoui,b7f407ea-dd76-4543-848a-1b959a366a20
M. NOMBRE Kirigahon Alphonse,4f71b2b3-8cba-427b-8954-7efed38e1fdb
M. ODAGOU Goulla,b6222623-0aec-4a32-b2f0-625f5596226f
M. OUATTARA Kourbié Modibeauh,551a0e28-ba21-405e-9a83-a7a046c71e15
M. OUATTARA Lassina,14a39576-dbe5-4d50-bda2-2fbb6d8b686c
M. OUEDRAOGO Abdou Rasmané,cc679d87-7eeb-4e3d-ae56-42a787091430
M. OUEDRAOGO Bachir Ismaël,0cf697fe-2447-4aaf-9118-f0191300f3c1
M. OUEDRAOGO Boubacar,3def65a7-7276-4c1f-8ed3-52b3e2312913
M. OUEDRAOGO Bébrigda Mathieu,8336520c-bcc9-484c-a446-ae297c2dabe8
M. OUEDRAOGO Jacob,a68a6c5b-594f-4e67-9f0b-0d7035fb5e5e
M. OUEDRAOGO Mathias,86145594-539b-462a-ad70-feac8f5b19be
M. OUEDRAOGO Michel,c3929be9-aa5c-45ac-8299-f80a4e4ca296
M. OUEDRAOGO Noufou,b9bbf1d6-e746-4ae4-a903-1472eead7dc1
M. OUEDRAOGO Ousmane,37cc7b80-e0ee-4269-9c90-a7e6298ff6fd
M. OUEDRAOGO Sayouba,9d3bf435-d25c-4c48-bb10-086d8c2ec308
M. OUOBA Bindi,69fa3996-3c19-45f1-93d4-75c93bfb9efb
M. OUSMANE Alpha,0ce40d1c-d31b-4bcc-98df-c00fddd9417d
M. PALENFO Kadjo Jacques,8f570a27-260a-4b26-a1b2-a678728412c9
M. POUBERE Salifou,9035dd44-9da9-4f3e-b151-e00e4f3615ea
M. SAKANDE Alassane Bala,131c0171-409d-45b4-a637-3b707329df87
M. SAMA Joseph,ff862a8e-c689-4139-914b-f214c0635ea4
M. SANDWIDI Kayaba,9082292f-8db4-42fa-bd38-76e29287491c
M. SANON Sangouan Léonce,3c4a91f9-2857-4d61-aeea-e5bf66603d21
M. SANOU Alfred,cc996262-659c-47aa-b4ef-c48aec47734a
M. SAVADOGO Lassané,0ee70c3d-0a25-4e0f-87ff-7b1b57dead0e
M. SAVADOGO Paul Windinpsidi,ceca2d25-0c9e-4f3c-8831-9ac87e184ea5
M. SAWADOGO Blaise,7e28a8a7-1d88-4779-a863-dd59b061b1bd
M. SAWADOGO Emmanuel Koti,e8ce801a-8148-4a4f-8ce2-ee6ba4e6d668
M. SAWADOGO Rasmané Daniel,dc9a454d-440c-4cc8-95d1-923f60c02fb5
M. SAWADOGO Salifou,5d81b47d-0297-47bb-80bc-31c1c31c0e6e
M. SAWADOGO Windyellé,947f0e31-1778-4e2a-bd0a-4d9eaca9f560
M. SIB BEBE JUSTIN,a1449bbb-8638-4cda-8e37-6b31946af735
M. SIMBORO Daouda,9366ff48-0a64-4433-8c25-1bf4462fdd2e
M. SIRIMA Bissiri,fb8db2b5-3e48-4823-bc75-be081543db05
M. SOME Norbert,3c68ce7b-76d1-4f44-bdee-8cf4c1aebd94
M. SOME Tougniné Anselme,b3963475-50ce-49fa-b8c3-db1a276bac6c
M. SORGHO Dieudonné,0c9a862e-7884-41e0-9471-ee14b49a400e
M. TAMBOURA Ousséni,0c246bc1-2d63-423b-a7ea-db85b6b41e28
M. TAONDYANDE Fréderic Benoît,b87b98c7-01c9-42ea-88df-d67720240340
M. TAPSOBA Alexandre Siguian Ousman,83b636f0-392b-498a-92f4-b7fe8f396fb2
M. TAPSOBA Tibo Jean Paul,e5ef54b3-3621-472e-9e98-a40a8bfd38cb
M. THIOMBIANO Dramane Ludovic Parfait,f875cab9-c11f-42aa-bbfc-98e7ac6d7e8e
M. TIEMTORE Salifo,5e54f4a1-143f-4d57-8353-132c986d2b33
M. TINDANO Moussa,90d047c1-a25f-49e6-8190-be5b032d1d15
M. TOE Goakûn Rossan Noël,6266ee8f-93ae-4848-b786-0adfd92a2d81
M. TRAORE Désiré,4391dff4-6576-4e12-b6a4-230a8105550c
M. YAMEOGO Winmanagré Saïdou,c92f78e4-3317-4f1b-8f25-6d0e55330a67
M. YE Luc,dc385166-bb80-4610-a444-e7f4a292d133
M. ZAGRE Léonce,7555cbd3-2180-49e6-97df-051f68ce5895
M. ZERBO Moussa,01cef571-4b10-40fe-a78b-de813948ead5
M. ZOMBRE André,ebaa4037-ee63-43dd-b8dd-b511f7ecd831
M. ZOUNGRANA Marc,ed29ba92-7bc4-44c8-8765-83f3f30f1526
M. ZOUNGRANA Yahaya,4f45e9a0-61dc-4879-9eda-1aad76a35aa0
Mahama SAWADOGO,c55ff014-83cb-406f-a802-496e18b58e8a
Mme BASSOLE/KANDO ROSALIE,a08ec5fc-63a7-4b86-9813-2d44b344e131
Mme BONKOUNGOU/YAMEOGO Juliette,032d46d6-fee6-4ca5-b3f9-5cdf31d98388
Mme COMPAORE / KONDITAMDE ROSE MARIE,257f034f-17c7-4d15-96dc-41b611ac4f2d
