name,given_name,family_name,sort_name,gender,birth_date,party,term
Adama TIENDREBEOGO,Adama,TIENDREBEOGO,"TIENDREBEOGO, Adama",,,CDP,2
Alassane DERM,Alassane,DERM,"DERM, Alassane",,,CDP,2
Albert SANOU,Albert,SANOU,"SANOU, Albert",,,CDP,2
Alice TIENDREBEOGO/K,Alice,TIENDREBEOGO/K,"TIENDREBEOGO/K, Alice",,,CDP,2
Amadou HAMA,Amadou,HAMA,"HAMA, Amadou",,,CDP,2
Amadou SERI,Amadou,SERI,"SERI, Amadou",,,CDP,2
Amadou YAYA,Amadou,YAYA,"YAYA, Amadou",,,CDP,2
B. Lvis OUDRAOGO,B. Lvis,OUDRAOGO,"OUDRAOGO, B. Lvis",,,CDP,2
Bana OUANDAOGO/MAGA,Bana,OUANDAOGO/MAGA,"OUANDAOGO/MAGA, Bana",,,CDP,2
Barthlmy KABOR,Barthlmy,KABOR,"KABOR, Barthlmy",,,CDP,2
Bassih HEMA,Bassih,HEMA,"HEMA, Bassih",,,CDP,2
Benot Louis KAMBIR,Benot Louis,KAMBIR,"KAMBIR, Benot Louis",,,CDP,2
Bila Ignace SAWADOGO,Bila Ignace,SAWADOGO,"SAWADOGO, Bila Ignace",,,CDP,2
Boureima ZOROM,Boureima,ZOROM,"ZOROM, Boureima",,,UPC,2
Bli Etienne GUE,Bli Etienne,GUE,"GUE, Bli Etienne",,,CDP,2
Charles Etienne ZAN,Charles Etienne,ZAN,"ZAN, Charles Etienne",,,CDP,2
Christian Gustave BOUDA,Christian Gustave,BOUDA,"BOUDA, Christian Gustave",,,CDP,2
D. Grard KARAMBIRI,D. Grard,KARAMBIRI,"KARAMBIRI, D. Grard",,,UPC,2
D. Thodore SAWADOGO,D. Thodore,SAWADOGO,"SAWADOGO, D. Thodore",,,UPC,2
Daouda BAYILI,Daouda,BAYILI,"BAYILI, Daouda",,,CDP,2
Dihit PALENFO,Dihit,PALENFO,"PALENFO, Dihit",,,CDP,2
Dimfangodo Salifou SAWADOGO,Dimfangodo Salifou,SAWADOGO,"SAWADOGO, Dimfangodo Salifou",,,CDP,2
Doussoum Paul MILLOGO,Doussoum Paul,MILLOGO,"MILLOGO, Doussoum Paul",,,CDP,2
F. Odette COULIBALY /S,F. Odette,COULIBALY /S,"COULIBALY /S, F. Odette",,,CDP,2
Fatoumata DIENDERE/DIALLO,Fatoumata,DIENDERE/DIALLO,"DIENDERE/DIALLO, Fatoumata",,,CDP,2
Fidle OUI,Fidle,OUI,"OUI, Fidle",,,CDP,2
Gnihan LIEHOUN,Gnihan,LIEHOUN,"LIEHOUN, Gnihan",,,CDP,2
H. Boukary DICKO,H. Boukary,DICKO,"DICKO, H. Boukary",,,CDP,2
Halidou SOR,Halidou,SOR,"SOR, Halidou",,,CDP,2
Hamidou Gulo MAGA,Hamidou Gulo,MAGA,"MAGA, Hamidou Gulo",,,CDP,2
Hermann YAMEOGO,Hermann,YAMEOGO,"YAMEOGO, Hermann",,,CDP,2
Idima Vronique KANDO,Idima Vronique,KANDO,"KANDO, Idima Vronique",,,CDP,2
Idrissa Dominique BARRY,Idrissa Dominique,BARRY,"BARRY, Idrissa Dominique",,,CDP,2
Irissa Alfred SEKON,Irissa Alfred,SEKON,"SEKON, Irissa Alfred",,,CDP,2
Issiaka Isaac DRABO,Issiaka Isaac,DRABO,"DRABO, Issiaka Isaac",,,CDP,2
Joanny Blaise TAPSOBA,Joanny Blaise,TAPSOBA,"TAPSOBA, Joanny Blaise",,,CDP,2
Joseph KABOR,Joseph,KABOR,"KABOR, Joseph",,,CDP,2
K. Barthlmy OUOBA,K. Barthlmy,OUOBA,"OUOBA, K. Barthlmy",,,CDP,2
K. Jean Louis BAMOGO,K. Jean Louis,BAMOGO,"BAMOGO, K. Jean Louis",,,UPC,2
K. Ren LOMPO,K. Ren,LOMPO,"LOMPO, K. Ren",,,CDP,2
Kanidoua NABOHO,Kanidoua,NABOHO,"NABOHO, Kanidoua",,,CDP,2
Karim CONGO,Karim,CONGO,"CONGO, Karim",,,CDP,2
Kassoum DAO,Kassoum,DAO,"DAO, Kassoum",,,CDP,2
Larba Prosper YAMEOGO,Larba Prosper,YAMEOGO,"YAMEOGO, Larba Prosper",,,CDP,2
Larba YARGA,Larba,YARGA,"YARGA, Larba",,,CDP,2
Lassan YAGO,Lassan,YAGO,"YAGO, Lassan",,,CDP,2
Louoron Blaise PAR,Louoron Blaise,PAR,"PAR, Louoron Blaise",,,CDP,2
Lbend SIONN,Lbend,SIONN,"SIONN, Lbend",,,CDP,2
Lbend SORGHO,Lbend,SORGHO,"SORGHO, Lbend",,,CDP,2
M. Jean Paul SANGLI,M. Jean Paul,SANGLI,"SANGLI, M. Jean Paul",,,CDP,2
M. OUATTARA,M.,OUATTARA,"OUATTARA, M.",,,CDP,2
M. Thrse SANDWIDI/Y,M. Thrse,SANDWIDI/Y,"SANDWIDI/Y, M. Thrse",,,CDP,2
Mahama SAWADOGO,Mahama,SAWADOGO,"SAWADOGO, Mahama",,,CDP,2
Mahamadi KOUANDA,Mahamadi,KOUANDA,"KOUANDA, Mahamadi",,,CDP,2
Mahamane MYAMPO,Mahamane,MYAMPO,"MYAMPO, Mahamane",,,CDP,2
Mamadou BENON,Mamadou,BENON,"BENON, Mamadou",,,CDP,2
Mamadou KON,Mamadou,KON,"KON, Mamadou",,,CDP,2
Mamadou OUDRAOGO,Mamadou,OUDRAOGO,"OUDRAOGO, Mamadou",,,CDP,2
Marie M. OUDRAOGO/C,Marie M.,OUDRAOGO/C,"OUDRAOGO/C, Marie M.",,,CDP,2
Mathieu COULIBALY,Mathieu,COULIBALY,"COULIBALY, Mathieu",,,CDP,2
Michel KOUTABA,Michel,KOUTABA,"KOUTABA, Michel",,,CDP,2
Michel OUEDRAOGO,Michel,OUEDRAOGO,"OUEDRAOGO, Michel",,,CDP,2
Mikal KINOU,Mikal,KINOU,"KINOU, Mikal",,,CDP,2
Moussa BOLY,Moussa,BOLY,"BOLY, Moussa",,,CDP,2
Mutan HIEN,Mutan,HIEN,"HIEN, Mutan",,,CDP,2
N'Pre Adle TRAOR,N'Pre Adle,TRAOR,"TRAOR, N'Pre Adle",,,CDP,2
N. Luc Cyrille KABOR,N. Luc Cyrille,KABOR,"KABOR, N. Luc Cyrille",,,CDP,2
N. Robert LOUE,N. Robert,LOUE,"LOUE, N. Robert",,,CDP,2
Nazaire HIEN,Nazaire,HIEN,"HIEN, Nazaire",,,CDP,2
Nongoma Samuel ZOMA,Nongoma Samuel,ZOMA,"ZOMA, Nongoma Samuel",,,CDP,2
Nbama KR,Nbama,KR,"KR, Nbama",,,CDP,2
Oumarou SAWADOGO,Oumarou,SAWADOGO,"SAWADOGO, Oumarou",,,CDP,2
P.Clment SAWADOGO,P.Clment,SAWADOGO,"SAWADOGO, P.Clment",,,CDP,2
Pargui Emile PAR,Pargui Emile,PAR,"PAR, Pargui Emile",,,UPC,2
Pascal Temai BENON,Pascal Temai,BENON,"BENON, Pascal Temai",,,CDP,2
Rasman GANEMTOR,Rasman,GANEMTOR,"GANEMTOR, Rasman",,,CDP,2
Roch Marc Christian KABORE,Roch Marc Christian,KABORE,"KABORE, Roch Marc Christian",,,CDP,2
Rose ILBOUDO/ZIDA,Rose,ILBOUDO/ZIDA,"ILBOUDO/ZIDA, Rose",,,CDP,2
S. Omar TRAOR,S. Omar,TRAOR,"TRAOR, S. Omar",,,UPC,2
Salfo Thodore OUEDRAOGO,Salfo Thodore,OUEDRAOGO,"OUEDRAOGO, Salfo Thodore",,,CDP,2
Salia SANON,Salia,SANON,"SANON, Salia",,,CDP,2
Sambo OUDRAOGO,Sambo,OUDRAOGO,"OUDRAOGO, Sambo",,,CDP,2
Sadou OUDRAOGO,Sadou,OUDRAOGO,"OUDRAOGO, Sadou",,,CDP,2
Seydou KONAT,Seydou,KONAT,"KONAT, Seydou",,,CDP,2
Simon SAWADOGO,Simon,SAWADOGO,"SAWADOGO, Simon",,,CDP,2
Sina SR,Sina,SR,"SR, Sina",,,CDP,2
Si Pascal KAMBOU,Si Pascal,KAMBOU,"KAMBOU, Si Pascal",,,CDP,2
Somlassida RAMD,Somlassida,RAMD,"RAMD, Somlassida",,,CDP,2
Souleymane DIALLO,Souleymane,DIALLO,"DIALLO, Souleymane",,,CDP,2
T. Abel LOMPO,T. Abel,LOMPO,"LOMPO, T. Abel",,,CDP,2
