uuid,female,male,other,skip,total
03b153f5-4796-4731-a66f-2c1642d23486,0,1,0,0,1
079e967b-2c20-44c0-bcdd-bc4e67edd682,0,0,0,1,1
1ab29d9e-8ce7-444c-94c5-4b167789515e,0,0,0,1,1
1afa00fd-8fba-4a9e-8166-6beeab0d5623,0,0,0,1,1
228ea4a8-00c8-4e78-aec0-4bb671188fb9,0,0,0,1,1
592b640f-cf6d-40cf-a930-a08e6bc67580,0,0,0,1,1
80ca82ec-c818-4f6e-a22d-1f0577ba169b,0,0,0,1,1
85a06950-07ee-4dee-a2a9-b24f3af4f33a,0,0,0,1,1
bbd9774b-de2a-4b59-b343-64388b0fae60,0,0,0,1,1
d1750b83-81cb-44dc-a8ae-e09aa0a92697,0,0,0,1,1
