uuid,female,male,other,skip,total
146ffc20-ed5c-4c78-a7a2-9d2f57339770,0,0,0,1,1
156d9a48-7f3e-4128-b959-0bad0af23685,0,0,0,1,1
1b14ea7d-1016-4923-9c84-3f88d474b1d4,0,0,0,1,1
3e201716-1393-4088-a923-1ac49e19b5ee,0,0,0,1,1
452c9c92-15fc-4525-97e4-844384d4201c,0,0,0,1,1
5b9f46b9-cc9e-44ce-9959-933ecc81c225,0,0,0,1,1
5c28e2e8-f069-420c-895e-3540e00414c0,0,0,0,1,1
6d2bf6d4-7cdf-43de-8dea-bc587a008ef5,0,0,0,1,1
73e9c95e-e477-4cc1-9bf4-56544ba1d598,0,1,0,0,1
749bcd6a-a9d0-47e6-8f03-4575e0959d3c,0,0,0,1,1
9eb08b3f-d7c6-4c40-b37d-023745fd1d53,0,0,0,1,1
a66a3f1e-c40a-41a9-82fe-9b34b8caa331,0,1,0,0,1
b5a20ad8-b410-4594-bb30-3e5c9f244355,0,0,0,1,1
b6f60dd0-75ec-4658-9810-6d28840c7cf1,0,0,0,1,1
c396db6a-d586-4798-abad-d7d941550b2e,0,0,0,1,1
c7d86897-c43e-4faa-b2d2-3361e6547107,0,2,0,1,3
db911be5-7971-4fec-ba17-49c24e82a370,0,1,0,0,1
e1e0c610-8dde-4307-9410-aa267333fb5e,0,0,0,1,1
e71662f8-1bd5-4611-9db7-00813f227a61,0,0,0,1,1
f5b0c229-5ea9-4741-b8a1-f0b7f3c90155,0,0,0,1,1
f7cee335-496d-468b-a4d8-4cfbfa61a750,0,1,0,0,1
fa647d6c-540a-4db2-85e9-7936d99e0326,0,1,0,0,1
fc8ff75a-5580-436b-9663-ffa324299690,0,0,0,1,1
