id,name,image,party,party_id,area,term,source
296,Adilson Silva Fernandes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=296,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=296
300,Alberto Mendes Montrond,http://www.parlamento.cv/DepImag.aspx?CodDeputado=300,MPD,MPD,América,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=300
402,Alcides Monteiro de Pina,http://www.parlamento.cv/DepImag.aspx?CodDeputado=402,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=402
360,Alexandre Dias Monteiro,http://www.parlamento.cv/DepImag.aspx?CodDeputado=360,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=360
325,Américo Sabino Soares Nascimento,http://www.parlamento.cv/DepImag.aspx?CodDeputado=325,PAICV,PAICV,São Nicolau,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=325
326,Ana Paula Dias Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=326,PAICV,PAICV,Sal,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=326
327,Ana Paula Elias Curado Moeda,http://www.parlamento.cv/DepImag.aspx?CodDeputado=327,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=327
408,Aníbal Azevedo Fonseca,http://www.parlamento.cv/DepImag.aspx?CodDeputado=408,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=408
400,Anilda Ineida Monteiro Tavares,http://www.parlamento.cv/DepImag.aspx?CodDeputado=400,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=400
350,António Delgado Monteiro,http://www.parlamento.cv/DepImag.aspx?CodDeputado=350,UCID,UCID,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=350
355,Armindo João da Luz,http://www.parlamento.cv/DepImag.aspx?CodDeputado=355,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=355
298,Austelino Tavares Correia,http://www.parlamento.cv/DepImag.aspx?CodDeputado=298,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=298
351,Carlos Alberto Delgado,http://www.parlamento.cv/DepImag.aspx?CodDeputado=351,PAICV,PAICV,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=351
295,Carlos Alberto Gonçalves Lopes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=295,MPD,MPD,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=295
361,Carlos Miguel Afonseca Monteiro,http://www.parlamento.cv/DepImag.aspx?CodDeputado=361,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=361
299,Celita Annie Alfama Pereira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=299,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=299
328,Clóvis Isildo Barbosa da Lomba da Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=328,PAICV,PAICV,Brava,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=328
301,Damião da Cruz Medina,http://www.parlamento.cv/DepImag.aspx?CodDeputado=301,MPD,MPD,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=301
399,David Elias Mendes Gomes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=399,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=399
312,David Lima Gomes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=312,MPD,MPD,Brava,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=312
348,Dora Oriana Gomes Pires dos Reis,http://www.parlamento.cv/DepImag.aspx?CodDeputado=348,UCID,UCID,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=348
352,Emanuel Alberto Duarte Barbosa,http://www.parlamento.cv/DepImag.aspx?CodDeputado=352,MPD,MPD,Europa,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=352
329,Estevão Barros Rodrigues,http://www.parlamento.cv/DepImag.aspx?CodDeputado=329,PAICV,PAICV,África,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=329
330,Eva Verona Teixeira Andrade Ortet,http://www.parlamento.cv/DepImag.aspx?CodDeputado=330,PAICV,PAICV,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=330
331,Felisberto Alves Vieira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=331,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=331
332,Fernando Jorge Spencer Ferreira Frederico,http://www.parlamento.cv/DepImag.aspx?CodDeputado=332,PAICV,PAICV,Maio,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=332
308,Filipe Alves Gomes dos Santos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=308,MPD,MPD,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=308
353,Filomena de Fátima Ribeiro Vieira Martins,http://www.parlamento.cv/DepImag.aspx?CodDeputado=353,PAICV,PAICV,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=353
309,Filomena Mendes Gonçalves,http://www.parlamento.cv/DepImag.aspx?CodDeputado=309,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=309
395,Francisco Correia Pereira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=395,PAICV,PAICV,Europa,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=395
356,Francisco Marcelino Lopes Correia,http://www.parlamento.cv/DepImag.aspx?CodDeputado=356,MPD,MPD,Sal,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=356
357,Georgina Maria Duarte Gemiê,http://www.parlamento.cv/DepImag.aspx?CodDeputado=357,MPD,MPD,Sal,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=357
401,Hélio de Jesus Pina Sanches,http://www.parlamento.cv/DepImag.aspx?CodDeputado=401,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=401
310,Humberto Elísio Lélis Sousa Duarte,http://www.parlamento.cv/DepImag.aspx?CodDeputado=310,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=310
403,Isa Filomena Pereira Soares da Costa,http://www.parlamento.cv/DepImag.aspx?CodDeputado=403,MPD,MPD,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=403
388,Janira Isabel Fonseca Hopffer Almada,http://www.parlamento.cv/DepImag.aspx?CodDeputado=388,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=388
