uuid,female,male,other,skip,total
31289,20,3,,,23
71517,22,1,,,23
71362,,21,1,,22
31234,,21,,,21
30645,,22,,,22
71762,,22,1,,23
30979,,20,,2,22
35668,,24,,,24
1295,22,,,,22
71380,,20,1,,21
30892,,21,,,21
1813,1,20,1,,22
25454,,23,,,23
31715,,21,,,21
992,20,,,,20
75006,,21,1,,22
38633,,23,,,23
460,,22,,,22
25489,,21,,,21
10524,,22,,,22
71585,,22,1,,23
58573,,19,1,,20
71477,20,1,,,21
35580,,20,,,20
35399,,23,,,23
71407,,22,,,22
71660,,21,,,21
957,,22,,,22
71341,23,,,,23
71368,,24,,,24
1733,,24,,,24
425,,21,,,21
71482,,20,1,,21
25492,21,,,,21
71439,,21,1,1,23
71613,,21,1,,22
1803,,21,,,21
59087,,20,1,,21
20878,20,,,,20
13,,22,,,22
58697,21,1,,,22
25502,,24,,,24
35309,,21,,,21
31267,,21,1,,22
71557,18,3,,,21
71538,20,,,,20
25522,,20,,,20
1313,,22,,,22
71566,,20,1,,21
59235,,21,,,21
1760,,22,,,22
35904,,22,,,22
71533,23,,,,23
71398,22,,,,22
35555,,23,,,23
35857,,22,,,22
30338,,21,1,,22
318,,22,,,22
35274,,23,,,23
71471,24,,,,24
58866,,24,,,24
72079,,23,,,23
913,,22,,,22
15975,,21,,,21
71839,,21,,,21
30467,,20,1,,21
25504,,23,,,23
35950,21,1,,,22
71522,,22,,,22
58620,,22,,1,23
71350,21,,,,21
1209,,22,,,22
35952,,21,,,21
71285,,20,1,,21
1589,20,,,,20
7251,,23,,,23
58939,,20,,,20
1827,,22,,,22
86788,20,,,,20
25478,20,1,,,21
71395,21,,,,21
30836,,21,,,21
58841,,20,,,20
59226,,22,,,22
69482,,23,,,23
71693,,21,,,21
58922,,20,1,,21
59331,21,,,,21
82,,22,,,22
59182,,21,1,,22
71465,,22,,,22
1325,,20,,,20
71338,22,,,,22
35897,,20,1,,21
30982,,22,,,22
31086,,21,,,21
71420,24,,,,24
71945,1,20,1,,22
71434,20,,,,20
71499,23,,,,23
72006,,21,,,21
84660,,20,,,20
40463,,21,,,21
59265,20,1,,,21
35600,,20,1,,21
681,,21,1,,22
59115,21,,,,21
1814,,24,,,24
35665,,22,1,,23
58550,22,1,,,23
30314,,20,1,,21
71680,21,,,,21
35701,21,1,,,22
71717,,20,1,,21
1785,,20,,,20
1795,,20,1,,21
1804,,23,,,23
25446,,21,,,21
54434,,22,,,22
1268,,21,,,21
25474,,21,,,21
891,,22,,,22
35607,,22,,,22
35886,,21,,,21
91,,23,,,23
1604,,21,1,,22
72035,,19,1,,20
35396,,20,,,20
1806,,22,,,22
17210,,21,,,21
59110,21,,,,21
23915,,21,1,,22
30428,,22,,,22
59287,,20,1,,21
1287,,19,1,,20
683,21,1,,,22
31664,1,20,1,,22
232,20,1,,,21
1809,20,1,,,21
35697,,23,,,23
25470,,22,,,22
25524,,21,,,21
1174,,20,1,,21
25497,,22,,,22
84672,,22,,,22
58705,20,,,,20
71576,,22,1,,23
31701,,21,,,21
103,,21,,,21
30418,,22,1,,23
25467,,22,1,,23
35397,,21,,,21
58519,20,1,,,21
1302,,21,,,21
58919,,20,,,20
1826,,21,1,,22
59346,,22,,,22
695,,22,1,,23
35707,21,,,,21
59217,,21,,,21
72773,,20,1,,21
71569,21,,,,21
86249,,22,,,22
46003,21,,,,21
31295,,20,1,,21
25448,,21,,,21
25488,,20,1,,21
1365,,22,,,22
58661,22,,,,22
71430,,23,,,23
35896,,21,,,21
71537,,20,1,1,22
72029,,21,,,21
35933,,20,1,,21
25465,,21,1,,22
25483,,22,,,22
31791,,22,,,22
25447,23,,,,23
25453,,21,,,21
25462,,22,1,,23
58775,,20,1,,21
25523,,20,,,20
59068,,22,,,22
58581,21,2,,,23
71986,,21,,,21
86260,,22,,,22
1265,,22,,,22
71530,21,,,,21
25505,21,,,,21
30812,20,1,,,21
71560,,21,,,21
25501,21,,1,,22
1819,,20,1,,21
58914,,22,,,22
2897,22,,,,22
71995,,22,,,22
71458,,22,,,22
4255,,21,,,21
9486,,23,,,23
25456,,22,,,22
25475,,20,,,20
873,,21,,,21
71780,22,,,,22
71549,,22,,,22
59143,,22,,,22
25520,1,20,1,,22
71627,,22,,,22
31765,,22,1,,23
413,,21,1,,22
54325,22,,,,22
88,,20,1,,21
48292,,20,,,20
55139,,20,1,,21
35539,1,20,1,,22
9137,,24,,,24
58890,,22,,,22
25461,,23,,,23
35699,,21,1,,22
71436,,23,,,23
71772,,21,,,21
25533,23,,,,23
58637,,22,1,,23
1525,1,21,,,22
58528,,21,,1,22
35724,,22,,,22
71824,,21,,,21
77515,22,,,,22
58833,21,,,,21
58733,1,22,,,23
71270,,21,1,,22
58628,,21,1,,22
71786,19,1,,1,21
31508,22,1,,,23
1099,,19,1,,20
35422,,22,,1,23
71611,,20,,,20
71377,,22,,,22
71902,23,,,,23
71688,22,,,,22
35873,23,,,,23
58537,21,,,,21
71319,,20,1,,21
36037,20,2,,,22
1787,21,,,,21
1832,,22,,,22
35351,,22,,,22
59156,21,,,,21
86261,,21,1,,22
1262,,21,,,21
69488,,22,,,22
13218,23,,,,23
71447,,20,1,,21
63589,,22,,,22
63592,,20,,,20
71755,,20,,,20
59203,,23,,,23
35998,,21,1,,22
16399,,21,,,21
35535,,20,1,,21
35389,,22,,,22
30552,,23,,,23
72052,,21,,,21
63577,,22,,,22
71323,,21,1,,22
820,,23,,,23
60078,1,21,,,22
30503,,21,,,21
59325,1,22,,,23
26684,,22,,,22
71496,20,1,,,21
3633,,23,,,23
71553,,21,1,,22
72018,23,1,,,24
764,23,,,,23
71861,21,,,,21
59148,1,20,,,21
1817,,22,,,22
1598,19,1,,,20
29881,,22,1,,23
3242,20,1,,,21
25493,,24,,,24
71503,,23,,,23
71357,21,,,,21
71490,21,,,,21
9135,,21,1,,22
35767,,22,,,22
30903,,21,,,21
23897,,21,,,21
25486,,22,1,,23
35663,,22,,,22
84665,20,,,1,21
25513,,21,,,21
43,,22,,,22
58626,21,,1,,22
1838,20,,,,20
71413,,20,1,,21
35648,22,,,,22
58877,22,,,,22
25511,,22,,,22
74,,22,,,22
71401,18,2,,,20
71424,21,,,,21
71625,,22,,,22
25516,,22,1,,23
33,,23,,,23
Q21158711,,1,,,1
Q4679921,,1,,,1
marco_mendicino,,1,,,1
pat_finnigan,,1,,,1
Q3018407,,1,,,1
greg_fergus,,1,,,1
Q2851214,1,,,,1
Q3187235,1,,,,1
Q1396130,,,,1,1
celina_caesar-chavannes,1,,,,1
Q3476701,,1,,,1
Q4931915,,1,,,1
kate_young,1,,,,1
john_aldag,,1,,,1
yves_robillard,,,,1,1
Q16194082,1,,,,1
Q16195363,,,,1,1
