id,name,start_date,end_date,wikidata
42,42nd Parliament,2015-12-03,,Q21157957
41,41st Parliament,2011-06-02,2015-08-02,Q2816776
40,40th Parliament,2008-11-18,2011-03-26,Q2816734
39,39th Parliament,2006-04-03,2008-09-07,Q2816456
38,38th Parliament,2004-10-04,2005-11-29,Q2816426
37,37th Parliament,2001-01-29,2004-05-23,Q2816403
36,36th Parliament,1997-09-22,2000-10-22,Q607111
35,35th Parliament,1994-01-17,1997-04-27,Q2816325
34,34th Parliament,1988-12-12,1993-09-08,Q2816274
33,33rd Parliament,1984-11-05,1988-10-01,Q2816229
32,32nd Parliament,1980-04-14,1984-07-09,Q2816187
31,31st Parliament,1979-10-09,1979-12-14,Q2816154
30,30th Parliament,1974-09-30,1979-03-26,Q524271
29,29th Parliament,1973-01-04,1974-05-09,Q2815754
28,28th Parliament,1968-09-12,1972-09-01,Q2815682
27,27th Parliament,1966-01-18,1968-04-23,Q607911
26,26th Parliament,1963-05-16,1965-09-08,Q2815507
25,25th Parliament,1962-09-27,1963-02-06,Q2815405
24,24th Parliament,1958-05-12,1962-04-19,Q2815301
23,23rd Parliament,1957-10-14,1958-02-01,Q2815155
22,22nd Parliament,1953-11-12,1957-04-12,Q2815001
21,21st Parliament,1949-09-15,1953-06-13,Q2814893
20,20th Parliament,1945-09-06,1949-04-30,Q683807
19,19th Parliament,1940-05-16,1945-04-16,Q2813443
18,18th Parliament,1936-02-06,1940-01-25,Q2810909
17,17th Parliament,1930-09-08,1935-08-14,Q2809664
16,16th Parliament,1926-12-09,1930-05-30,Q2808908
15,15th Parliament,1926-01-07,1926-07-02,Q2808368
14,14th Parliament,1922-03-08,1925-09-05,Q2807921
13,13th Parliament,1918-03-18,1921-10-04,Q2807633
12,12th Parliament,1911-11-15,1917-10-06,Q2807469
11,11th Parliament,1909-01-20,1911-07-29,Q958834
10,10th Parliament,1905-01-11,1908-09-17,Q2806875
9,9th Parliament,1901-02-06,1904-09-29,Q2818810
8,8th Parliament,1896-08-19,1900-10-09,Q2818627
7,7th Parliament,1891-04-29,1896-04-24,Q2818399
6,6th Parliament,1887-04-13,1891-02-03,Q2818144
5,5th Parliament,1883-02-08,1887-01-15,Q2817857
4,4th Parliament,1879-02-13,1882-05-18,Q2817032
3,3rd Parliament,1874-03-26,1878-08-17,Q2816603
2,2nd Parliament,1873-03-05,1874-01-02,Q2815900
1,1st Parliament,1867-11-06,1872-07-08,Q784112
