uuid,twitter
c153ec2d-cc60-4ec5-bf31-dc227e6ee1a0,TOAdamVaughan
4a5b0ae2-7b2d-4098-87d8-e9f21f48c3fc,AhmedHussenMP
d026b523-77a8-40c1-bc46-0d0ed5dbb1de,AlainRayes
aab176a0-738c-4e1d-9881-9a80e167b654,AlainaLockhart
cc4baa7a-8eff-47fd-94fe-1ec70163e295,AlexandraBrStL
b400cf06-ec08-4078-881c-031894a209d0,alexboulerice
aabed860-eda7-460a-bb83-b2c20f7dcfe6,AliEhsassi
cc155c88-5225-4911-b482-31b1bb057c34,AMacGregor4CML
2a287b93-d28d-45f1-93fb-352bac56c93d,Alupa_Clarke
d74f3ee3-90b4-40f1-b5e7-40a76cd8210c,SohiAmarjeet
cfb32652-cb1e-47e4-ae73-d4b9f0cabb69,AndyFillmoreHFX
79fe8e9c-7e7b-4154-bcd6-edf540ab1ba5,AngeloIacono
c2df2727-f0b4-4e9d-91b3-944cf66922f1,anitavandenbeld
b0c1d012-aaa7-4af7-bab9-c61dea2ed700,adhillonliberal
941068a7-ec98-40e6-ac7b-71ad2445572f,AnneMTQuach
e1e5cfc6-261e-4a6b-9593-957cb797496b,AHousefather
34a158a3-65d5-4b3b-ae5d-48fada0d45de,AnthonyRota
573adbb6-71ea-4fc6-9375-807dcd57e4de,viraniarif
0f9664bf-5f2f-441a-a527-cc183deb6c21,ArnoldChanLib
2fceb42f-7e86-44e3-b1f2-c8aef96bb62e,ArnoldViersen
dc374b77-57a7-4d98-afa2-12beca7cbed5,BardishKW
578d055f-cdf9-482d-8b31-fb4fc95e6018,voteBenLobb
cf8df06e-191f-4e7f-bb83-53673966ff33,BernJordan2015
1f986294-db4b-4fc6-a58b-aa8f312c84a1,GenereuxBernard
9daf909d-56d2-4047-85b3-5280d03e7b0d,BevShipleyMP
07b475ae-f247-4f26-9e92-a9160d2c68c4,BillBlair
30178333-e680-4fc3-bd0a-974a931ad716,billcaseyns
9946591e-c601-43bb-8ce1-0c3851d3cd12,Bill_Morneau
1a4d4673-eea9-497e-9055-4f31c94eac37,blainecalkinsmp
1bba5e47-69cc-4688-ac8c-d1d54202d90a,BlakeRichardsMP
e6a8c2a5-fd41-4493-a046-3d9de1e09961,BratinaBobHESC
fecb5767-d696-422b-831d-6b74237c16ac,VoteBobNault
7d77d716-5e86-45e6-8480-8fa1acb17e9c,BobSaroya
8887d1b3-d7c6-4521-bcf0-9803e166d90d,bobzimmermp
3c5a1553-1fd2-404c-ba2d-f66748cfd190,MorrisseyEgmont
a08c9763-d0c9-4f2e-8f28-8988ab9b10c4,VoteBorys
d16b71c6-c860-474e-ae23-23cb8eca44f6,BradTrostCPC
77c10a8b-76b9-486f-b995-96a82a494223,BShanahanLib
4f4cd4bb-ea18-49dd-acb4-35dae1cc69fd,BrianMasseMP
5a45e24a-ef29-4e09-8d7c-09645eb35a15,bsansoucynpd
2882294b-fabe-4310-807e-359a58ab847e,bruce_stanton
f0195709-4df9-4af2-8e7c-27e8640f5234,_BryanMay
6758991f-559f-4956-aa1a-45e54e1d6683,CandiceBergenMP
f302c313-e094-40f2-85c8-fa9e3f37d2bc,CQualtro
48c57b21-9167-43a9-a07b-55126c1b1957,CarolHughesMP
57d773f2-4ea0-40e0-970b-32d05de0c2fe,Carolyn_Bennett
01e8eb2b-c3ad-4a9a-9a25-dcd5e08c6124,cathmckenna
20a11df1-6a12-4ead-8c35-8b0add7eaf9d,Cathy_McLeod
fd2a5cb0-2a60-42fd-80c2-7bd68466bac1,celinachavannes
0068ee69-6842-482c-9ffc-b7c67854ceef,ChandraNepean
59b0a67d-f042-453e-a2b0-a034008a1e22,CharlieAngusNDP
90895536-54a4-4605-8797-b879726620c2,cherylgallant
ecf2e24c-27a4-41f0-aad1-8552a8ce7410,CHardcastleNDP
00390221-a0ac-4cd6-8e3f-75ab374ade6d,Chris_Bittle
aa1e92c9-8486-4351-bb69-a1888bcfff7d,chriswarkentin
9b57c8aa-e814-4759-9e75-2f67de1e3265,MooreNpd
76dd4a30-b876-4b7d-a87a-278ba6c6c28d,cafreeland
e57ae25e-fb40-4d1f-824d-77b548fc1058,ColinCarrie
1df09c90-3cfc-4033-94de-f0bb85cee9b5,colinjmfraser
e0dc6b21-81e1-4853-ac4a-45004fb42a50,DanAlbas
35390ff2-8f7c-4158-8c8b-8b202ec4920b,danruimy2015
b7484474-2fd6-44c9-b59d-583dfc5de35b,stbdan
d8a40efc-de4a-4327-8a9b-058723a8d203,DBlaikieNDP
2df0f2d6-7f1c-4183-905b-1b4c96d17a5a,darrellsamson
3cc90118-c2d2-44e7-9a66-feefee8a147a,DarrenFisherNS
0ac080f5-ef12-4735-9f72-b2e2a974ed56,darshankang
fe2bf7c2-078c-44f7-9f1f-fe46021b1ca4,DaveMacKenzieMP
f3eb6590-2e7c-4120-80f5-b1ea25cd245d,DaveChrisMP
0869a397-7466-4ae2-81e0-467eaf75f677,daviddbgraham
ccd8d94a-3564-4408-bd23-ad40283b48fb,DavidAndersonSK
6d63c4d4-61cb-4ae3-9e96-03432fc2c24e,DavidLametti
0688cbed-459e-45b6-a7d0-3cebea4913ee,DavidMcGuinty
adad6b66-f08f-44da-b7e1-2e8884eb6d73,DavidSweetMP
0f5c34f8-f5ae-46eb-91a4-7b1b75a3f6b0,davidtilson
1c1f62d8-d4b5-4663-addc-1adeff6670a6,DavidYurdiga
6d67a2e9-f9d7-4e26-9e1e-763df82488b3,DeanAllisonMP
a48e22ec-ed25-49fb-8840-5536ebccd097,_DebSchulte
dfc98917-b92e-4039-a9b9-9c698a2bdefb,deepakobhrai
a5ee7fbe-2c98-49e8-9ba9-45fd65de3a0e,DenisLebelPCC
97d4a4da-661b-4499-b6e6-dc4cacca3b60,DenisLemieuxLib
e0560c11-7bc4-4147-a87d-6acb615bf996,DenisParadisPLC
bade011d-a91b-44b0-b4db-876160a45bb5,DiLebouthillier
cbd37935-baa4-4f47-8280-b59fd7c96e5e,DianneLWatts
5ddb1530-a67c-4916-8f80-81546e959bc9,DonDavies
4b7f08d3-6ede-4262-b111-ddfe46d3055e,DonRusnakMP
c47ec408-dd39-4a4c-8d50-b6ce6b08c682,DougEyolfson
6a554683-5cfb-4808-981b-1a16f27aad98,earl_dreeshen
37f5e495-f6e4-4cc2-aa26-5ecf77a47ba7,HonEdFast
21f59f22-56cf-4f71-aec4-d2a38bd12882,ElizabethMay
e6935df0-a2a1-4936-b97d-d4a73d3fac5a,EmmanuelDubourg
6c8482f2-79f1-48f4-af06-22ed47b8aeae,ErinOTooleMP
a9077336-21cd-4ad1-976f-2cc486ac8c0d,Erin_Weir
3e97f38e-4966-4a2a-bdd6-62cee1d03d75,EvaNassifVimy
7f8df594-7a22-4e71-b1a9-4bd3c6f2b723,F_ElKhoury
4956f50a-66ca-4d88-b10b-b27a74ef8134,votetassi
