name,twitter,area,source,id
Alexandrine Latendresse,@ALatendresseNPD,Louis-Saint-Laurent,http://politwitter.ca/user/ALatendresseNPD,@ALatendresseNPD
Harold Albrecht,@Albrecht4KitCon,Kitchener—Conestog,http://politwitter.ca/user/Albrecht4KitCon,@Albrecht4KitCon
Alice Wong,@AliceWongCanada,Richmond,http://politwitter.ca/user/AliceWongCanada,@AliceWongCanada
Andrew Saxton,@AndrewSaxton1,North Vancouver,http://politwitter.ca/user/AndrewSaxton1,@AndrewSaxton1
Anne Minh Thu Quach,@AnneMTQuach,Beauharnois—Salabe,http://politwitter.ca/user/AnneMTQuach,@AnneMTQuach
Anne-Marie Day,@AnneMarieDay,Charlesbourg—Haute,http://politwitter.ca/user/AnneMarieDay,@AnneMarieDay
Annick Papillon,@AnnickPapillon,Québec,http://politwitter.ca/user/AnnickPapillon,@AnnickPapillon
Scott Armstrong,@Armstrong_MP,Cumberland—Colches,http://politwitter.ca/user/Armstrong_MP,@Armstrong_MP
Baljit Gosal,@BalGosal,Bramalea—Gore—Ma,http://politwitter.ca/user/BalGosal,@BalGosal
Barry Devolin,@BarryDevolin_MP,Haliburton—Kawarth,http://politwitter.ca/user/BarryDevolin_MP,@BarryDevolin_MP
Bev Shipley,@BevShipleyMP,Lambton—Kent—Mid,http://politwitter.ca/user/BevShipleyMP,@BevShipleyMP
Blake Richards,@BlakeRichardsMP,Taschereau,http://politwitter.ca/user/BlakeRichardsMP,@BlakeRichardsMP
Robert Dechert,@BobDechert,Mississauga—Erinda,http://politwitter.ca/user/BobDechert,@BobDechert
Brad Butt,@BradButtMP,Mississauga—Street,http://politwitter.ca/user/BradButtMP,@BradButtMP
Brad Trost,@BradTrostCPC,Saskatoon—Humboldt,http://politwitter.ca/user/BradTrostCPC,@BradTrostCPC
Brian Masse,@BrianMasseMP,Option Nationale,http://politwitter.ca/user/BrianMasseMP,@BrianMasseMP
