uuid,female,male,other,skip,total
2f8ad20e-7927-4908-8d07-10cc59e84c2f,,9,,,9
46efa9f0-d3a8-4ff3-a91a-95bc02e690ad,,9,,,9
7a56d912-20a1-439e-abb9-a3ab8a9477bc,,9,,,9
eda56e58-4a01-4677-b323-00f5cb0b9ae9,9,,,,9
029e83d9-6ae8-42e9-affc-7385f585ead1,,9,,,9
2b9b5337-aa6e-4b92-bdf6-0a56f2e753c5,,9,,,9
6e89accb-b441-4b84-85b8-35e3d672b19e,9,,,,9
a19c4d5d-90b1-49cc-9dd3-19b1ce044641,,9,,,9
52ac2a43-2a41-4c68-a7af-c6cbfee1dcb3,,9,,,9
67c1802d-5411-43a6-8724-7c4ad60c2b02,,9,,,9
25c122e5-9171-496e-ab04-02f14be3c0f5,,9,,,9
6a5a9212-460e-445a-b258-a64a2409fea9,,9,,,9
93b2e88f-801c-4b7a-9d33-c9fe1fabf8c1,,9,,,9
bebacda8-c801-463c-8362-eeceb7f65c97,,9,,,9
b52a99ed-df71-4062-a9a8-29b84c517d01,,9,,,9
7fb1e8d7-e09a-4e6c-ae16-caa776f6d066,,9,,,9
b88af1fb-cbdb-48cd-af81-7b20dd18e3fd,,9,,,9
773724cd-fa73-4ac0-843b-5254e1d7d36e,,9,,,9
