id,name__en,name__es,name__nl,name__fr,name__de,name__nb,name__da,name__nn,name__sv,name,wikipedia__en,wikipedia__es,wikipedia__simple,image,gender,birth_date,given_name,name__it,wikipedia__fr,identifier__VIAF,identifier__SUDOC,wikipedia__nl,death_date,name__eo,name__pt,name__pl,wikipedia__commons,wikipedia__de,wikipedia__eo,wikipedia__it,wikipedia__pl,wikipedia__pt,identifier__ISNI,identifier__GND,identifier__LCAuth,identifier__freebase,name__ca,name__gl,name__hr,wikipedia__hr,wikipedia__itwikiquote,name__lmo,name__hy,wikipedia__hy,identifier__GTAA,name__nds,family_name,identifier__NTA,name__ro,name__fy,name__cs,name__el,name__ru,wikipedia__ca,wikipedia__fy,wikipedia__sv,identifier__BNF,identifier__IMDB,identifier__NLA,website,identifier__BNE,identifier__NLP,twitter,name__sco,wikipedia__sco,name__hu,name__tr,wikipedia__tr,wikipedia__no,wikipedia__ru,name__ko,name__si,name__ja,name__ne,name__az,name__ml,name__ta,name__uk,name__id,wikipedia__az,wikipedia__cs,wikipedia__hu,wikipedia__id,wikipedia__ja,wikipedia__ko,wikipedia__ml,wikipedia__ne,wikipedia__plwikiquote,wikipedia__si,wikipedia__ta,wikipedia__uk,wikipedia__enwikiquote,wikipedia__eswikiquote
Q7121672,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,Pablo Longueira,https://upload.wikimedia.org/wikipedia/commons/f/fc/Pablo_Longueira_Montes.jpg,male,1958-08-12,Pablo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5751049,Carlos Montes Cisternas,Carlos Montes Cisternas,,Carlos Montes Cisternas,,,,,,Carlos Montes Cisternas,,Carlos Montes Cisternas,,,male,1946-05-11,Carlos,Carlos Montes Cisternas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3081862,Francisco Huenchumilla,Francisco Huenchumilla,,Francisco Huenchumilla,,,,,,Francisco Huenchumilla,,Francisco Huenchumilla,,,male,1944-03-22,Francisco,,Francisco Huenchumilla,310594873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5889966,Gutenberg Martínez,Gutenberg Martínez,,,,,,,,Gutenberg Martínez,,Gutenberg Martínez,,,male,1950-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5399541,Jaime Estévez,Jaime Estévez,,,,,,,,Jaime Estévez,,Jaime Estévez,,,male,1946-09-27,Jaime,,,111157393,082299641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3160564,Jaime Campos,Jaime Campos,,Jaime Campos,,,,,,Jaime Campos,,Jaime Campos,,,male,1953-02-16,Jaime,,Jaime Campos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2336523,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,Claudio Huepe,,https://upload.wikimedia.org/wikipedia/commons/f/f4/Claudio_Humberto_Huepe_García.jpg,male,1939-12-25,Claudio,,,,,Claudio Huepe,2009-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5676013,Andrés Palma,Andrés Palma,,,,,,,,Andrés Palma,,Andrés Palma,,https://upload.wikimedia.org/wikipedia/commons/c/cf/Andrés_Palma_Irarrázaval.jpg,male,1955-07-21,Andrés,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8846905,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Evelyn_Matthei_Fornet.jpg,female,1953-11-11,Evelyn,Evelyn Matthei,Evelyn Matthei,86258796,158076699,,,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Category:Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,Evelyn Matthei,0000 0000 7891 3126,141226684,n2009024099,/m/04mzlrb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6066731,Patricio Melero,Patricio Melero,,Patricio Melero,,,,,,Patricio Melero,,Patricio Melero,,,male,1956-06-19,Patricio,Patricio Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5656484,María Angélica Cristi,María Angélica Cristi,,María Angélica Cristi,María Angélica Cristi,María Angélica Cristi,María Angélica Cristi,María Angélica Cristi,María Angélica Cristi,María Angélica Cristi,,María Angélica Cristi,,https://upload.wikimedia.org/wikipedia/commons/5/56/María_Angélica_Cristi_Marfil.jpg,female,1941-10-13,María,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4760169,Andrés Chadwick,Andrés Chadwick,Andrés Chadwick,,Andrés Chadwick,Andrés Chadwick,Andrés Chadwick,Andrés Chadwick,Andrés Chadwick,Andrés Chadwick,Andrés Chadwick,Andrés Chadwick,,https://upload.wikimedia.org/wikipedia/commons/2/23/Ministro_Andrés_Chadwick.jpg,male,1956-01-02,Andrés,,,,,,,,,,Category:Andrés Chadwick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5951802,Juan Pablo Letelier,Juan Pablo Letelier,,Juan Pablo Letelier,,,,,,Juan Pablo Letelier,,Juan Pablo Letelier,,,male,1961-01-07,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1628673,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,Camilo Escalona,,https://upload.wikimedia.org/wikipedia/commons/9/92/Camilo_Escalona_Medina.jpg,male,1955-06-15,Camilo,Camilo Escalona,,123937056,134194756,,,,Camilo Escalona,,,,,Camilo Escalona,,Camilo Escalona,,,,/m/0jl10jf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5664433,Aldo Cornejo,Aldo Cornejo,,Aldo Cornejo,,,,,,Aldo Cornejo,,Aldo Cornejo,,https://upload.wikimedia.org/wikipedia/commons/7/76/Aldo_Cornejo_González.jpg,male,1955-04-19,Aldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5925247,Jaime Orpis,Jaime Orpis,,Jaime Orpis,,,,,,Jaime Orpis,,Jaime Orpis,,,male,1956-09-16,Jaime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5749950,Carlos Cantero,Carlos Cantero,,Carlos Cantero,,,,,,Carlos Cantero,,Carlos Cantero,,,male,1956-11-11,Carlos,Carlos Cantero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5936037,Jorge Schaulsohn,Jorge Schaulsohn,,Jorge Schaulsohn,,,,,,Jorge Schaulsohn,,Jorge Schaulsohn,,,male,1952-12-22,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5576411,Hosain Sabag,Hosain Sabag,,Hosain Sabag,,,,,,Hosain Sabag,,Hosain Sabag,,,male,1937-05-05,,Hosain Sabag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6165698,Víctor Pérez Varela,Víctor Pérez Varela,,,Víctor Pérez Varela,,,,,Víctor Pérez Varela,,Víctor Pérez Varela,,https://upload.wikimedia.org/wikipedia/commons/c/c5/Víctor_Pérez_Varela_oficial.jpg,male,1954-10-18,Víctor,,,,,,,,,,,,,,,,,,,,Víctor Pérez Varela,Víctor Pérez Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q4850447,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,Baldo Prokurica,,https://upload.wikimedia.org/wikipedia/commons/1/1f/Baldo_Prokurica_Prokurica.jpg,male,1958-07-02,Baldo,,,,,,,,,,Category:Baldo Prokurica Prokurica,,,,,,,,,/m/0jt8t44,,,Baldo Prokurica Prokurica,Baldo Prokurica Prokurica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5921242,Isidoro Tohá,Isidoro Tohá,,,,,,,,Isidoro Tohá,,Isidoro Tohá,,https://upload.wikimedia.org/wikipedia/commons/0/0e/Isidorotoha.jpg,male,1929-01-24,Isidoro,,,,,,2007-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3186176,José Antonio Viera-Gallo,José Antonio Viera-Gallo,José Antonio Viera-Gallo,José Antonio Viera-Gallo,,José Antonio Viera-Gallo,José Antonio Viera-Gallo,José Antonio Viera-Gallo,José Antonio Viera-Gallo,José Antonio Viera-Gallo,José Antonio Viera-Gallo,José Antonio Viera-Gallo,,,male,1943-01-01,José,José Antonio Viera Gallo,José Antonio Viera-Gallo,,,,,,,,,,,,,,,,,,,,,,José Antonio Viera Gallo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6499373,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,Laura Rodríguez,,,female,1957-01-01,Laura,,,1701078,,,1992-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5865198,Francisco Bartolucci,Francisco Bartolucci,,Francisco Bartolucci,,,,,,Francisco Bartolucci,,Francisco Bartolucci,,,male,1949-12-24,Francisco,Francisco Bartolucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5707321,Arturo Longton,Arturo Longton,,Arturo Longton,,,,,,Arturo Longton,Arturo Longton,Arturo Longton,,https://upload.wikimedia.org/wikipedia/commons/6/66/Arturo_Longton_Guerrero.jpg,male,1948-06-25,Arturo,Arturo Longton,,,,,2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5936177,Jorge Ulloa,Jorge Ulloa,,Jorge Ulloa,,,,,,Jorge Ulloa,,Jorge Ulloa,,,male,1958-09-15,Jorge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5947246,Juan Antonio Coloma,Juan Antonio Coloma,,,,,,,,Juan Antonio Coloma,,Juan Antonio Coloma,,https://upload.wikimedia.org/wikipedia/commons/9/91/Juan_Antonio_Coloma_Correa_oficial.jpg,male,,Juan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
