uuid,female,male,other,skip,total
294957da-609e-420e-94ec-fecafdff74fc,0,1,0,0,1
29767fe2-4fca-484a-9498-751350761736,0,1,0,0,1
3136c619-4388-482d-b4c4-e05d375ca4f9,0,1,0,0,1
5da3f1ba-29c3-4e8e-bbdc-3152dee7b736,0,1,0,0,1
5e00e480-112a-4273-b715-f8cd73a1a41d,0,0,0,1,1
67ac1ecb-6cfe-4e85-9253-6ecd9051502f,0,1,0,0,1
82e5721d-6045-45a0-a5cd-056c1ea8c599,0,1,0,0,1
90474160-162a-4cd3-b0bd-330fa771e886,0,2,0,0,2
a41a574f-82e8-423d-900a-20dedd5d6d7c,0,1,0,0,1
ae28b33d-6fee-4301-9139-66820659f9a0,0,1,0,0,1
f029942f-498e-4e22-aeb1-2822224258a5,0,1,0,0,1
f2f0cb32-6f5b-4244-a140-ba25d1c86105,0,1,0,0,1
fd2ef8cf-9aba-4936-95c5-513d2a254d5a,0,1,0,0,1
