uuid,female,male,other,skip,total
29ef0bd5-06af-48e3-a84f-d67cc64a3f5a,1,,,2,3
6c01f67b-df60-4a4f-b5b9-fab87989fb2b,,1,,2,3
e4cecaf4-2435-47dd-b586-86d00a707125,,2,,1,3
6647e778-ebf0-4a40-8d0b-c21ef99e52ce,,2,,2,4
71512d8a-163d-4e9b-84e4-6a1935784c67,,1,,3,4
73e18486-7478-4cb3-a005-4433605ac358,,1,,2,3
ec3a5431-4b56-4b39-8b78-2a54d35ac169,,2,,1,3
440abfc8-699f-4da4-b438-d21fba223358,3,,,,3
8473de5e-468a-4b41-bf6b-bbbc7fe1e456,1,,,1,2
8f07b545-0b6e-4ab6-ae97-3e2b62c644ba,,,,3,3
ab30f3fb-8a6c-43a2-951d-ece79457ffa5,,,,2,2
teariki_heather,,1,,,1
tekii_lazaro,,1,,,1
tai_tura,,1,,,1
nandi_glassie,,1,,,1
