id,name,position,start_date,end_date
76b68c0f-5e11-49ba-8fc4-92f64f50e4fe,Agnete Laustsen,Minister of Health,,
31d21aad-5350-401a-b791-b90eb29298fc,Aleqa Hammond,Prime Minister of Greenland,2013-04-05,
1dc90004-24f3-4d60-a8a2-d6984dd5ae49,Anders Fogh Rasmussen,Prime Minister of Denmark,2001-11-27,2009-04-05
d34ec3c0-c36d-4eb7-ac88-d07f403bb5c7,Anders Samuelsen,member of the European Parliament,2004-06-13,2007-11-28
60da19e3-3d06-4713-a01a-ec98f293e62a,Anker Jørgensen,President of the Nordic Council,1986-01-01,1986-12-31
60da19e3-3d06-4713-a01a-ec98f293e62a,Anker Jørgensen,President of the Nordic Council,1991-01-01,1991-12-31
60da19e3-3d06-4713-a01a-ec98f293e62a,Anker Jørgensen,Prime Minister of Denmark,,
2187680d-c103-423a-aa26-a1033fb372f5,Arne Melchior,member of the European Parliament,,
6c0fc583-b172-48eb-b02f-565e1ca833d6,Astrid Krag,Minister of Health,,
989088a7-c077-42f0-a849-833583b37157,Bendt Bendtsen,member of the European Parliament,2009,
45c67542-2c9c-4290-8e9d-e0329ef79348,Bent Hindrup Andersen,member of the European Parliament,,
94063264-da94-475d-9007-55f279b9b27e,Bertel Haarder,member of the European Parliament,,
8d6cd1b8-f9a1-49ba-8582-056e7516b78f,Birte Weiss,member of the European Parliament,,
8d6cd1b8-f9a1-49ba-8582-056e7516b78f,Birte Weiss,Minister of Health,,
e482d853-f396-4983-bc4f-a0b1d8a972d2,Bjarne Corydon,Finance Minister of Denmark,,
59b38046-2fb1-4c9d-b60a-fe99d2971c9e,Brian Mikkelsen,Justice Minister of Denmark,,
59b38046-2fb1-4c9d-b60a-fe99d2971c9e,Brian Mikkelsen,Culture Minister of Denmark,,
7834533b-05c9-40c0-b1bc-cacbdb2cf826,Carl Holst,Defence Minister of Denmark,2015-06-28,
7834533b-05c9-40c0-b1bc-cacbdb2cf826,Carl Holst,Minister for Nordic Co-operation,2015-06-28,
726e7169-df5a-4ecd-a59b-69ef0e9646fb,Carsten Hansen,Minister for Nordic Co-operation,,
5180d3c9-dca9-41e4-b301-4c2a1b394300,Carsten Koch,Minister of Health,,
fdde2375-79d9-4110-b139-910a7ebcf9bc,Christine Antorini,Education Minister of Denmark,2011-10-03,
61598695-5db5-4cca-a014-f5c867802c7c,Claus Larsen-Jensen,member of the European Parliament,,
844ee47a-dfd3-4a49-a9b8-46a1712a75cf,Dan Jørgensen,member of the European Parliament,,
5df42bb9-3299-4fed-9b96-03a03b631fa1,Erhard Jakobsen,member of the European Parliament,,
2e13f5c7-8183-4937-9566-9c5aed51b5eb,Erik Ninn-Hansen,Defence Minister of Denmark,,
