uuid,female,male,other,skip,total
olga_ivanova,1,,,,1
tarmo_tamm,,1,,,1
mihkel_raud,,1,,,1
marko_mihkelson,,1,,,1
vladimir_velman,,1,,,1
urmas_reinsalu,,1,,,1
andre_sepp,,1,,,1
mailis_reps,1,,,,1
andres_anvelt,,1,,,1
helmen_kütt,1,,,,1
valdo_randpere,,1,,,1
mark_soosaar,,1,,,1
marianne_mikko,1,,,,1
keit_pentus-rosimannus,1,,,,1
sven_mikser,,1,,,1
artur_talvik,,1,,,1
anne_sulling,1,,,,1
laine_randjärv,1,,,,1
mart_nutt,,1,,,1
andres_ammas,,1,,,1
urmas_kruuse,,1,,,1
kalle_laanet,,1,,,1
eerik-niiles_kross,,1,,,1
mati_raidma,,1,,,1
jevgeni_ossinovski,,1,,,1
andrei_novikov,,2,,,2
raivo_aeg,,1,,,1
yoko_alender,1,,,,1
lauri_luik,,1,,,1
margus_tsahkna,,1,,,1
rainer_vakra,,1,,,1
uno_kaskpeit,,1,,,1
jaanus_karilaid,,1,,,1
kristen_michal,,1,,,1
terje_trei,1,,,,1
erki_savisaar,,1,,,1
vilja_savisaar-toomast,1,,,,1
marko_pomerants,,1,,,1
viktor_vassiljev,,2,,,2
mihhail_stalnuhhin,,1,,,1
ants_laaneots,,1,,,1
mihhail_korb,,1,,,1
monika_haukanõmm,1,,,,1
toomas_vitsut,,1,,,1
enn_eesmaa,,1,,,1
viktoria_ladõnskaja,1,,,,1
madis_milling,,1,,,1
urve_tiidus,1,,,,1
dmitri_dmitrijev,,1,,,1
toomas_kivimägi,,1,,,1
maris_lauri,1,,,,1
jürgen_ligi,,1,,,1
aivar_kokk,,1,,,1
johannes_kert,,1,,,1
maire_aunaste,1,,,,1
mihhail_kõlvart,,3,,2,5
ivi_eenmaa,1,,,,1
marika_tuus-laul,1,,,,1
jaak_madison,,1,,,1
jüri_ratas,,1,,,1
kalvi_kõva,,1,,,1
remo_holsmer,,2,,,2
heljo_pikhof,1,,,,1
jaak_aaviksoo,,1,,,1
kalle_palling,,1,,,1
aadu_must,,1,,,1
jüri_jaanson,,1,,,1
ken-marti_vaher,,1,,,1
krista_aru,1,,,,1
heidy_purga,1,,,,1
priit_toobal,,1,,,1
siret_kotka,1,,,,1
hardi_volmer,,1,,,1
andres_herkel,,1,,,1
meelis_mälberg,,1,,,1
priit_sibul,,1,,,1
arno_sild,,1,,,1
arto_aas,,1,,,1
lauri_laasi,,1,,,1
andres_metsoja,,1,,,1
urve_palo,1,,,,1
igor_gräzin,,1,,,1
indrek_saar,,1,,,1
kersti_sarapuu,1,,,,1
eiki_nestor,,1,,,1
kalle_muuli,,1,,,1
martin_kukk,,1,,,1
kadri_simson,1,,,,1
hannes_hanso,,1,,,1
martin_repinski,,1,,,1
valeri_korb,,1,,,1
juhan_parts,,1,,,1
mart_helme,,1,,,1
deniss_boroditš,,2,,,2
jüri_adams,,1,,,1
helir-valdor_seeder,,1,,,1
einar_vallbaum,,1,,,1
tanel_talve,,1,,,1
liina_kersna,1,,,,1
ivari_padar,,1,,,1
aivar_sõerd,,1,,,1
hanno_pevkur,,1,,,1
külliki_kübarsepp,1,,,,1
ain_lutsepp,,1,,,1
raivo_põldaru,,1,,,1
rein_ratas,,1,,,1
jaanus_marrandi,,1,,,1
henn_põlluaas,,1,,,1
kristjan_kõljalg,,1,,,1
martin_helme,,1,,,1
taavi_rõivas,,1,,,1
edgar_savisaar,,1,,,1
märt_sults,,1,,,1
heimar_lenk,,1,,,1
kalev_kallo,,1,,,1
imre_sooäär,,1,,,1
58fb9435-5e48-4be6-bf1d-b4215f42fcec,,6,,,6
8288a3ee-f554-42a8-b98d-8f0f1e11bd86,,5,,1,6
24fcc0ee-f307-4dc7-87a8-ce85a04b49ef,,5,,1,6
3fad94a9-bdd1-4fd4-bcf8-30cdf745516c,,5,,1,6
fd29d390-a353-49f5-906b-d38fe94ffa6f,,5,,1,6
bc68263f-368a-4eb3-b2e0-e595b277f721,,5,,1,6
87c7f7bc-60ac-4b21-8edc-b0adaebc2d13,,5,,1,6
4c8ebda3-8451-41ca-ab24-070ec29f1259,,5,,1,6
fb7fe98f-f304-44d4-b055-24a94ba7b0c0,,5,,1,6
6b71eefc-413d-4db6-88f0-d7ff845ebaf1,,3,,3,6
d71f2c0b-5847-47bd-91e0-ee98bb98d6ba,,5,,1,6
b0949091-91b4-4c3c-8cda-a1dcebc8dc85,3,,,2,5
7f360147-9536-49b5-a0d1-d98199658215,,5,,1,6
49579126-10a9-4a83-a019-23a7d7c489b9,1,2,,3,6
ac4cc87b-1de2-418e-b92d-799fce699e48,,4,,2,6
480df40f-359a-4238-b179-332d47dd1611,,5,,,5
