name,party_id,birth_date,term,start_date,start_reason,end_date,end_reason,notes
Arto Aas,RE,1980-06-09,12,,,,,
Jaak Aaviksoo,IRL,1954-01-11,12,,,2011-04-05,Became Minister of Education and Research,
Jaak Aaviksoo,IRL,1954-01-11,12,2014-03-26,No longer a minister of the cabinet,,,
Rein Aidma,RE,1950-09-28,12,2011-04-02,Substitute member for Kristiina Ojuland,,,
Annely Akkermann,IRL,1972-10-05,12,,,,,
Jaak Allik,SDE,1946-10-08,12,,,,,
Andres Anvelt,SDE,1969-09-30,12,,,2014-03-26,Became Minister of the Interior,
Andrus Ansip,RE,1956-10-01,12,,,2011-04-05,Became Prime Minister,
Andrus Ansip,RE,1956-10-01,12,2014-03-26,No longer the Prime Minister,2014-06-18,Resigned to become an MEP,
Peep Aru,RE,1953-04-20,12,,,,,
Maimu Berg,SDE,1945-08-27,12,,,,,
Deniss Boroditš,KESK,1979-11-01,12,,,2012-04-08,Left faction,
Deniss Boroditš,IND,1979-11-01,12,2012-04-09,,,,
Enn Eesmaa,KESK,1946-06-07,12,,,,,
Eldar Efendijev,KESK,1954-06-29,12,,,,,
Ene Ergma,IRL,1944-02-29,12,,,,,
Igor Gräzin,RE,1952-06-27,12,,,,,
Margus Hanson,RE,1958-01-06,12,2011-04-02,Substitute member for Urmas Kruuse,,,
Aare Heinvee,RE,1956-09-27,12,,,,,
Andres Herkel,IRL,1962-08-14,12,,,2013-12-08,Left faction,
Andres Herkel,IND,1962-08-14,12,2013-12-09,,,,
Remo Holsmer,RE,1980-09-20,12,,,,,
Kaia Iva,IRL,1964-04-28,12,,,,,
Jüri Jaanson,RE,1965-10-14,12,,,,,
Tatjana Jaanson,SDE,1966-11-23,12,2014-03-27,Substitute member for Sven Mikser,,,
Andres Jalak,IRL,1953-03-19,12,2011-12-06,Substitute member for Indrek Raudne,2014-03-26,,
Kalle Jents,RE,1957-06-22,12,,,,,
Tõnu Juul,RE,1958-04-21,12,2011-04-06,Substitute member for Jürgen Ligi,2014-11-04,Person he was substituting for resumed as an MP,
Raivo Järvi,RE,1954-12-23,12,2011-04-06,Substitute member for Urmas Paet,2012-06-17,Died,
Etti Kagarov,SDE,1956-01-28,12,2014-03-27,Substitute member for Jevgeni Ossinovski,,,
Siim Kabrits,IRL,1979-07-04,12,2011-04-06,Substitute member for Helir-Valdor Seeder,2014-03-26,Person he was substituting for resumed as an MP,
Lembit Kaljuvee,KESK,1952-12-29,12,,,2012-04-08,Left faction,
Lembit Kaljuvee,IND,1952-12-29,12,2012-04-09,,,,
Kaja Kallas,RE,1977-06-18,12,,,2011-11-14,On sick leave,
Kaja Kallas,RE,1977-06-18,12,2012-07-02,,2014-06-18,Became an MEP,
Kalev Kallemets,RE,1979-04-17,12,2012-06-19,Substitute member for Raivo Järvi,2012-07-01,Kaja Kallas resuming to be an MP,
