id,name,start_date,source,end_date
2013,2013–2017,2013-11-07,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2013",2017
2009,2009–2013,2009,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2009",2013
2005,2005–2009,2005,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2005",2009
2001,2001–2005,2001,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_2001",2005
1997,1997–2001,1997,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1997",2001
1993,1993–1997,1993,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1993",1997
1989,1989–1993,1989,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1989",1993
1985,1985–1989,1985,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1985",1989
1981,1981–1985,1981,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1981",1985
1977,1977–1981,1977,"https://en.wikipedia.org/wiki/Falkland_Islands_general_election,_1977",1981
