id,name,party,party_wikipedia,constituency,term,identifier__wikipedia_fo,source
aksel_v._johannesen,Aksel V. Johannesen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,2015,Aksel V. Johannesen,
annika_olsen,Annika Olsen,Fólkaflokkurin,Fólkaflokkurin,Suðurstreymoy,2015,Annika Olsen,
annita_á_fríðriksmørk,Annita á Fríðriksmørk,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2015,Annita á Fríðriksmørk,
bill_justinussen,Bill Justinussen,Miðflokkurin,Miðflokkurin,Eysturoy,2015,Bill Justinussen,
bjarni_hammer,Bjarni Hammer,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2015,Bjarni Hammer,
bjørn_kalsø,Bjørn Kalsø,Sambandsflokkurin,Sambandsflokkurin,Norðoyar,2015,Bjørn Kalsø,
bárður_nielsen,Bárður Nielsen,Sambandsflokkurin,Sambandsflokkurin,Norðurstreymoy,2015,Bárður Nielsen,
edmund_joensen,Edmund Joensen,Sambandsflokkurin,Sambandsflokkurin,Eysturoy,2015,Edmund Joensen,
elsebeth_mercedis_gunnleygsdóttur,Elsebeth Mercedis Gunnleygsdóttur,Fólkaflokkurin,Fólkaflokkurin,Norðoyar,2015,Elsebeth Mercedis Gunnleygsdóttur,
eyðgunn_samuelsen,Eyðgunn Samuelsen,Javnaðarflokkurin,Javnaðarflokkurin,Norðoyar,2015,Eyðgunn Samuelsen,
hanna_jensen,Hanna Jensen,Framsókn,Framsókn,Suðurstreymoy,2015,Hanna Jensen,
henrik_old,Henrik Old,Javnaðarflokkurin,Javnaðarflokkurin,Suðuroy,2015,Henrik Old,
heðin_mortensen,Heðin Mortensen,Javnaðarflokkurin,Javnaðarflokkurin,Suðurstreymoy,2015,Heðin Mortensen,
høgni_hoydal,Høgni Hoydal,Tjóðveldi,Tjóðveldi,Suðurstreymoy,2015,Høgni Hoydal,
jacob_vestergaard,Jacob Vestergaard,Fólkaflokkurin,Fólkaflokkurin,Suðuroy,2015,Jacob Vestergaard,
jenis_av_rana,Jenis av Rana,Miðflokkurin,Miðflokkurin,Suðurstreymoy,2015,Jenis av Rana,
