name,party_id,constituency,wikiname,term
Aila Paloniemi,kesk,Keski-Suomen vaalipiiri,Aila Paloniemi,37
Aino-Kaisa Pekonen,vas,Hämeen vaalipiiri,Aino-Kaisa Pekonen,37
Alexander Stubb,kok,Uudenmaan vaalipiiri,Alexander Stubb,37
Anders Adlercreutz,r,Uudenmaan vaalipiiri,Anders Adlercreutz,37
Anna Kontula,vas,Pirkanmaan vaalipiiri,Anna Kontula,37
Anna-Maja Henriksson,r,Vaasan vaalipiiri,Anna-Maja Henriksson,37
Anne Berner,kesk,Uudenmaan vaalipiiri,Anne Berner,37
Anne Kalmari,kesk,Keski-Suomen vaalipiiri,Anne Kalmari,37
Anne Louhelainen,ps,Hämeen vaalipiiri,Anne Louhelainen,37
Anne-Mari Virolainen,kok,Varsinais-Suomen vaalipiiri,Anne-Mari Virolainen,37
Anneli Kiljunen,sd,Kaakkois-Suomen vaalipiiri,Anneli Kiljunen,37
Annika Lapintie,vas,Varsinais-Suomen vaalipiiri,Annika Lapintie,37
Annika Saarikko,kesk,Varsinais-Suomen vaalipiiri,Annika Saarikko,37
Antero Laukkanen,kd,Uudenmaan vaalipiiri,Antero Laukkanen,37
Antero Vartia,vihr,Helsingin vaalipiiri,Antero Vartia,37
Antti Häkkänen,kok,Kaakkois-Suomen vaalipiiri,Antti Häkkänen,37
Antti Kaikkonen,kesk,Uudenmaan vaalipiiri,Antti Kaikkonen,37
Antti Kurvinen,kesk,Vaasan vaalipiiri,Antti Kurvinen,37
Antti Lindtman,sd,Uudenmaan vaalipiiri,Antti Lindtman,37
Antti Rantakangas,kesk,Oulun vaalipiiri,Antti Rantakangas,37
Antti Rinne,sd,Uudenmaan vaalipiiri,Antti Rinne,37
Anu Vehviläinen,kesk,Savo-Karjalan vaalipiiri,Anu Vehviläinen,37
Ari Jalonen,ps,Satakunnan vaalipiiri,Ari Jalonen,37
Ari Torniainen,kesk,Kaakkois-Suomen vaalipiiri,Ari Torniainen,37
Arja Juvonen,ps,Uudenmaan vaalipiiri,Arja Juvonen,37
Arto Pirttilahti,kesk,Pirkanmaan vaalipiiri,Arto Pirttilahti,37
Arto Satonen,kok,Pirkanmaan vaalipiiri,Arto Satonen,37
Ben Zyskowicz,kok,Helsingin vaalipiiri,Ben Zyskowicz,37
Carl Haglund,r,Uudenmaan vaalipiiri,Carl Haglund,37
Eerikki Viljanen,kesk,Uudenmaan vaalipiiri,Eerikki Viljanen,37
Eero Heinäluoma,sd,Helsingin vaalipiiri,Eero Heinäluoma,37
Eero Lehti,kok,Uudenmaan vaalipiiri,Eero Lehti,37
Eero Suutari,kok,Oulun vaalipiiri,Eero Suutari,37
Eeva-Johanna Eloranta,sd,Varsinais-Suomen vaalipiiri,Eeva-Johanna Eloranta,37
Eeva-Maria Maijala,kesk,Lapin vaalipiiri,Eeva-Maria Maijala,37
Elina Lepomäki,kok,Uudenmaan vaalipiiri,Elina Lepomäki,37
Elsi Katainen,kesk,Savo-Karjalan vaalipiiri,Elsi Katainen,37
Emma Kari,vihr,Helsingin vaalipiiri,Emma Kari,37
Erkki Tuomioja,sd,Helsingin vaalipiiri,Erkki Tuomioja,37
Esko Kiviranta,kesk,Varsinais-Suomen vaalipiiri,Esko Kiviranta,37
Eva Biaudet,r,Helsingin vaalipiiri,Eva Biaudet,37
Hanna Halmeenpää,vihr,Oulun vaalipiiri,Hanna Halmeenpää,37
Hanna Kosonen,kesk,Kaakkois-Suomen vaalipiiri,Hanna Kosonen,37
Hanna Mäntylä,ps,Lapin vaalipiiri,Hanna Mäntylä,37
Hanna Sarkkinen,vas,Oulun vaalipiiri,Hanna Sarkkinen,37
Hannakaisa Heikkinen,kesk,Savo-Karjalan vaalipiiri,Hannakaisa Heikkinen,37
Hannu Hoskonen,kesk,Savo-Karjalan vaalipiiri,Hannu Hoskonen,37
Harri Jaskari,kok,Pirkanmaan vaalipiiri,Harri Jaskari,37
Harry Wallin,sd,Vaasan vaalipiiri,Harry Wallin,37
Heli Järvinen,vihr,Kaakkois-Suomen vaalipiiri,Heli Järvinen,37
Hjallis Harkimo,kok,Uudenmaan vaalipiiri,Hjallis Harkimo,37
Ilkka Kanerva,kok,Varsinais-Suomen vaalipiiri,Ilkka Kanerva,37
Ilkka Kantola,sd,Varsinais-Suomen vaalipiiri,Ilkka Kantola,37
Ilmari Nurminen,sd,Pirkanmaan vaalipiiri,Ilmari Nurminen,37
Jaana Laitinen-Pesola,kok,Satakunnan vaalipiiri,Jaana Laitinen-Pesola,37
Jaana Pelkonen,kok,Helsingin vaalipiiri,Jaana Pelkonen,37
Jani Mäkelä,ps,Kaakkois-Suomen vaalipiiri,Jani Mäkelä,37
Jani Toivola,vihr,Uudenmaan vaalipiiri,Jani Toivola,37
Jari Leppä,kesk,Kaakkois-Suomen vaalipiiri,Jari Leppä,37
Jari Lindström,ps,Kaakkois-Suomen vaalipiiri,Jari Lindström,37
Jari Myllykoski,vas,Satakunnan vaalipiiri,Jari Myllykoski,37
Jari Ronkainen,ps,Hämeen vaalipiiri,Jari Ronkainen,37
Joakim Strand,r,Vaasan vaalipiiri,Joakim Strand,37
Johanna Karimäki,vihr,Uudenmaan vaalipiiri,Johanna Karimäki,37
Johanna Ojala-Niemelä,sd,Lapin vaalipiiri,Johanna Ojala-Niemelä,37
Joona Räsänen,sd,Uudenmaan vaalipiiri,Joona Räsänen,37
Juha Pylväs,kesk,Oulun vaalipiiri,Juha Pylväs,37
Juha Rehula,kesk,Hämeen vaalipiiri,Juha Rehula,37
Juha Sipilä,kesk,Oulun vaalipiiri,Juha Sipilä,37
Juhana Vartiainen,kok,Helsingin vaalipiiri,Juhana Vartiainen,37
Juho Eerola,ps,Kaakkois-Suomen vaalipiiri,Juho Eerola,37
Jukka Gustafsson,sd,Pirkanmaan vaalipiiri,Jukka Gustafsson,37
Jukka Kopra,kok,Kaakkois-Suomen vaalipiiri,Jukka Kopra,37
Jussi Niinistö,ps,Uudenmaan vaalipiiri,Jussi Niinistö,37
Jutta Urpilainen,sd,Vaasan vaalipiiri,Jutta Urpilainen,37
Jyrki Kasvi,vihr,Uudenmaan vaalipiiri,Jyrki Kasvi,37
Kai Mykkänen,kok,Uudenmaan vaalipiiri,Kai Mykkänen,37
Kaj Turunen,ps,Kaakkois-Suomen vaalipiiri,Kaj Turunen,37
Kalle Jokinen,kok,Hämeen vaalipiiri,Kalle Jokinen,37
Kari Kulmala,ps,Savo-Karjalan vaalipiiri,Kari Kulmala,37
Kari Tolvanen,kok,Uudenmaan vaalipiiri,Kari Tolvanen,37
Kari Uotila,vas,Uudenmaan vaalipiiri,Kari Uotila,37
Katja Hänninen,vas,Oulun vaalipiiri,Katja Hänninen,37
Katja Taimela,sd,Varsinais-Suomen vaalipiiri,Katja Taimela,37
Katri Kulmuni,kesk,Lapin vaalipiiri,Katri Kulmuni,37
Kauko Juhantalo,kesk,Satakunnan vaalipiiri,Kauko Juhantalo,37
Kike Elomaa,ps,Varsinais-Suomen vaalipiiri,Kike Elomaa,37
Kimmo Kivelä,ps,Savo-Karjalan vaalipiiri,Kimmo Kivelä,37
Kimmo Tiilikainen,kesk,Kaakkois-Suomen vaalipiiri,Kimmo Tiilikainen,37
Krista Kiuru,sd,Satakunnan vaalipiiri,Krista Kiuru,37
