id,wikidata
udi,Q3550126
ni,Q327591
rrdp,Q3416469
gdr,Q2450519
ump,Q173152
ser,Q2236823
union_pour_un_mouvement_populaire,Q173152
lr,Q20012759
"socialiste,_radical_et_citoyen_et_divers_gauche",Q2236823
"socialiste,_radical_et_citoyen",Q2236823
non-inscrit,Q327591
nouveau_centre,Q853418
gauche_démocrate_et_républicaine,Q2450519
"apparenté_socialiste,_radical_et_citoyen_et_divers_gauche",Q2236823
apparenté_à_l'union_pour_un_mouvement_populaire,Q173152
députés_n'appartenant_à_aucun_groupe,Q327591
apparenté_nouveau_centre,Q853418
apparenté_union_pour_un_mouvement_populaire,Q173152
