uuid,female,male,other,skip,total
03d1c41f-38ff-4247-9af2-1db8fa19c488,0,1,0,0,1
0a135696-8f9e-429e-80a8-54967b58c9e3,0,0,0,1,1
15a2b25e-b68d-450a-b653-db7b43373965,0,1,0,0,1
1676b728-9a65-48c0-9cff-a539dc2c906c,0,1,0,0,1
21c4edec-59bc-4108-ae2d-4158e8e556e0,0,1,0,0,1
24a93c01-8dd9-423a-bea2-019c90987b20,0,0,0,1,1
2586abcf-b6f7-4022-9c70-9acdf224cb11,0,0,0,1,1
265baf12-f252-4e5c-9929-918045dabdd4,0,1,0,0,1
2a74087e-a4d8-4e85-bba7-61eff8e742ef,0,0,0,1,1
3227e644-a42a-40c4-8a19-caf7d9b965cc,0,0,0,1,1
36ec2c41-7cb6-472e-bf7b-ca83dac3e34b,1,0,0,0,1
3a5fab5c-532c-48f6-beec-a18bea0a823a,0,0,0,1,1
402ba3aa-6dbd-4c71-aeb4-6e9181c40301,0,0,0,1,1
42e51e7a-8fa7-466a-bd00-d60025cde655,0,0,0,1,1
436a9e40-b3cc-4af1-9525-f2c0677c8926,0,0,0,1,1
4736c9e6-7222-4471-9f86-623351b7fb8c,0,1,0,0,1
5106b180-64a7-4967-af14-c340038a0a17,0,0,0,1,1
510908d6-7fd1-4418-b3f8-2d576183b037,0,0,0,1,1
518f1bbc-a30a-4370-8e04-7db46553d46e,0,0,0,1,1
532945fc-1f8f-432d-ba31-b37924739b82,0,1,0,0,1
5fd836cb-97b2-4244-8f1e-c980bfaa323d,0,1,0,0,1
75fae0ff-5cfa-41ca-8f08-fff1cf454fa1,0,1,0,0,1
7a4d4640-d6bb-4637-a00a-43ea78b516d4,0,1,0,0,1
7b2b18ae-72eb-46c9-a8c7-f7239d44b0e5,0,0,0,1,1
8123817a-869c-4875-b821-328ef561bbb3,0,1,0,0,1
819892fa-d42f-40ff-9451-f41955499cfd,0,0,0,1,1
8f5e52ce-fa3d-43ba-bbac-2792c54af6cc,0,1,0,0,1
91edbaf6-7b70-47fb-a781-9e9f4b475a2d,0,0,0,1,1
95f038c4-5c2b-40b3-8689-b0ec39719358,0,0,0,1,1
9bf16278-bac9-4560-b3ec-3c468bed3c06,0,1,0,0,1
a70b39db-5479-4afa-b914-eb4a6a4399d4,0,1,0,0,1
ab248cf4-8f38-4b22-8dbb-9724d0981e54,0,1,0,0,1
adc1c229-1155-4404-b1c1-8fdd5862c29a,0,0,0,1,1
b109e02c-776a-4552-8e7d-6040bb99269f,0,1,0,0,1
b4265b71-3e23-4ffb-8290-b6f4a4649528,0,0,0,1,1
b6251eb0-6b70-40be-bed6-e3ae9ecb5544,0,0,0,1,1
b98229a1-af3d-40e3-8486-afa311e1235b,0,1,0,0,1
bc0fbbed-b687-4283-9257-8ef241bbc082,0,1,0,0,1
bf800b02-3dc7-41a8-86ee-54095afd1aa0,0,1,0,0,1
d030b18c-48de-495d-968a-8917f007eee2,0,1,0,0,1
d0c315ed-3e0e-4b8f-aaaf-2897edc47758,0,0,0,1,1
d18a4fc3-36d8-4302-9ef0-f9aa8f111168,0,1,0,0,1
d205d65f-9e08-4173-84dd-14998be90319,0,0,0,1,1
d23d6c79-0b11-4ca0-bab4-0deeb9a2d4f5,0,0,0,1,1
d34ac286-68b5-4a0f-b25f-708b0625813e,0,1,0,0,1
e38bc802-e76a-494b-9a20-d39f0316663b,1,0,0,0,1
e4bbf6ea-eceb-4cbe-aa3e-0232f8bfaeca,0,0,0,1,1
e84f5b46-13da-45ca-a0c2-4f1b54dbe114,0,0,0,1,1
f3475d1a-1f8f-497a-85a4-d4336a92aca0,1,0,0,0,1
f5f50531-d34c-42ae-9db6-f245d14f90b9,0,1,0,0,1
f72a02a2-faae-4a0e-8128-d7921887975f,0,0,0,1,1
f82d148b-54ca-420c-8e18-fdd2a164a134,0,1,0,0,1
fef1870e-c873-4866-9168-1a219d13483d,0,0,0,1,1
