id,wikidata
nd,Q223153
syriza,Q222897
laikossyndesmoschrysiavgi,Q82256
pasok,Q203934
kke,Q192406
topotami,Q15920068
anexartitoiellines,Q529666
unionofcentrists,Q3567209
laikienotita,Q20855700
dhmar,Q1128823
allianceofprogressiveandleftforces,Q266688
edik,Q3565854
independent,Q327591
laos,Q226085
pola,Q2064301
dikki,Q1226100
nationalalignment,Q3563369
communistpartyofgreece,Q3565932
diana,Q3555896
edauniteddemocraticleft,Q201478
anexartitoidimokratikoivouleftes,Q16737351
coalitionoftheleftandprogress,Q219573
democraticcoalition,Q21075797
neoliberalsparty,Q3561226
