uuid,female,male,other,skip,total
05b74475-5fb8-4ce3-898a-fe7270c4793e,0,1,0,0,1
07b860b0-256a-4e5f-85f8-fa2d91078706,0,1,0,0,1
227023ed-be30-41b7-806a-15596fb3a3ce,0,1,0,0,1
4397e30f-7ff7-4b50-bc99-81a6125ad78c,0,0,0,1,1
617b21d9-3a16-476c-9223-0189e0dbdeba,0,1,0,0,1
74eed9f4-41c0-472c-94c0-98652898751e,0,0,0,1,1
7a20ef96-5920-494e-b3b4-94cf36e54835,0,0,0,1,1
7b724d18-5c5d-4a6b-85f7-872db46938fb,0,0,0,1,1
90522354-f4c9-4ea4-8d09-b13ca9e17c91,0,1,0,0,1
9578e5b6-f6bc-416c-aa19-eaf0b338c21a,0,0,0,1,1
ce82c72e-1101-44f5-80c7-7bea7415a2db,0,1,0,0,1
d35ec895-a795-4b0d-a7c8-4443cf8b83e2,0,1,0,0,1
e5d4c33f-1af8-4de1-b5a5-66b317518d33,0,0,0,1,1
fbf7667f-859f-4763-874c-0ee69445d980,0,1,0,0,1
fd5ecba4-8b6a-445f-b95c-e60aa1c6862c,0,1,0,0,1
