id,wikidata
democratic_alliance_for_the_betterment_and_progress_of_hong_kong,Q21916
the_hong_kong_federation_of_trade_unions,Q23062
new_people's_party,Q23059
liberal_party,Q23060
the_federation_of_hong_kong_and_kowloon_labour_unions,Q5440823
civic_party,Q23055
democratic_party,Q21892
people_power,Q1026597
labour_party,Q23057
league_of_social_democrats,Q1026514
neighbourhood_and_worker’s_service_centre,Q6988161
hong_kong_association_for_democracy_and_people's_livelihood,Q837695
neo_democrats,Q1026702
business_and_professionals_alliance_for_hong_kong,Q2914027
the_professional_commons,Q2689969
new_forum,Q7006486
