uuid,female,male,other,skip,total
550303d1273a39033bab35ad,,4,,,4
550303ea273a39033bab366f,,4,,,4
550303ec273a39033bab367f,,4,,,4
550303d3273a39033bab35b5,,5,,,5
550303e1273a39033bab3635,,4,,,4
550303f1273a39033bab369b,,4,,,4
550303c8273a39033bab355b,,4,,,4
550303c9273a39033bab3565,,4,,,4
550303cd273a39033bab3583,,4,,,4
550303de273a39033bab361d,,4,,,4
550303f4273a39033bab36b3,3,1,,,4
550303d1273a39033bab35a7,,4,,,4
550303f2273a39033bab36a7,,4,,,4
550303f0273a39033bab3697,4,,,,4
550303df273a39033bab3625,,4,,,4
550303ec273a39033bab3685,,4,,,4
550303e7273a39033bab3661,3,1,,,4
550303dd273a39033bab3615,4,,,,4
550303f3273a39033bab36b1,4,,,,4
550303da273a39033bab35f1,4,,,,4
550303d3273a39033bab35bb,,5,,,5
550303ec273a39033bab3683,,5,,,5
550303e7273a39033bab3663,,4,,,4
550303d6273a39033bab35cf,,4,,,4
550303de273a39033bab3619,,4,,,4
550303c9273a39033bab3563,,4,,,4
550303c8273a39033bab3559,,4,,,4
550303f3273a39033bab36af,,4,,,4
550303e4273a39033bab364b,,4,,,4
550303d8273a39033bab35e3,,4,,,4
550303f5273a39033bab36bf,,4,,,4
550303dd273a39033bab360d,,4,,,4
550303ea273a39033bab3673,4,,,,4
550303f5273a39033bab36c1,,4,,,4
550303e5273a39033bab365b,,4,,,4
550303e2273a39033bab363f,,5,,,5
550303d6273a39033bab35d3,,4,,,4
550303f1273a39033bab369f,,4,,,4
550303bd273a39033bab34f5,,4,,,4
550303cb273a39033bab3579,,4,,,4
550303cc273a39033bab357d,,4,,,4
550303e7273a39033bab3665,,4,,,4
550303f8273a39033bab36dd,,4,,,4
55526c1c273a391a738e26d5,,4,,,4
550303cb273a39033bab3575,,4,,,4
550303bd273a39033bab34f1,,4,,,4
550303df273a39033bab3621,,4,,,4
550303db273a39033bab35ff,,4,,,4
550303ea273a39033bab3675,,4,,,4
550303f4273a39033bab36b7,,4,,,4
550303d3273a39033bab35b7,,4,,,4
550303f5273a39033bab36bb,,5,,,5
550303f8273a39033bab36db,,5,,,5
550303c9273a39033bab3561,,4,,,4
550303d8273a39033bab35e5,,4,,,4
550303f6273a39033bab36c9,,4,,,4
550303f6273a39033bab36cb,,5,,,5
550303d1273a39033bab35a9,,4,,,4
550303ed273a39033bab368d,,4,,,4
550303e0273a39033bab362f,,5,,,5
550303e4273a39033bab3651,,4,,,4
550303cc273a39033bab3581,,4,,,4
550303cb273a39033bab3573,,5,,,5
550303f2273a39033bab36a1,,4,,,4
550303da273a39033bab35f7,,4,,,4
550303e2273a39033bab363d,,4,,,4
550303bd273a39033bab34f7,,4,,,4
550303d2273a39033bab35af,,4,,,4
550303d4273a39033bab35c1,,4,,,4
550303d5273a39033bab35c9,,4,,,4
550303d7273a39033bab35df,,4,,,4
550303e4273a39033bab364f,,4,,,4
550303ed273a39033bab368f,,4,,,4
550303e2273a39033bab363b,,4,,,4
550303d0273a39033bab35a5,,4,,,4
550303e1273a39033bab3631,,5,,,5
550303e7273a39033bab365d,,4,,,4
550303bc273a39033bab34ed,,4,,,4
550303ce273a39033bab3593,,4,,,4
550303f3273a39033bab36ab,,4,,,4
550303db273a39033bab35fd,,4,,,4
550303f4273a39033bab36b9,,5,,,5
550303d7273a39033bab35db,,4,,,4
550303e1273a39033bab3637,,4,,,4
550303d2273a39033bab35b1,,4,,,4
550303bd273a39033bab34f3,,4,,,4
550303d9273a39033bab35eb,,4,,,4
550303e9273a39033bab3669,,4,,,4
550303e9273a39033bab366d,,4,,,4
550303d7273a39033bab35d9,,4,,,4
550303e5273a39033bab3657,,4,,,4
550303db273a39033bab3601,,5,,,5
550303f4273a39033bab36b5,4,,,,4
550303d0273a39033bab35a1,,4,,,4
550303e3273a39033bab3643,,4,,,4
550303e2273a39033bab3641,,4,,,4
550303f7273a39033bab36cd,,4,,,4
550303e9273a39033bab366b,,4,,,4
550303d5273a39033bab35cb,,5,,,5
550303f2273a39033bab36a3,,4,,,4
550303d0273a39033bab35a3,,4,,,4
550303e5273a39033bab3655,,4,,,4
550303ce273a39033bab358b,,4,,,4
550303d4273a39033bab35c3,,4,,,4
550303ce273a39033bab358d,,4,,,4
550303fa273a39033bab36e5,,5,,,5
550303d9273a39033bab35ef,,4,,,4
550303d4273a39033bab35bd,4,,,,4
550303d0273a39033bab359d,,4,,,4
550303da273a39033bab35f5,,4,,,4
550303f7273a39033bab36cf,,4,,,4
550303ef273a39033bab3691,,4,,,4
550303f8273a39033bab36d9,,4,,,4
550303d4273a39033bab35c5,,4,,,4
550303f9273a39033bab36e1,,4,,,4
550303ea273a39033bab3671,,5,,,5
550303f0273a39033bab3695,,4,,,4
550303d2273a39033bab35b3,,5,,,5
550303dd273a39033bab3611,,4,,,4
550303e0273a39033bab3629,,4,,,4
550303f2273a39033bab36a9,,4,,,4
550303db273a39033bab3603,,5,,,5
550303e5273a39033bab3659,,4,,,4
550303ed273a39033bab368b,,4,,,4
550303db273a39033bab35fb,,4,,,4
550303f6273a39033bab36c5,,4,,,4
550303f5273a39033bab36bd,,4,,,4
550303dd273a39033bab3613,,4,,,4
550303d4273a39033bab35bf,,4,,,4
550303d7273a39033bab35dd,,5,,,5
550303eb273a39033bab367b,4,,,,4
550303dc273a39033bab3605,,4,,,4
550303c9273a39033bab355d,,4,,,4
550303cb273a39033bab3577,,4,,,4
550303e4273a39033bab364d,,4,,,4
550303df273a39033bab3623,,4,,,4
550303cc273a39033bab357f,,4,,,4
550303f6273a39033bab36c3,4,,,,4
550303de273a39033bab3617,,4,,,4
550303ec273a39033bab3681,,4,,,4
550303f7273a39033bab36d1,4,,,,4
550303cc273a39033bab357b,,4,,,4
550303f2273a39033bab36a5,,4,,,4
550303de273a39033bab361f,4,,,,4
550303d6273a39033bab35d5,,4,,,4
550303e3273a39033bab3645,,4,,,4
550303ce273a39033bab358f,,4,,,4
550303dc273a39033bab3607,,4,,,4
550303eb273a39033bab3677,,4,,,4
550303f6273a39033bab36c7,,4,,,4
550303d8273a39033bab35e1,,4,,,4
550303f8273a39033bab36d5,,4,,,4
550303dc273a39033bab3609,,4,,,4
550303d3273a39033bab35b9,,4,,,4
550303e4273a39033bab3653,,4,,,4
554a2533273a395cd19000cd,,4,,,4
550303e3273a39033bab3647,,5,,,5
550303da273a39033bab35f3,4,,,,4
550303ca273a39033bab356b,,4,,,4
550303e1273a39033bab3639,,5,,,5
550303f3273a39033bab36ad,,4,,,4
550303ed273a39033bab3689,,5,,,5
550303cd273a39033bab3589,,4,,,4
550303da273a39033bab35f9,,4,,,4
550303dd273a39033bab360f,3,1,,,4
550303ca273a39033bab356d,,4,,,4
550303eb273a39033bab3679,,4,,,4
550303f7273a39033bab36d3,,4,,,4
550303cf273a39033bab3595,,4,,,4
550303d8273a39033bab35e7,,4,,,4
550303d6273a39033bab35d1,,4,,,4
550303c9273a39033bab355f,,4,,,4
550303ca273a39033bab3567,,5,,,5
550303ed273a39033bab3687,,4,,,4
550303be273a39033bab34f9,,4,,,4
550303d5273a39033bab35cd,,4,,,4
550303d5273a39033bab35c7,,4,,,4
