uuid,female,male,other,skip,total
004b5682-02b1-4fc1-b60f-e21b4918361d,0,4,0,0,4
00890518-e26b-40d4-a06f-e28eb54980ff,0,3,0,0,3
0262a9a4-3aa3-435f-8a8c-d668f09fd26c,0,3,0,0,3
03558ff0-12e9-4ec9-b14d-c0c9fd0d658a,0,3,0,0,3
04e1609e-62cd-4e8d-a942-77a28d64929f,0,3,0,1,4
05eaa733-cd3c-43c5-b042-76b441eb4757,0,3,0,0,3
06aeb043-237c-4305-9573-c1c8d0ddc2b4,0,3,0,0,3
07af789e-f839-4160-9baa-d086f3ef2152,0,3,0,0,3
08454081-61bb-45e3-9fca-7c42843fb73b,0,5,0,0,5
08d55abb-836a-4680-862a-f225fd4de572,0,3,0,1,4
099ab2c1-206f-4c94-b56b-ff6bbacea29b,0,4,0,0,4
09f8a6e2-bc9c-4679-b258-14ab51f85d9b,0,3,0,0,3
0a1e2991-404b-4086-80e4-69df2efcb234,0,4,0,0,4
0b3ad08e-071f-405c-979c-4c36ad37b697,0,4,0,0,4
0b4c8113-d12f-48bb-8a4b-f806d68385ee,0,3,0,0,3
0bf0a8fa-75a9-403d-9321-93e4734156ee,4,0,0,0,4
0c101af4-a9ed-4840-9b29-4973facd4b25,0,3,0,0,3
0c126e4b-6635-4bfe-8921-a72e48031abd,0,3,0,0,3
0c5404ea-5cbd-4f68-946c-adf5ac3e8206,0,3,0,0,3
0e09ad53-33f8-4630-bbf9-a9e7645dd188,0,3,0,0,3
0e11a2dd-16cc-4ad3-b4a9-48265c3c3f45,0,4,0,0,4
0ed7097c-f4ef-41ad-add2-a7243b2c5feb,0,4,0,0,4
0f3b7e43-ce65-4bfe-bf4d-0666dd0aa7cc,0,3,0,0,3
0f3c1cb3-004f-4d44-bfd0-f0a846a1d71b,0,4,0,0,4
0f3d9650-02dd-498a-9294-ff32c093f9f4,0,4,0,0,4
0f774c47-0b55-481e-8024-21d8b55b2758,0,4,0,1,5
1027878e-0eb7-4e3d-ba55-a9bf253d7a49,0,3,1,0,4
103cb188-5b0f-4819-a2ef-20c3ec352647,0,4,0,0,4
123de11d-5a69-4738-8081-3e4b55869453,0,3,0,0,3
125ec634-2bc4-4792-a0a3-77c23bcaaf41,0,3,0,0,3
133ea966-7747-49f2-b345-4692e23af3f8,3,1,0,0,4
147fb438-6434-4d9c-8e94-61b6d1439284,0,4,0,0,4
14bc58fc-9760-49b9-85ee-5c8ae4e7056b,0,3,0,0,3
14e25d0b-35c9-4203-9eb5-d0f0ae145924,0,3,0,0,3
151d92ba-6926-4080-91f5-b218f21d23ea,0,3,0,0,3
