uuid,female,male,other,skip,total
bf6a9ef5-ad3b-4eb7-9036-20d58c3ece6e,,1,,,1
4ecbd731-970f-4d0e-8b59-e3a241a00748,,1,,,1
e93c8f0c-6793-4da3-bf71-97786a19ec05,,1,,,1
db0bf9ab-f36b-449e-acd9-2b09303e49b3,,1,,,1
183111de-cfc6-42b7-bca0-8b810338137a,,1,,,1
8e9b0f4d-9d8d-4767-a54a-911fb5178e00,,1,,,1
dc9fd1bb-26b5-4704-817c-e5c75015f189,,,1,,1
a213a592-f204-48bb-a2f6-7ec267b561c7,,1,,,1
6c9e0d49-c18e-44f2-91e2-b0d4b0cfebea,,1,,,1
d8a1e175-46d4-48af-9423-24806a0b0d2e,,1,,,1
19d97b4c-74fa-4541-91df-e25d8b86062a,,,1,,1
062b26d2-5af4-45b9-8523-fbe7be446d36,,,1,,1
fcedd7db-c790-4590-8efb-61067a14c1ae,,1,,,1
25b10d2d-31da-44be-ac66-4840111cd606,,1,,,1
cd189bb6-ac64-4a24-b13b-b0a7789735a3,,1,,,1
6f50f6f2-0f44-4d6f-a401-ace9dbe724a0,,1,,,1
f4e7c24a-4ee4-4d41-851f-ab4f56d4b48e,,1,,,1
ee51d254-8e7a-423d-8127-eca4e83f3069,,1,,,1
03a2eb5e-0be5-4b68-b003-4ac1a1453040,,,1,,1
c20f60cb-1230-4327-85bd-8f796b29070e,1,,,,1
