uuid,female,male,other,skip,total
mr. siaka_ouattara,,2,,,2
mr. bandaman_kouakou_maurice,,2,,,2
mme bamba_affoussiata,2,,,,2
mr. issouf_traore,,2,,,2
mr. boni_joseph_henri_bernadin,,2,,,2
mr. moussa_dosso,,1,,,1
mr. yao_meh,,2,,,2
mr. pegawagnaba_boniface,,1,,,1
mme ouegnin_yasmina_frederique_lucienne,2,,,,2
mr. gnangbo_kacou,,1,,,1
mr. sess_soukou_mohamed,,1,,,1
mr. n`gouan_jeremie_alfred,,1,,,1
mr. dan_jules_demonsthene,,2,,,2
mr. abdoulaye_traore,,2,,,2
mr. toure_daouda,,1,,,1
mme tehoua_amah_marie,2,,,,2
mr. wouadja_essay,,1,,,1
mr. saraka_konan_adolphe,,2,,,2
mr. diomande_lassina,,2,,,2
mr. adje_kouadio_frederic,,1,,,1
mme nassalatou_diaby,1,,,,1
mr. kone_dognon,,2,,,2
mme ake_camille,1,,,,1
mme traore_mariame,1,,,,1
mr. bamba_mamadou,,1,,,1
mme kayo_slaha_clarisse,1,,,,1
mme trazere_olibe_celestine,2,,,,2
mr. seriba_coulibaly,,2,,,2
mr. sidibe_abdoulaye,,1,,,1
mr. ehouman_tano,,1,,,1
mr. ahoussou_kouadio_jeannot,,1,,,1
mr. diabate_bamory,,2,,,2
mme oulai_zagni_madeleine,,1,,,1
mr. siki_blon_blaise,,1,,,1
mr. kone_tiessibiri,,1,,,1
mr. gnamien_konan,,1,,,1
mr. soro_souagnon_jean_paul,,1,,,1
mr. sarre_gnepo_edmond,,1,,,1
mr. doumbia_alassane,,1,,,1
mr. gbocho_chonou_emmanuel,,1,,,1
mr. dah_sie,,1,,,1
mr. ouattara_siaka,,1,,,1
mr. bakayoko_zoumana,,1,,,1
mr. silue_zonlewa,,1,,,1
mr. soro_tiorna,,1,,,1
mr. sale_poli,,1,,,1
mr. konate_zie_aboubacar,,1,,,1
mr. ouassenan_kone_gaston,,1,,,1
mr. kramo_kouassi,,1,,,1
mr. baradji_abdoul_kader,,1,,,1
mr. boueka_nabo_clement,,1,,,1
mr. meite_yaya,,1,,,1
mme brou_amenan_florance,1,,,,1
mr. djedje_mady_alphonse,,1,,,1
mr. diomande_manga,,1,,,1
mme bamba_sogona,1,,,,1
mme yace_laurette_andree,1,,,,1
mr. deby_yao_benjamin,,1,,,1
mr. apea_komene_joachim,,1,,,1
mr. kone_dramane,,1,,,1
mr. lancine_cisse,,1,,,1
mr. bohue_yao_martin,,1,,,1
mr. yao_yao_lazare,,1,,,1
mr. ouattara_lamine_simon,,1,,,1
mr. kafana_kone,,1,,,1
mme assa_ahou_emilienne,1,,,,1
mr. assoumou_mea,,1,,,1
mr. toure_abdoulaye,,1,,,1
mr. yoboua_kouabenan_ceverin,,1,,,1
mr. thiam_augustin_houphouet_abdoulaye,,1,,,1
mr. mohamed_ouattara,,1,,,1
mr. toungara_adama,,1,,,1
mr. adama_sylla,,1,,,1
mr. lassina_diomande,,1,,,1
mr. soumahoro_sekouba,,1,,,1
mr. oura_brou,,1,,,1
mr. ally_coulibaly,,1,,,1
mr. soro_kanigui_mamadou,,1,,,1
mr. tieha_kouassi_venance,,1,,,1
mr. tanoh_anoh_jerome,,1,,,1
mr. bodo_pezitaud_honore,,1,,,1
mr. coulibaly_brahima,,1,,,1
mr. silue_kagnon_augustin,,1,,,1
mr. kouakou_kouakou_ouattara,,1,,,1
mme kouakou_akissi_colette,1,,,,1
mr. traore_idrissa,,1,,,1
mr. dosso_lancina,,1,,,1
mr. kouame_koffi_norbert,,1,,,1
mr. allah_kouadio_remis,,1,,,1
mr. n_guetta_kamanan,,1,,,1
mr. francis_desclercs,,1,,,1
mr. bleu_bagui,,1,,,1
mr. gnangadjomon_kone,,1,,,1
mr. darret_babaud_mathieu,,1,,,1
mr. azoumana_diarrassouba,,1,,,1
mr. ouattara_aboubakar,,1,,,1
mr. logbo_andre,,1,,,1
mr. feh_sunde,,1,,,1
mr. amara_bamba,,1,,,1
mme traore_adjaratou,1,,,,1
mr. dehe_paul,,1,,,1
mr. kone_aboubacar_sidiki,,1,,,1
mr. gnapi_gil,,1,,,1
mr. kambire_toh,,1,,,1
mr. coulibaly_aboubakary,,1,,,1
mr. baudoua_kouadio_koffi_didier,,1,,,1
mr. tanau_yao_bruno,,1,,,1
mr. konate_sidiki,,1,,,1
mr. gourene_germain,,1,,,1
mr. aka_herve,,1,,,1
mr. yeo_fozie,,1,,,1
mr. koffi_n`guessan_justin,,1,,,1
mr. konan_kouassi,,1,,,1
mr. yao_kouakou,,1,,,1
mr. goze_seple_bernard,,1,,,1
mr. issiaka_soumahoro,,1,,,1
mme kamissoko_kandia,1,,,,1
mr. kouame_kouakou_georges,,1,,,1
mr. yao_soumaila,,1,,,1
mr. benie_brou_dakoi,,1,,,1
mr. mamadou_cisse,,1,,,1
mr. yeboua_atta_koblan_francois_barthelemy,,1,,,1
mr. ouattara_anzoumanan,,1,,,1
mr. mamadou_traore,,1,,,1
mr. danho_badje_gabriel,,1,,,1
mme kamara_aminata,1,,,,1
mr. toure_souleymane,,1,,,1
mr. coulibaly_seriba,,1,,,1
mr. coulibaly_yaya,,1,,,1
mr. moutaye_azoumana,,1,,,1
889ba1c4-65a7-4d23-9dfc-d71f888b058f,,2,,,2
a2291fbe-f343-4cf2-913b-b9ca560c8a8b,,3,,,3
24ee47f0-6441-4761-941e-d856f9d3a251,,2,,,2
d125775a-20d1-44bb-99b1-6a97950ce0aa,,2,,,2
878b262a-258a-4f7c-913a-cd887675587c,2,,,,2
aa7f15ad-2d51-4f6d-a0f4-41411bbd6672,,2,,,2
f099ef0e-575c-48ac-b37c-4b50d8812117,,2,,,2
f3c16a90-d6d8-4d86-ba7e-eee1aa2ca62b,3,,,,3
ba8ce6b2-57ca-43f4-bbe8-4463005e95e8,2,,,,2
f877ec62-8973-4c72-adc5-047797505122,,2,,,2
91b2b345-02e9-4611-8126-252df523ce5e,,3,,,3
e905e284-58dd-460a-b511-f995378c16c1,,2,,,2
379e2855-0b1a-4f4e-b189-45d76a71a424,,2,,,2
18d42c41-5cf8-450f-9f83-7f77095c6b3d,,3,,,3
02d6613a-0612-49d9-9bb8-2586f942f646,,2,,,2
4a386b57-bc99-4ba0-ba2a-f714d716d654,,2,,,2
52485706-3a40-4138-8921-acfbc5a360c5,,2,,,2
cf3e9c7a-6226-4494-ad3c-db97165574b4,2,,,,2
3e1ac7cc-a9ce-4bfe-9fef-f4999f5a7606,,3,,,3
fd165a5b-95e1-4a56-bf42-4648f97117a5,,3,,,3
3e844f7a-e95e-4280-b761-c359a3271add,,2,,,2
785a1804-e606-489a-a208-0c0a47c52fc9,,2,,,2
cc17d3ad-f60e-47b2-a07b-e44cd86b97ba,,3,,,3
d73afdcd-f1cc-47a2-bbcb-c2023ea9ab19,,2,,,2
e80eaece-9df8-412f-a942-b282f6f24c85,,2,,,2
6e9d0067-db7a-4105-b956-d80e678e04c5,,2,,,2
075bf744-9ed9-4c6a-9eb3-f9e913451238,,2,,,2
4ad56d75-1ae9-4bd5-91a2-27abbd71d444,,2,,,2
6b7c3417-4a33-4638-9cb2-9495a24370ac,,2,,,2
