uuid,female,male,other,skip,total
9587b199-66f1-44fc-ab99-7b1d1d2cd1b4,,4,,,4
e4ba38fd-b601-4c5f-aaf6-9cdd15ec6d02,,5,,,5
3d8ae38a-0530-47e2-ad1d-2914f96b3908,,4,,,4
aab89821-c00a-457e-9d5e-336522aada7c,,4,,,4
06e1a335-e866-4c46-b334-ee4e7ac66d9b,,5,,,5
58169c91-9d85-4c06-b47f-75e7e0c01e71,,5,,,5
fdb2d34f-1ee3-433a-8936-45ba2400dcd5,,4,,,4
8652b40d-e870-4f33-8532-4a8c46f4218b,,4,,,4
4a38b33e-bf86-4da7-84f2-c04c0d80844e,,4,,,4
46673da5-09f8-4b8e-a92a-a737619f0827,,5,,,5
132d504a-f56b-46bb-871e-bba6d65a8411,,4,,,4
27971d04-00b5-4cf8-a571-8ee13c0bc45f,,5,,,5
72b9626d-6f8f-41df-a74f-96688d773324,,4,,,4
37009235-653d-4335-ac1c-6026e07a6b07,,5,,,5
dfc2bfa0-c7f5-4beb-83b3-cf5e8a20f344,,6,,,6
e422473e-09a4-48c9-8e29-98ea8c5bb2e5,,4,,,4
6229dcab-9319-4bff-ac54-246c61f5b00d,,4,,,4
dd36cada-0a02-4429-9426-0feb2fe267e8,,4,,,4
66560cb5-2f92-4341-9716-0c311d8f7ad7,,5,,,5
33507288-28e8-469f-a794-74dbcd807475,,6,,,6
2b9a258c-3212-4308-b27a-1fc0f1ef4a50,,8,,,8
691e3595-d158-4d19-8966-3eb36638194d,,4,,,4
a8ec109f-de29-4270-984c-b88525e9a5c4,,4,,,4
7f5b2cdd-01e5-43e8-a2a2-4803460414ed,5,,,,5
30a1ed5e-9268-48bd-b2c2-1cc914be7753,,5,,,5
8f26525c-705a-4670-bb93-d08c0326287d,,4,,,4
9c88ef45-e1e1-4bf2-9107-faee110c613c,,4,,,4
8b4f4cdd-a67f-40a0-a0a8-272fbf769273,,4,,,4
7d91e404-4d64-4bed-89fd-0a1309cb5e4c,,5,,,5
cdd59be1-4f0d-4b6b-b005-70cee63496af,,6,,,6
65263808-10f5-44a3-aea7-e08089a17712,,4,,,4
cebfd695-c5bb-4fe9-9e0d-6decb9ea5ea4,,4,,,4
7206cb02-1510-43d5-9a71-594ef8c2610c,,5,,,5
1a5b03e1-94cb-46c7-9d9a-7daa00e099ee,5,,,,5
9b1489b6-3589-493b-ac61-50c1f4a5f21b,5,,,,5
370f756a-3b2a-4f21-8a85-47525579d1e0,,4,,,4
2f4b00db-8615-40fc-9af1-99432739d3a3,,4,,,4
261da1cf-b930-495c-bc13-2da15768e2d4,,4,,,4
9c3cf473-18a9-4416-9e85-211aa31f0f29,,4,,,4
3565f4e2-b75b-4694-bcc7-2a6f93ec9e69,,6,,,6
ba5a404d-a788-4386-91e3-51757bfeb423,,4,,,4
3720f9dd-c918-4bb7-a88e-3e40f0ac7526,,5,,,5
c461fd54-337a-4746-a696-5d325973febe,4,,,,4
e8618c21-8898-4441-915e-cfd6ae24e733,5,,,,5
19757b62-bc34-4578-bc93-0b8ead9a19bb,,5,,,5
4ca519c5-72ae-4a5b-b82f-47bcd682c6bc,,4,,,4
a2d5922c-044d-4c14-91ab-e4fe5a1ac679,,5,,,5
057f0268-8566-4f5a-8087-302b6ce53339,,4,,,4
c2607e2f-43ba-4ffa-a7a2-48615dfff4c2,,4,,,4
a3109237-3f62-4005-97c4-6dbc47f7f684,,4,,,4
8d008bb2-7d03-4e49-bab9-46f5c518fb6c,,4,,,4
dfe0c7e8-92e0-41de-b796-7b3edd156ef6,,5,,,5
af861c64-140f-462f-9b1e-b10d6fb606d0,,5,,,5
578a4f4c-2b1c-4661-af10-c5aa6ead899e,,5,,,5
121198d5-4b0a-4070-8507-f477556488d4,,5,,,5
a5ab924d-0334-4405-a5ae-7f54ed8153e7,,5,,,5
e00a1313-90be-43a5-809f-2fca980e465f,,5,,,5
69ee6c8e-82ae-4b81-af4c-56d37abd7aed,,5,,,5
e472500d-6ec2-421b-be77-f41f2dbf6480,,4,,,4
bc1790f5-6e69-4969-b40f-94278bbc9bf5,,5,,,5
59beb52b-fb99-4cd9-a418-4a7aa7ec8cf0,,6,,,6
cd7fed47-ed13-48df-82a6-06ba8271557b,,5,,,5
fccee340-79fc-4900-9959-2186633d392f,,4,,,4
9bf9d636-2df4-46bd-88e9-9bcdc604d80a,,5,,,5
