id,wikidata
TNA,Q7193584
URP,Q7889105
orange_democratic_movement,Q1640905
wiper_democratic_movement_kenya,Q5251223
forum_for_the_restoration_of_democracy_-_kenya,Q5473121
federal_party_of_kenya,Q22666177
federal_party_of_kenya,Federal Party of Kenya
ford_kenya,Q5473121
chama_cha_uzalendo,Q5069325
kenya_african_democratic_union_-_asili,Q22666182
MDM,Q22666185
PDP,Q22666200
UDF,Q7887687
the_independent_party,Q22666212
IND,Q327591
kenya_african_national_union,Q1422517
kenya_national_congress,Q6392670
national_rainbow_coalition,Q3130920
APK,Q15980825
MDP,Q22666315
narc_-_kenya,Q10963557
ford_people,Q5473122
new_ford_kenya,Q7007666
