id,wikidata
parliamentary_group_1,Q1164022
parliamentary_group_7,Q1164022
parliamentary_group_55,Q1164022
parliamentary_group_44,Q1164022
parliamentary_group_26,Q1164022
parliamentary_group_25,Q1186316
parliamentary_group_54,Q1186316
parliamentary_group_43,Q1186316
parliamentary_group_8,Q1186316
parliamentary_group_2,Q1186316
parliamentary_group_56,Q29534
parliamentary_group_40,Q29534
parliamentary_group_45,Q1265971
parliamentary_group_29,Q1265971
parliamentary_group_9,Q1265971
parliamentary_group_60,Q1265971
parliamentary_group_3,Q1265971
parliamentary_group_57,Q22205328
parliamentary_group_59,Q15859034
parliamentary_group_27,Q1511179
parliamentary_group_32,Q6016749
parliamentary_group_46,Q6016749
parliamentary_group_10,Q2264634
parliamentary_group_28,Q420115
parliamentary_group_24,Q420115
parliamentary_group_11,Q3256473
parliamentary_group_38,Q3118788
parliamentary_group_19,Q3118788
