id,wikidata
future_movement,Q228720
free_patriotic_movement,Q1454007
amal_movement,Q452670
hezbollah,Q41053
progressive_socialist_party,Q113104
lebanese_forces,Q1146346
marada_movement,Q1892248
kataeb,Q502276
hunchak,Q139617
lebanese_democratic_party,Q1822803
solidarity_party,Q3366159
syrian_social_nationalist_party,Q7663245
arab_socialist_ba'ath_party_of_lebanon,Q4783242
tashnag,Q318657
ramgavar,Q1186110
democratic_left_movement,Q1186195
kataeb_party,Q502276
national_liberal_party,Q1851961
independent,Q327591
