uuid,female,male,other,skip,total
0b3d1f8c-f25f-4429-97d4-29e2497b1e50,0,0,0,1,1
191159aa-3c0b-49f5-9ef9-6b2e46c9a2ee,0,0,0,1,1
2a288956-6439-4fce-a35c-2c657dcf527c,0,0,0,1,1
352545ec-bd02-46f2-aad9-ad8f064a1a35,0,0,0,1,1
3553ccb4-d1c7-405b-a80a-e1bd9565aa17,0,0,0,1,1
50aef317-b776-4438-b96c-22e7fbbe02b7,0,0,0,1,1
5d5bca53-07c8-4c18-99f5-90cfafaa8864,0,0,0,2,2
952fc903-9fc4-4d3d-b24c-58443e3f964c,0,0,0,1,1
ae77a0a1-36a1-4e97-bcca-1ec480f00dc3,0,0,0,1,1
b248fbd0-2d7c-4573-97f5-a29de2793111,0,1,0,0,1
b678ece7-0d5c-4be1-b4c5-c8d2d3be329a,0,0,0,1,1
d0646ca8-3c1c-4dc1-b236-44e2d7283a49,0,0,0,2,2
ea0fc143-7969-4116-a2d8-245fc1efc40f,0,0,0,1,1
