id,name__de,name__uk,name__en,name__nl,name__fr,name,wikipedia__de,wikipedia__en,wikipedia__uk,gender,birth_date,given_name,original_wikiname,wikipedia__fr,name__it,identifier__VIAF,name__nb,name__da,name__nn,name__sv,identifier__SUDOC,name__rm,name__ru,wikipedia__ru,name__es,name__pt,image,name__cy,death_date
Q1078901,Christian Batliner,,Christian Batliner,Christian Batliner,Christian Batliner,Christian Batliner,Christian Batliner,,,male,1968-09-07,Christian,Christian Batliner,Christian Batliner,,,,,,,,,,,,,,,
Q1208835,Diana Hilti,,Diana Hilti,,Diana Hilti,Diana Hilti,Diana Hilti,,,female,1973-08-30,Diana,Diana Hilti,,Diana Hilti,,Diana Hilti,Diana Hilti,Diana Hilti,Diana Hilti,,,,,,,,,
Q1245115,Doris Beck,,Doris Beck,Doris Beck,Doris Beck,Doris Beck,Doris Beck,,,female,1961-04-05,Doris,Doris Beck,Doris Beck,,,Doris Beck,Doris Beck,Doris Beck,Doris Beck,,,,,,,,,
Q1245153,Doris Frommelt,,Doris Frommelt,,Doris Frommelt,Doris Frommelt,Doris Frommelt,,,female,1946-07-11,Doris,Doris Frommelt,,Doris Frommelt,,,,,,,,,,,,,,
Q1301159,Jürgen Beck,,Jürgen Beck,,Jürgen Beck,Jürgen Beck,Jürgen Beck (Politiker),,,male,1961-07-22,Jürgen,Jürgen Beck (Politiker),,,,,,,,,,,,,,,,
Q1332757,Elmar Kindle,,Elmar Kindle,,Elmar Kindle,Elmar Kindle,Elmar Kindle,,,male,1968-02-21,Elmar,Elmar Kindle,,,,,,,,,,,,,,,,
Q1359488,Wolfgang Marxer,,Wolfgang Marxer,,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,,,male,1960-11-04,Wolfgang,Wolfgang Marxer,,,,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,Wolfgang Marxer,,,,,,,,,
Q1418548,Gerold Büchel,,Gerold Büchel,,Gerold Büchel,Gerold Büchel,Gerold Büchel,,,male,1974-06-14,Gerold,Gerold Büchel,,,,Gerold Büchel,Gerold Büchel,Gerold Büchel,Gerold Büchel,,,,,,,,,
Q1477867,Albert Frick,Альберт Фрік,Albert Frick,Albert Frick,Albert Frick,Albert Frick,Albert Frick,Albert Frick (politician),Альберт Фрік,male,1948-10-21,Albert,Albert Frick,,,,,,,,,,,,,,,,
Q1496930,Gebhard Negele,,Gebhard Negele,,Gebhard Negele,Gebhard Negele,Gebhard Negele,,,male,1953-12-08,Gebhard,Gebhard Negele,,Gebhard Negele,,,,,,,,,,,,,,
