id,name,position,start_date,end_date
dcd40b3f-c019-45c1-a9ac-c73142611da5,Andrius Kubilius,Prime Minister of Lithuania,,
982c8cca-f567-422e-a4aa-ea379ada2d98,Arminas Lydeka,member of the European Parliament,,
bef5a34c-3b30-4010-afdf-3ba500baf118,Birutė Vėsaitė,member of the European Parliament,,
7421741c-fcad-4c4a-a017-2886b5450241,Eugenijus Gentvilas,member of the European Parliament,,
1cbf7dee-4299-479a-8209-a82918868b57,Gediminas Kirkilas,Prime Minister of Lithuania,,
306e07f6-ff92-496f-8c81-39ae6e44ed4a,Mindaugas Bastys,member of the European Parliament,,
b3317ede-f11b-41d9-b5f8-f6e02a8b10ab,Petras Auštrevičius,member of the European Parliament,,
a9c6f127-7b00-47ae-9bd5-464b23589ac0,Valentinas Mazuronis,member of the European Parliament,,
247d6a29-7608-4657-867f-55102eb0130d,Viktor Uspaskich,member of the European Parliament,,
8c47725e-4a2b-494c-9446-6daa6c3f21a3,Šarūnas Birutis,member of the European Parliament,,
