party,page_id,district,term_id,image,name,region,details_url,chamber,term
VPM-MMM,abdilah,Vohémar,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/1.jpg,ABDILLAH -,Sava,http://www.assemblee-nationale.mg/?depute=abdilah,National Assembly,2013
MAPAR,alidy-bin-soufou,Mitsinjo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/2.jpg,ALIDY Bin Soufou,Boeny,http://www.assemblee-nationale.mg/?depute=alidy-bin-soufou,National Assembly,2013
Mouvance RAVALOMANANA,andriamitantsoa-ramasindraibe-benjamin,Antananarivo Avaradrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/3.jpg,ANDRIAMITANTSOA RAMASINDRAIBE Benjamin,Analamanga,http://www.assemblee-nationale.mg/?depute=andriamitantsoa-ramasindraibe-benjamin,National Assembly,2013
Indépendant,andriamasimanana-aureline,Ambatondrazaka,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/4.jpg,ANDRIAMASIMANANA Aureline,Alaotramangoro,http://www.assemblee-nationale.mg/?depute=andriamasimanana-aureline,National Assembly,2013
Indépendant,andriamboavonjy-nantenaina-herisoa,Mandoto,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/5.jpg,ANDRIAMBOAVONJY Nantenaina Herisoa,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=andriamboavonjy-nantenaina-herisoa,National Assembly,2013
Indépendant,andrianarivo-harimampianina-razakarivelo,Ambositra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/6.jpg,ANDRIANARIVO Harimampianina Razakarivelo,Amoronimania,http://www.assemblee-nationale.mg/?depute=andrianarivo-harimampianina-razakarivelo,National Assembly,2013
Indépendant,andrianirina-josoa-marohajaina,Ambatondrazaka,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/7.jpg,ANDRIANIRINA Josoa Marohajaina,Alaotramangoro,http://www.assemblee-nationale.mg/?depute=andrianirina-josoa-marohajaina,National Assembly,2013
MAPAR,andrianjaka-samson-goulzar,Ampanihy Andrefana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/8.jpg,ANDRIANJAKA Samson Goulzar,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=andrianjaka-samson-goulzar,National Assembly,2013
VPM-MMM,andrianjanahary-fanomezantsoa,Manandriana,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/9.jpg,ANDRIANJANAHARY Fanomezantsoa,Amoronimania,http://www.assemblee-nationale.mg/?depute=andrianjanahary-fanomezantsoa,National Assembly,2013
VP-MMM,andriantsizehena-benja-urbain,Manakara,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/10.jpg,ANDRIANTSIZEHENA Benja Urbain,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=andriantsizehena-benja-urbain,National Assembly,2013
Indépendant,angele-solange,Amboasary Atsimo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/11.jpg,ANGELE Solange,Anosy,http://www.assemblee-nationale.mg/?depute=angele-solange,National Assembly,2013
