uuid,female,male,other,skip,total
000c04dd-12d9-4aa6-bb40-5ee90a41bef9,0,1,0,0,1
030ad350-9314-4519-a4a7-f8d3d2ec4875,0,0,0,1,1
03701c15-63d9-4f06-97d3-30e9c4a76e0b,0,0,0,1,1
03a65c8f-6a8d-401e-8175-35e0f990da3a,0,0,0,1,1
091bfd74-a59a-45dd-8e55-358f3e44b5ba,0,0,0,1,1
0cc5d773-02cf-468d-be5d-90ccea5cd551,0,0,0,1,1
1124b539-589b-4557-89ce-0b10a6c98dda,0,0,0,1,1
12ca7883-b4eb-4077-a8cf-1b90c0e2af02,0,0,0,1,1
1634f920-b1c0-4426-ac71-ca2cd5e8f55d,0,0,0,1,1
17fd8a36-0d54-476a-9e6f-0e87d8e08281,0,0,0,1,1
182a62d2-ac4f-48db-86e0-c5af9f5164dd,0,0,0,1,1
1bb662c4-13d4-44a2-b8c5-759646895236,0,0,0,1,1
24982ca8-15c5-4d3a-bb40-1950f77e2bff,0,0,0,1,1
2a7c3948-403c-422c-831e-17d24e153515,0,0,0,1,1
2d4855b8-dbae-412c-8fd0-1e5968aa8af2,0,0,0,1,1
30ce03d1-e7af-4209-bb1a-24d10361ae18,0,0,0,1,1
3df134c8-c33a-45e5-96e0-3eb2f0bd1015,0,1,0,0,1
42f3936b-748c-4475-a56b-cd4e69a2e6ef,0,0,0,1,1
4368e1b1-baba-49c0-8985-6990086d641e,0,0,0,1,1
44ec00bd-713a-4186-836d-847f4c2bc702,0,0,0,1,1
4be9b35b-bd80-4dcc-abf4-f374e7ca30a2,0,0,0,1,1
4c871198-4871-4087-9bbc-3ddbf02406ce,0,0,0,1,1
5a77d153-908a-487b-a1d4-47a68a3aabbf,0,1,0,0,1
63d5abbb-06f7-4865-8896-5068f098fca1,0,0,0,1,1
648d2619-31ee-441e-8526-3190e5f9cf8f,0,0,0,1,1
6a036815-7212-479a-b58f-bd1bc718c397,0,0,0,1,1
6ff0f695-659c-45a1-89ae-a71dd306311b,0,0,0,1,1
6ff77c88-6b5c-440a-b0cf-e126bb9e8543,0,0,0,1,1
7adf62f5-8286-4483-820f-940ef6af654d,0,0,0,1,1
7b77acc1-4a2c-4877-a7d2-e8fb935c083b,0,0,0,1,1
7b85a810-7b9f-448c-8191-1b3165fc31c3,0,1,0,0,1
7f92b881-ccd6-481d-8171-fe247c638813,0,1,0,0,1
83dc9cfe-7322-4b74-a333-3d5bc045cb96,0,1,0,0,1
8425cbce-ee61-431f-b11f-f4f1a423dad7,0,0,0,1,1
899e088c-6b2f-45f6-be79-ee4ef1176977,0,0,0,1,1
8b0d5d06-c56e-4168-bfed-dd5077c1872c,1,0,0,0,1
8c9f0635-13ec-41a1-b58d-9828325597ab,0,0,0,1,1
8e26f2c3-e86b-4720-915a-fc2f93861ad4,0,0,0,1,1
94d6f120-94eb-4c99-b12c-7aea1f13f624,0,0,0,1,1
951611c6-0e37-4cb8-8b5f-02a510bfa673,0,0,0,1,1
98720735-46c3-48fd-b54e-fe9c8a34f683,0,0,0,1,1
9a6fc3d4-1643-46f2-9e1d-c709a36c1f97,0,0,0,1,1
9e80c5e7-daaa-4b01-aa9b-11622676e7cf,0,0,0,1,1
a3bfe55f-c402-41b5-abf6-eb2c35bda80f,0,0,0,1,1
aacfcfc0-8b5f-4bba-9260-2fa38853d19a,0,1,0,0,1
b4525ec5-290d-4ed4-93fb-93c79d755982,0,1,0,0,1
baef59e6-fa37-4ef9-8615-204038b650b1,0,0,0,1,1
bb48eb70-5c7c-42c6-97bd-81c42bed319e,0,1,0,0,1
be593097-9812-4446-b8ba-6d2e2155d0e3,0,0,0,1,1
c1b0fc82-f975-4e30-a233-171abbdbd626,0,0,0,1,1
c7cbca80-d46f-4cea-bf1f-c2234f448c20,0,0,0,1,1
c8730be9-a391-4b39-b352-c0225a46e461,0,0,0,1,1
cad23ede-97a2-45de-9dcf-0d37ca060d5d,0,0,0,1,1
d1aab611-af54-4922-9950-51c119fc3072,0,0,0,1,1
dc5e42eb-b576-4bce-8aeb-b25590d296a8,0,0,0,1,1
e043cbee-57d7-4061-93c7-95dab6187343,0,0,0,1,1
e20a3201-4bcb-4bac-872c-ff45bb4b9ce0,1,0,0,0,1
e30e7a78-0be3-4e4a-a368-01889af46f4b,0,0,0,1,1
e8cb9ac8-ea17-468e-9e7f-323fc2de1d1d,0,0,0,1,1
efaed40b-9b6f-4397-9c91-c78d32693be9,0,0,0,1,1
f3638ea0-233b-44ac-ba16-74ab227d6755,0,0,0,1,1
