id,uuid
Q8079637,d807138f-81ad-4c88-a7ef-2a58dfeb579c
Q16213896,dbd7ac0d-8a0b-4c84-ac77-43b546767dc8
Q1508402,f810055a-379c-4865-b974-b00be874ef6b
Q18206002,0638fdcd-d02a-4204-bfb0-c91b5d7b2374
Q247348,d5ae793a-1653-4e57-868f-ecd392d05809
Q1363583,eba2730f-f701-4e13-8778-397dfc2f539f
Q20983473,c4ededa8-e3dd-45a3-8e80-93a3eddc1f80
Q17016298,013d4477-7a18-495a-9249-e5ac5ef0add5
Q20949398,62732ab1-14e5-4da6-b2a0-cac8d488b55f
Q7341603,0ab37aaf-e308-4f98-a408-c0c60a737116
Q16199692,4dadfb6f-d761-44ed-ba03-54c18a49c558
Q6830673,41cda172-c6b3-47db-ac07-3cb3c4b8994f
Q6830205,a7ea6925-5228-4370-b210-e35f269328e5
Q441784,eeedb4bc-283c-43a1-9476-fe6ac6f65dd9
Q5043368,a4bda36c-5f11-4974-8d58-99fa68776b35
Q1871727,fb060def-5778-4c95-b2c3-f091b09945e4
Q15711259,8556b667-af3b-4ba4-80dd-d3f8f0af0508
Q1043584,7a61181f-a051-4cce-ba90-0286987e1de9
Q2980429,66bfcb58-b3cd-4b98-970a-a0bce078510d
Q6209462,ab8b7203-9fbd-446d-b545-1cd88ee74e94
Q632408,9530ab81-5cfb-4278-ba84-66fdf42ae788
Q1683865,34c28585-fde5-4fcf-9ad1-69c0b62a793a
Q19958063,60d51ea8-48f8-4a9e-b729-d3d6f860dd19
Q524961,fc7366dd-109b-475e-bf93-cedf8386f1bc
Q1508101,a4e0ace0-d840-4fec-854e-d4af96eff7bd
Q5497307,17c4c677-e371-497b-a65d-7f116f7c18cf
Q5416069,945b3c06-1076-454d-a862-8e5d0fa038f6
Q173958,400d9864-ede3-4849-ae6e-7b4821ab70db
Q938224,e1af3701-d891-4cf4-aab0-2404f265057c
