uuid,female,male,other,skip,total
04428bfc-4bde-48ff-b6e7-850ba176b2a8,0,0,0,1,1
06f69881-2baa-4442-9aff-92944bb96425,0,1,0,0,1
08575659-4433-4d34-b9f5-7f6e7f2ddce5,1,0,0,1,2
09a86cad-0a7f-488a-ab67-5a35c6b29b22,0,0,0,1,1
0bbc5ab0-78f2-4106-845c-99392912f7f7,0,1,0,0,1
0ce2870d-e1db-4f3c-b365-91e76d137dad,0,0,0,1,1
0da87c2c-f003-4636-ab36-fb94347a72b8,0,0,0,1,1
0eb9a64b-44d8-4c92-b8d9-2369073c1436,0,0,0,1,1
0f1d7f2a-8f0f-4015-880e-8c7fd439f967,0,0,0,1,1
128ff8ac-5c52-4869-b558-d0b99e48c29f,0,0,0,1,1
1572bc4b-e944-42af-a9b2-e3b72f1dad79,0,0,0,1,1
18f1ecc5-e06d-4f7c-9b0f-9dead5474ac9,0,1,0,0,1
1dae7f80-031d-4e9b-9221-bda29e8c9eb6,0,0,0,1,1
22820b1d-bfde-4ce3-9c6f-9f7de8eeb88a,0,0,0,1,1
23de6bb9-555e-48ba-9713-a0ed162aae5d,0,0,0,1,1
2537df47-eb3a-448f-af1b-eac6a8f20517,0,0,0,1,1
29d0b1a6-d073-4e91-b0a5-d0e9a3406fe9,0,0,0,1,1
2a46c27b-721c-459d-884b-cc109313ca86,0,0,0,1,1
2d64aab3-2480-44d0-a8d7-b1e5bca8d273,0,0,0,1,1
31a73ae4-df91-4cc9-871a-7747111f2ee3,0,1,0,0,1
31fdadc0-e785-4ac6-8638-d0ad85a0a5ac,0,0,0,1,1
32bdb9cf-513f-4f19-a155-bf932ef29f32,0,0,0,1,1
331bbf22-a16c-4350-b347-c8d0cd75526e,0,0,0,1,1
334190e2-6741-48ff-9dcb-4bd699a6c299,0,0,0,1,1
34ddb11f-ce8d-44e2-be6c-607d0b6c4b41,0,0,0,1,1
355f9d9d-8d77-4e72-b34b-d4af7fcd6775,0,0,0,1,1
3620208f-229b-4494-995f-7f977f1f416b,1,0,0,0,1
3628f019-b664-4e6a-bd12-40f9c3348b79,0,0,0,1,1
36f7fd47-6c19-43e1-b2fe-bd73c654179c,0,0,0,1,1
3824d072-e190-4f65-88f5-100ed1e65779,0,0,0,1,1
3df5c8bd-6942-422c-b9e5-e11aa284b870,0,0,0,1,1
41246179-9cad-4e12-b9b4-dd72babc600f,0,0,0,1,1
4134129f-9ea5-4f8e-8c06-b50553cb11a5,0,0,0,1,1
42c06f9b-4854-48af-91e0-693fbfc2193b,0,0,0,1,1
4565cf6f-e5ba-4b90-88fe-cbfd31e3aa18,0,1,0,0,1
468dbdad-8638-4fc9-bff3-2920c752a3dc,0,0,0,1,1
4b79feab-0974-44aa-80dd-b9b77dfd4e9d,0,0,0,1,1
4ca67691-24a9-448d-aba8-efc7b30ad5be,0,0,0,1,1
4cd23f03-b843-445b-837c-ced34195fd35,0,0,0,1,1
4f6d3dd2-b2f7-424b-b375-8119d66c92bb,1,0,0,0,1
4f97c45a-d3f1-4468-baf9-520068548300,0,0,0,1,1
53130a47-0e82-4124-8216-471963dd2b9c,0,0,0,1,1
55b81475-bb5e-48ca-b870-4b00a3362001,0,0,0,1,1
5676b7dc-b9c7-4678-b6af-fbcd56458a52,0,1,0,0,1
583c4e58-1240-4e95-83c0-5fc421653841,0,0,0,1,1
59bd7e1e-c36b-48fb-9a68-fc1eca34d76b,0,1,0,0,1
5a95cc67-68bb-435f-a492-0d8cafcff777,0,0,0,1,1
5b6b9149-98f5-4907-8b80-c3a808bb49c9,1,0,0,0,1
5e912cb6-7fbe-487c-b613-319cf5d30a37,0,0,0,1,1
626dc76f-c880-4e00-8bc2-51a734f25c1a,0,1,0,0,1
62f8bd4f-8627-4f57-98f1-50e88b2b9c5d,0,0,0,1,1
69e39b55-788c-4228-91d6-f96c1b24086f,0,0,0,1,1
6b3b150e-7a64-4430-8c8e-e8b38677734c,0,1,0,0,1
6cf21d63-7090-4067-af6d-efac03469f3d,1,0,0,0,1
6ddb6978-8e7f-401c-a603-87be4e231e14,0,0,0,1,1
708c3edb-97ef-4346-822a-8faa9d60f33b,0,0,0,1,1
70cae39e-0fe4-4d9e-af6e-7143b00c907f,0,0,0,1,1
72ecd41b-0324-4823-85e7-341a29d6a12f,0,0,0,1,1
77559d6f-7616-4a58-8335-19201fe8c199,0,0,0,1,1
776b5699-f572-4789-aabd-8ddc00d73982,0,0,0,1,1
78648146-480a-4586-844b-11fede378fd4,0,0,0,1,1
7a13fa95-8c3f-4b60-befc-be1068d3c843,0,0,0,1,1
7a8b02bf-fafd-40c2-b3c3-b3836d405a31,0,0,0,1,1
7f272bbe-8a4b-4aad-a714-8b22450b399c,0,0,0,1,1
804f4315-98eb-4644-aa21-2d5d0fb2a92f,0,1,0,0,1
8149dec9-19de-431c-9722-54fa09905faf,0,0,0,1,1
81504493-3b8c-42a2-a829-966ec22b3a6c,0,0,0,1,1
8194f1cb-53f8-46f0-ae61-5dec78ad8974,0,0,0,1,1
848a8c24-782d-4109-9914-3d04e5d76547,0,0,0,1,1
85702a66-1602-45a5-901f-13ba3d082de4,0,1,0,0,1
86e47f05-ae70-4561-bf04-a651f4faacb8,0,0,0,1,1
88321031-8c3c-40d5-8bfb-e4e832cc2688,0,0,0,1,1
88371afc-d407-470a-b4f9-eb724f6bdac8,0,0,0,1,1
