uuid,female,male,other,skip,total
058e299d-0e11-4de3-9b2e-b71b61228996,0,3,0,0,3
15508f68-5f85-4b53-936a-82d9b830f189,0,3,0,0,3
241de126-cb7a-4a06-9163-a0497be4f978,0,1,0,0,1
42c951c6-a746-45c7-89e2-9f19e8cf05ca,0,3,0,0,3
443faafc-c619-4997-84b8-15d34abe7b7b,0,3,0,0,3
4557e685-bd2d-46fd-bdef-8fcd9f1d10f2,0,3,0,0,3
4a9f40af-e1ea-4eda-9cf9-32e7f9e39414,0,3,0,0,3
4d5b419b-ef9c-4617-a25c-447b7441af8f,0,3,0,0,3
64958049-0ac1-4384-a75d-efbe89312044,0,1,0,0,1
72476d6d-f1a4-41ff-85ab-3cc3dc23873a,0,3,0,0,3
72cf4012-3937-42cc-94be-ad1bee186424,0,3,0,0,3
98284053-7a5c-4f42-b1e4-b968461af240,0,1,0,0,1
9e66ff7a-bec1-4fbf-aa71-d8fb118660ae,0,1,0,0,1
ac119e3e-56d0-4473-8454-a6b35e0b74e0,0,3,0,0,3
ac51f588-3837-4538-8e84-19b96b1628a8,0,1,0,0,1
c9232c1b-f396-4137-8c35-2eacfe759bfd,0,1,0,0,1
d8657161-2698-49b2-8b46-8f89a12eaff9,0,1,0,0,1
db7c5421-fe73-4605-84a5-c336f17544de,0,3,0,0,3
f1a771ac-774c-4b21-b15b-30d2a479706b,0,3,0,0,3
f3045305-0c65-4888-a986-3dd27f77a7c4,0,1,0,0,1
fb648ba1-5a26-4970-be9e-2d44b54951d2,0,1,0,0,1
