uuid,female,male,other,skip,total
b7c88562-ce17-43a7-9844-f79d21438fcc,5,1,,,6
a5caa3de-352b-4afe-b3cc-7bb25d36dd90,,6,,,6
1ca4231f-195d-46da-aae8-bd13b0403a70,,6,,,6
0633c42c-6d36-49cf-8427-245ffc12bfe3,6,,,,6
783a2833-98fb-4a4b-8957-c2f00fd49f49,,6,,,6
054bb1e0-7971-48ef-ae58-61e1c2f9c1e4,,6,,,6
6ea1c2ed-3ae5-412b-9ec9-938fb8db35c0,6,,,,6
58792ffa-85b5-4ece-b1f8-dbd8f7213689,,6,,,6
95d751a1-ceb8-44a2-a26e-49cc15fcec36,,6,,,6
b032b05f-e481-49fc-a062-786121367d0a,,6,,,6
790ecb6c-1b06-4cc2-bbde-93df5ca2d04e,,6,,,6
030badfd-b11b-4977-bc43-484b8645f027,,6,,,6
b61c6f06-586a-4c6a-aa83-d58b5b2d4e93,,6,,,6
6085eb00-212f-405e-b1f0-54dbafdadd71,,6,,,6
4eb0dab7-0f82-4138-86fd-c919a8bfeeb0,,6,,,6
78b470d0-6ac1-4633-923a-ec6e0de78465,6,,,,6
2e704dfa-f7bd-4930-8550-6e521cc55ba0,,6,,,6
c1272a5a-5439-4500-870d-2293cf7a66e5,,6,,,6
c541384f-8172-4bdf-95f5-eaca8370a821,,6,,,6
78eff3d1-a27f-4d2a-989f-3ba1c0c98e05,,6,,,6
1403f449-2ecf-471f-9a40-4fe141a8ac11,,6,,,6
b168e57b-f950-4722-9a57-93ba07102654,6,,,,6
79ddcd71-2532-4f83-97c9-51eb499d469c,,6,,,6
c344c675-dfe7-401b-af68-768a2d9dd3bf,,6,,,6
21865150-43b2-4b43-8e9c-15adf89e8925,,6,,,6
9cdeed97-6d9a-446f-9d9d-d757ad35da56,,6,,,6
c9dcf443-5b48-49f5-8cef-44200ad6f47b,6,,,,6
58cf8f43-6778-4b2f-ba56-7b8f73532078,,6,,,6
1d93838e-6598-4d3c-a710-10eec9548461,6,,,,6
25e19ea7-eda6-4c2c-bf12-51116d446f46,,6,,,6
d85996fe-3009-4e16-b13a-050b13b4fbb3,,6,,,6
ac60c797-c5ea-4b0e-b976-3495e8de1615,6,,,,6
aa7df0a8-c160-4147-b8c2-ecaa6d839778,,6,,,6
8a61bd82-a48d-458f-a492-17a1b7a34716,6,,,,6
cf53bff8-0ad1-4acd-86c7-c3586d68e0af,,6,,,6
fb697241-3d14-4ff6-b9b3-07632411160c,,6,,,6
414c95ab-4bcd-4b12-aa97-b213f00cba7f,,6,,,6
b57e870d-f5e0-423f-80ae-3395dbab7d5a,,6,,,6
213d09b0-47c8-4c2b-9b46-bd9453f5efa2,,6,,,6
3b3c816d-e324-4f8f-9601-d1e0959bb7b5,,6,,,6
f69cfb45-1c64-4ebc-b440-7de4fe49bfab,,6,,,6
668e705c-f139-4eb4-89d7-fca38374dd84,1,5,,,6
e213113f-89b9-4c04-a86e-030ea2efc520,6,,,,6
a73b564a-07bc-4bcd-8e28-a1b2eea8d110,,6,,,6
710adf51-ea34-4434-a25b-2084f8410b09,,6,,,6
efef2583-2cc9-420c-838a-a79398abbbce,,6,,,6
ea1a18dc-05ae-4433-a1f5-8abfc27d05d9,,6,,,6
451fa8a9-bbdb-428c-a14a-e6149a2718ae,,6,,,6
a2b39831-b291-4503-86d0-1588cc7b46e2,,6,,,6
1e408559-1801-48d0-9f1e-fe36f48200d8,6,,,,6
