uuid,female,male,other,skip,total
01fb02cf-2cd1-418b-9746-18bd7ed1efa1,0,1,0,0,1
10d213c2-f622-42a5-bb57-6ecd60649e4c,0,1,0,0,1
11454c5e-ebf6-4a0d-826f-37e4a0f6e01e,0,1,0,0,1
19444af9-ff6c-46c3-95cc-cc90be718fbf,0,1,0,0,1
1d8956ab-a0c8-4e6f-a959-299d676c2f5a,0,1,0,0,1
41065287-b891-4c42-892e-fb5d8a825b69,0,1,0,0,1
45a20ead-0d7d-440f-8a0e-dc322844803f,0,1,0,0,1
4bf70f7d-d11e-4326-8522-8a2013feae9e,0,1,0,0,1
51470d6a-556e-4af8-b79d-5c8d4f62c013,0,1,0,0,1
627f3663-3b34-4771-a9aa-8fba9e136fa5,0,1,0,0,1
65fdbb42-20e3-47cc-b7b5-450c496c9ac3,0,1,0,0,1
6aeb9550-7d70-4ce2-a67c-ccadc9516ed1,0,1,0,0,1
7063f26d-b1af-4049-a98b-582bbe340e05,0,1,0,0,1
755cf1dd-26ee-498d-a03a-542fc38a50fa,1,0,0,0,1
86ca7119-76eb-40e9-8b26-72de2184b70b,1,0,0,0,1
8b975c75-0c33-4f69-bde4-90becca61dcf,0,1,0,0,1
92232516-78e9-45ef-b04c-8c19a758bcb4,0,1,0,0,1
9398cdb6-d8de-45f4-9e84-ff1c65616c44,0,1,0,0,1
a38867dc-73e6-4990-90df-cf89f0b25be5,0,1,0,0,1
a439cef5-2afe-47cb-ae83-34048790aa51,0,1,0,0,1
a8f70505-03c1-4ebe-b6ef-2b459f3fe714,1,0,0,0,1
b95eab1d-6326-4ea8-8014-980c6f74583b,0,1,0,0,1
d86ac537-e736-468c-8209-e04947449aaf,0,1,0,0,1
dcd67e5c-1d3f-43ec-81ac-4ac155dde61d,1,0,0,0,1
fdb19fce-977e-4aba-8c42-148cbceae5c1,0,1,0,0,1
