uuid,female,male,other,skip,total
df5ce57d-90bf-4c4c-a945-8f13ca525b57,4,,,,4
f68c75b4-2c65-489f-b114-a51af52d8593,5,,,,5
51e900c0-21dc-4c74-9fe2-73cbd6f29d44,,5,,,5
f76ec47f-b8d0-479c-8699-9a8aaf27ea25,,5,,,5
f668786a-530c-459b-a103-86ed4912d7c4,,5,,,5
f75bac0c-80dd-4bc9-a35f-8fb70301e85a,,4,,,4
7370f3dd-a5ba-48af-82d0-8825db49a4ea,,4,,,4
4728515c-c2c9-453a-b347-08102ca4e6fc,5,,,,5
a08c06c2-b4fb-4041-95f6-2fe370dfd7e8,,4,,,4
147470f5-8eca-4948-8716-a71b32de11df,,4,,,4
85db918c-efd4-4fdd-8333-00404fc98613,,5,,,5
516a97ac-b3e6-4874-a852-9ab35e8263d2,,3,,,3
131c1380-f78f-40a3-88a4-f68b1b0c9a9b,,3,,,3
3afa6f56-ccfc-468b-904b-aef7771b2082,,3,,,3
5cfd4a91-6778-4e10-a6b8-934464bfc58b,,3,,,3
55c6a197-9412-4474-820d-5aa8ad269cc1,3,,,,3
503b172d-f333-4a00-8d2b-1bf676f30961,,3,,,3
0dc9cbb2-321f-45f5-8a60-98fd3ad4499c,,3,,,3
e94942b7-aaa4-41ea-90f0-da00a55bef0e,,3,,,3
895b6040-600d-4e77-9090-d50827320569,3,,,,3
3e2e62b7-2428-4ba1-8215-33422d12807e,,4,,,4
0263e85f-6ff4-4e37-93a2-418d41066a02,,3,,,3
afe8671c-6603-42f1-8316-763c3f812c41,2,1,,,3
242833b1-f02f-4d69-b7dc-e4d2540c6ac9,,3,,,3
ba91335f-bbd3-45a2-8b89-5eb26dc42eeb,,3,,,3
082adf64-7b29-4075-9e83-80c511dc87eb,,2,,1,3
f62bab05-b234-4b66-b0f0-69f89fa68dfa,,2,,1,3
41e17715-68af-4adf-9a91-b7a9b558281e,,3,,,3
9c3514f6-b134-4216-a0c3-1e45e8cf7d16,,3,,,3
9440bcac-9474-4f9f-840a-73987ff7b038,,4,,,4
8b116bf9-290b-4280-bf43-f1525777f134,,2,,1,3
f314b688-a731-40c4-9b92-7626267c1351,3,,,,3
2910207e-4a43-4c7b-9fee-a11d59170353,,3,,,3
1dce56b5-56f5-4661-9703-d1c28fb39b65,,3,,,3
3d1fe641-1345-428e-a8f7-4e0ba6320017,,3,,,3
362441f3-cb63-4d31-803e-75e6c709cdfe,,3,,,3
64551440-bc21-45cc-a0b8-7b2c7b00e844,,3,,,3
9ee8db7c-6ed0-44ad-a7b2-47a487f3ed4c,3,1,,,4
ec5ed24b-4864-42ca-826e-953011c41cf7,,3,,,3
fbe6f435-6652-41c0-bf32-2e9091086edc,,3,,,3
327f5d19-90ea-42a8-ab20-d3c920a7542e,,4,,,4
df76ef9f-daf5-4a71-90c5-8e79100fd077,4,,,,4
10cbddd7-7de9-4fe3-9917-f2188df70d04,,3,,,3
8edd3d0f-01a1-4843-b4cb-75c3d2ad45ee,,3,,,3
6efdba28-a404-4775-b951-5eb292ed3e4b,,3,,,3
a6f8c8b4-86b9-4453-82de-5c524cb1fe02,,3,,,3
7d158a7e-b14c-40c6-9d10-28a3f66902d9,,3,,,3
a8d7b26e-88a7-4c20-b0c1-d4f697800516,,3,,,3
e8eb945f-4688-45b1-90fd-55b3323b8277,,3,,,3
20caa436-db59-4228-a646-9d7f2548db52,,3,,,3
dd4700f5-4d58-4ffe-b26b-4e759951e864,,3,,,3
6ea41c8d-6f80-445e-8457-7e888a451982,,3,,,3
76349bbe-891e-40f5-8746-49d19b19da09,1,2,,,3
5b730dfe-8845-4263-b93c-ddb8df5fc015,,2,,1,3
d11b5511-0a9d-4059-b5f1-727607a2351d,,4,,,4
254ae1d0-63a1-4b91-a81f-a3f2356672c5,,3,,,3
672c6d25-bce0-4809-8725-d6fb20e1690c,3,,,,3
5e589ec4-46da-44ed-be03-c3d3ed545503,3,,,,3
065576f9-95d7-46b7-8a28-f6897ba830c0,3,,,,3
518219a0-66eb-4a1b-a9ac-d74a53060065,4,,,,4
50caf967-b942-4a7c-9d51-317697f4cc68,3,,,,3
c4c0f564-f3cb-4523-accf-64a00aa4607d,,3,,,3
8102d0ae-95da-4010-b779-2f1bd4d3fb04,,4,,,4
08351b00-a6c6-4406-950f-cde372e17a73,,4,,,4
27a62f13-66b4-49ae-84cc-75a1a9f9052c,,3,,,3
4ed79e4b-0160-48cc-9477-e3d69f2ff394,,3,,,3
3c85efa6-e214-4507-bbb6-48fc1970da5f,3,,,,3
85a77b4e-8e8b-4a59-86a1-fb66d532b4dc,,3,,,3
45ea72dc-1cc2-4d6c-a55d-ca421af5c2c3,,3,,,3
2d4ce6fa-443b-444a-943d-a288a7f3af67,,3,,,3
db8dfec5-257e-45e8-afc5-f34f465ce108,,3,,,3
d1e2a886-2aaf-4ca5-abb3-be00ff18b784,,4,,,4
7a70ef4c-44cd-45aa-8994-02fd29838544,,3,,,3
619a8b58-fc8a-429f-9d37-65dc483037fa,,3,,,3
65a05023-4e8e-403d-96a5-eb9c25ab8024,,4,,,4
e6b26f2f-92ee-426a-a47c-af5d096e7aa7,,4,,,4
82a22df0-db25-4317-bd37-11af960bee00,,3,,,3
19e03b41-9de9-4a01-8820-926d0c692e17,,3,,,3
82c33f3a-ecad-4e2c-80fe-5bbb9b95e911,,3,,,3
643ebcb1-a88c-43b9-b295-b8ce68277d44,,3,,,3
e1aaa186-579b-4e70-b4e3-438cfd386c70,,3,,,3
9ee1acbc-2733-4ae1-91c1-38465920742a,,3,,,3
