uuid,female,male,other,skip,total
01375bdb-1615-49f2-93fa-3f3bbad4888e,1,0,0,0,1
022f0c43-2b9f-4280-906c-fc42b5a0427a,0,1,0,0,1
037dc501-0733-43a5-8a3b-4fd7bca4b28d,0,1,0,0,1
045a0b1d-75f9-43c2-8c78-ad24d3f3b601,0,1,0,0,1
06a74a23-5d4b-42a4-89e6-f1784588a446,0,2,0,0,2
0a2ea86a-7174-444e-b838-be69c7becb42,0,1,0,0,1
0e339682-f691-4c11-a24b-341038368948,1,0,0,0,1
0edbf740-e0ba-4dd8-9587-e8760cbf0157,0,2,0,0,2
0fe463e2-7342-4ea6-96bc-557c726cc2b4,1,0,0,0,1
10d88baf-fe72-4e0c-8404-d9e25c845f2f,0,1,0,0,1
1151b496-876e-42c3-bec5-1ca818cc8bd3,0,2,0,0,2
12090e3b-1095-41ad-a5db-7fed0e9feca1,0,2,0,0,2
12800ab7-d153-4df1-b18d-ec92626bffba,0,1,0,0,1
140d3775-2da0-4b09-be9e-0087dafe4a15,0,2,0,0,2
14685a01-de13-4aa9-8fef-a894a2bfafaf,0,1,0,0,1
177d4d09-7f1d-4e8b-bf81-da71b051cc91,0,1,0,0,1
182331f8-940a-4aad-847a-544372d8850d,0,1,0,0,1
1a42d976-8227-4895-ba22-cc29438a8b9c,0,2,0,0,2
1b304987-50ab-4bb8-a7c0-bdccbc3e96ed,1,0,0,0,1
1c6ec6c6-a985-4409-b56f-d93a207b65ae,0,1,0,0,1
1f9ae2a0-d861-4d40-8eb8-95116d7dafa1,0,1,0,0,1
20c3413e-6c44-4610-8546-40faa1d498f1,0,1,0,0,1
212ce486-a650-4afc-b9d5-40e229c04442,0,1,0,0,1
2175a903-e666-472a-a8dd-dbdc735e7df2,0,1,0,0,1
217d4760-62d5-4018-ba81-b2066ddef65a,0,1,0,0,1
226e56d4-92d7-4071-a085-c34dd31b8765,0,1,0,0,1
2298d475-f4b9-4901-8ac0-475302dac85d,0,1,0,0,1
25d3afbe-fd4b-4dca-a190-97dd5ff320bd,1,1,0,0,2
280cf720-ec19-495e-8f30-390bf7e6d610,0,2,0,0,2
29a47e0a-a42e-4712-88cc-f003b1471db2,0,1,0,0,1
2a5c7c04-2774-4cf6-9d5b-a9abb969033a,0,1,0,0,1
2a692f97-ddf5-4569-917e-5ecbf910921b,0,2,0,0,2
2b2d206d-e295-4e01-abf8-abf2dcda048f,0,1,0,0,1
2cdcce4f-7bfc-49c5-9e34-38f64cfba3c0,0,1,0,0,1
2ddd02b7-0a8c-4b7d-be0d-0a0d34ecb1dc,1,1,0,0,2
2fdc9589-cd81-4423-87ad-d8ac499e1871,0,1,0,0,1
31e3fa36-c872-4d1f-a5de-adc93432d30f,0,1,0,0,1
33246c14-7933-4b9d-adc8-4d955157125d,0,1,0,0,1
3576e216-8f5f-42e6-915b-3b1e43fd6689,0,1,0,0,1
377a7cdc-cdb0-4f62-b762-8ad26dec0c1b,0,2,0,0,2
38828f91-5892-402f-88cb-5f11e3d23944,0,2,0,0,2
3c1d5054-12cc-453c-83a4-6b9d6c7af635,0,1,0,0,1
3e32a68a-c523-42d7-b2bd-88b9a823073b,1,1,0,0,2
3f455cc1-3b54-4bb0-8891-b8268a77f38c,0,1,0,0,1
40df6f1c-3e06-488c-b0bf-048b456a17b4,0,1,0,0,1
42bd8f24-e2bd-4386-8962-46d4e8a0d348,1,0,0,0,1
4690a9b2-206a-4849-b44c-4bd871f0b3b0,1,0,0,0,1
47f2a4ab-e1ab-4451-bcb1-79527985644f,0,1,0,0,1
498cc77f-00df-45ac-8be3-bd113e8a7569,0,1,0,0,1
4b6b2ccf-c658-4f4f-b182-e7823e1e1e2d,0,1,0,0,1
4cecb3e7-faa7-4f28-8e61-7111a53687d8,0,1,0,0,1
4dc1fa2d-d7cd-495c-a715-04231c104b46,0,1,0,0,1
4f0623b6-a3fb-4100-90d9-a928667ab5c3,0,1,0,0,1
535c64ae-ea6d-4a40-bf25-37248792d5b0,0,1,0,0,1
53b81189-9951-4c9d-a7b9-61f1ac065f14,0,1,0,0,1
5974a8f9-63ea-4fd9-8180-1d85aec48f32,0,1,0,0,1
5a48ff70-15f7-488a-841b-763eba2661a5,0,1,0,0,1
5cde48e8-3571-4cd4-85cc-a440bf751c20,0,0,0,2,2
5ebe34e7-5f19-41b9-99c8-fb0c9f4e6d2f,0,1,0,0,1
5ee4db65-ba42-449a-81dd-cc9a33fa52fd,0,1,0,0,1
5f165059-9996-4c2a-9900-6558b60b5fd3,0,1,0,0,1
613dd590-7cad-4ae3-8feb-d699a26ff6d7,0,1,0,0,1
61c4946d-1832-4c8c-b150-86e7fbff3158,0,1,0,0,1
63fd0537-281f-4832-9ed2-aa2e118ea284,0,1,0,0,1
661fc4a1-e63c-4516-abb9-0b1492982a10,0,1,0,0,1
665e25fc-8433-41f2-9b7b-cec995579c15,0,1,0,0,1
67e3e1cf-f12b-4630-96af-850ff2e2cfd6,0,0,0,1,1
68cbeb4d-0606-40cd-86d7-8c2ec7040e8c,0,1,0,0,1
6e46e65e-3557-46f8-8433-c29278602daf,0,1,0,0,1
70262e4b-d198-420f-a333-e685dae6c48d,0,1,0,0,1
70eac5d9-373e-446c-a8e0-d60ed6f9adc5,0,1,0,0,1
71456522-7126-45d7-a35e-55dc2f4050c8,0,1,0,0,1
73161640-49fe-47b0-bc88-defdfcc5aa98,0,1,0,0,1
7706919a-64c0-4ede-b818-c069e02f2475,0,1,0,0,1
7719a951-a3ad-4802-b46b-251b54b268df,0,1,0,0,1
782cf68a-b826-4870-89b1-ca82698733ba,0,1,0,0,1
7bdf166f-4e3b-46db-9b04-89010fcc265b,0,2,0,0,2
80dfaf45-f5e8-4601-ae63-d31f5ef8b1a2,0,1,0,0,1
83d90b0b-4600-49a6-93b6-be0a1a55b73b,0,2,0,0,2
84e68518-e0cf-4af0-bcea-5ebd77e07ec1,0,3,0,0,3
84f9cbce-9720-4bbf-a5a9-89e4e4d4334c,0,1,0,0,1
8622344f-4d5d-4272-8f3d-317ca28f09a9,0,1,0,0,1
8662e992-4e6b-4fb1-ae8b-7f6709b8aa51,0,1,0,0,1
872307a9-1439-42a0-ad55-fdbb5ec3a9be,0,2,0,0,2
8ab7d13f-db9a-48c1-9c93-e0495ffd6bbf,0,2,0,0,2
8ce4b250-5e82-488d-8d8a-83df1992975d,0,2,0,0,2
90a8c273-bce0-4db4-8688-695f24b4a4d1,0,1,0,0,1
9160a375-09e7-4b2e-b08d-ed3d7b942fdb,0,2,0,0,2
9654825d-0014-44a7-ae35-004c8f27e4b7,0,1,0,0,1
96c587a4-5d2a-486e-b890-be7b2219bd0b,0,1,0,0,1
977fa7d1-f1e7-4a85-850e-f02534e1dde0,0,1,0,0,1
9873e194-2c31-4c8e-9b02-fd26b1eda73d,0,1,0,0,1
9a097231-299f-4227-8ed5-17d3375dd569,0,1,0,0,1
9aa947a3-2d0f-4c21-adb9-8c213173830e,0,1,0,0,1
9d5ffa9b-655c-455a-8d83-7e1df3663638,0,1,0,0,1
9e9277fa-b104-4e8c-9350-b19ce1c7d09a,0,1,0,0,1
9fd660f0-12ab-43d0-bb19-c1a985e63f32,0,1,0,0,1
a2ede2f3-3d0c-4f53-93c1-8f7d0e03df8b,0,1,0,0,1
a3e4dbf2-88be-4ce3-8676-4d63715b0afa,0,1,0,0,1
a8b16e60-4548-46ea-80fb-c1a2d078af42,0,1,0,0,1
a9eaf4f4-9693-4bc0-b505-9a33cc0b06f9,0,1,0,0,1
ab2e8beb-4a1c-4f19-89f2-8cef6e706584,0,1,0,0,1
ad22d03e-3261-41f4-ad25-42a65672847c,0,2,0,0,2
ad4aa284-bab9-4462-9db0-52a37c380f4b,0,1,0,0,1
aed9d8b7-bf85-45dc-ace1-07d969d72f1e,0,1,0,0,1
b115dc9f-55ce-4723-966b-059c04b5274e,0,2,0,0,2
b254eff1-3415-4db4-b8f5-63800c0c4f00,0,2,0,0,2
b2b4a61a-086e-4fb9-96ed-1374ca807d73,0,1,0,0,1
b33d44f4-68ec-4bfb-a5d8-b6383a737e60,0,2,0,0,2
b7f6ad0a-3519-4e87-8c58-10d09e60ed55,0,1,0,0,1
b95a26cb-041f-4db4-b516-7a4ea052bbe0,0,1,0,0,1
b9c412e9-312e-41ee-8c37-df29d48be3e2,2,0,0,0,2
b9c4e034-8660-4a0b-a32d-bc6ed95b0720,0,1,0,0,1
b9e03283-fd0b-4571-b92d-7e40492d4fe2,0,1,0,0,1
b9fdffc5-012f-4f55-a254-16159149b236,0,1,0,0,1
ba4f2d33-2543-497c-abfd-b4ad939c771a,0,1,0,0,1
bd09ec7a-63ed-4ac1-9884-f25513dfa8cc,0,1,0,0,1
bf556ba1-7b95-4f5c-8ca9-92b3c56f3827,0,1,0,0,1
c16bd6b5-fee2-4da1-94b0-269c9eeca364,0,2,0,0,2
c4cf9f7b-0ecd-4179-b466-c19ccf9d6ced,0,1,0,0,1
c5d95a6a-ea6c-45d8-98dc-2b2bd8698cc8,0,2,0,0,2
cbac5470-adb4-45f2-86b4-84e4a8d17010,0,1,0,0,1
cd1e724a-7a0e-49e6-9d0e-6cb0bb1c422a,0,1,0,0,1
cd7b6c8e-ce01-450b-862f-d5a73edf38c3,0,0,0,1,1
ce3e8d83-c889-4bbc-b5a6-b6122b918ee6,0,2,0,0,2
ce5f1d44-ee32-418d-a918-5a9cbc5d02e3,1,0,0,0,1
cedf51b3-89d8-416c-84b4-a147ea7d596f,1,0,0,0,1
cf3421f9-376e-4618-a305-0444e5889b02,0,1,0,0,1
cf41b654-1694-4cf9-857c-d46a76ad85c8,0,1,0,0,1
d04d031a-f29c-49aa-9198-f2afeeb12106,0,1,0,0,1
d2dea16c-3207-4365-82cc-3cf36bb79359,0,1,0,0,1
d4245a2c-4d29-4a0c-aa66-be16a1180566,0,1,0,0,1
d4fff337-7380-4f24-9a02-2ead8c1d56c4,0,1,0,0,1
d81a7597-40ae-4186-aa42-9e29ccf72539,0,1,0,0,1
d96a1b80-08c3-43f9-ae5b-9f85a33ee9ff,0,1,0,0,1
d98b9237-1c67-41f2-aa72-4f3159dc52dc,0,2,0,0,2
d9e97502-6c03-4798-91fe-a7ae089f6b80,0,1,0,0,1
df475daf-c5e5-4656-9957-d62cba06a8f2,0,1,0,0,1
e0af970b-d482-4855-bf32-8fd643217fc0,0,3,0,0,3
e16335f8-5f88-4a83-b582-607012dfae0e,0,1,0,0,1
e56cdff6-4315-4172-99f2-c73ad9822239,0,1,0,0,1
e5a49bd3-c824-4b5c-8ddb-520a38a386b1,0,2,0,0,2
e5a65146-4f81-4bb1-951d-2fcce440ebc9,0,1,0,0,1
e71fb64d-cf7d-449d-a711-a071cc43c368,1,0,0,0,1
e792fee3-56bb-4a92-8ce1-2155f9970612,0,1,0,0,1
ea9d63af-f442-4729-8e3f-7295252490fd,0,2,0,0,2
ec209468-95dc-4e69-be89-f5052c9b0de3,0,1,0,0,1
ee60ad76-d940-4127-9af3-61d20ff5ab91,0,2,0,0,2
ee94009c-b353-4b27-b75a-fed6aaa5299d,0,2,0,1,3
ef992618-ad9a-46f6-96f4-47437ef25fb5,0,1,0,0,1
f1d20f43-4d29-4781-91b7-060d5ec47a10,0,1,0,0,1
f6acd407-5310-4e16-9244-ada4e6d5157d,0,1,0,0,1
f7a4026a-db6f-478a-81c0-4f996216bbb4,1,0,0,0,1
f95a304f-d506-43b8-ab71-23a32eb67fb6,0,1,0,0,1
ff59c56e-a2bd-4d1e-b521-8b3e2becab79,1,0,0,0,1
