id,uuid
Andowa-Generosa,c6ad5043-bfed-43ab-a71d-2eddfaa69459
Antsino-Johannes-Hishidimbwa,7fb5f0fb-e1f2-476e-b41f-62ef7ce3deed
Appollus-Willem-Rudolf,97a9c14b-b201-497f-b1ea-3701a85cf389
Basson-Benedictus-Franciskus,125adad2-a6c9-4677-880f-bcd9de2ec8a6
Boois-Dawid,0a193b3b-b90c-448e-ac72-218bc389f41d
Booys-Steve-Biko,02f51d6b-21d1-4265-bf37-53a5d42f61da
Cloete-Herman-H,169bd9a6-692a-43ee-93c7-a8db3835fb83
Cloete-Samuel-Petrus,a5a50ea3-e866-4e81-b012-a5beb8361f68
Coma-Moses,4e3b66cb-2217-4047-b53f-3ec2f4f50d9b
Coma-Moses-DECEASED,4e3b66cb-2217-4047-b53f-3ec2f4f50d9b
Dax-Alfred-Stefanus,ac7001f2-1318-4c7b-8579-2c3f6102ac30
Diergaardt-Theo-Vivian,5b4aa06e-bacb-4f29-a0aa-d6b58005ac33
Dukeleni-Simon-Christy,ccafc378-21a4-48de-860c-25638af38376
Eiseb-Theofelus,6616e866-c5a6-4dca-82a5-405eaf57fba7
Ephraim-Paulus-Amukoshi,8abffe38-5633-4992-af7c-57c22f088f96
Esegiel-M-Uirab,61ce207d-93a9-4e93-839a-aefe27883dee
Gaobaeb-Hendrik,410c5b3d-70d5-4d3a-a802-351fa416e7c2
Ghauz-Fransina,e5b4132a-eb24-474a-88fd-6d6fdbac93d4
Gobs-Sebastiaan-Ignatius,1c3843a1-73b2-459d-8bd2-702091871475
Haingura-Ambrosius,0175fcd2-4a03-42ee-9cb9-ea444a773c59
Hakaye-Haikela-Jhonny,c5e3ca9c-55f3-4fce-92ec-3249ea9d6697
Hamutenya-Johannes-Tuhafeni,cd7a6814-bf7f-42d9-ab24-f307232be964
Hango-Asser,ab89f3b5-d4d5-43f0-bc16-1b2439f80642
Hendjala-Erasmus,ee0ae193-13c6-43d4-9b4e-4bddd56cba19
Hifitikeko-Lucas,79647f86-711b-4d1a-9e16-ec98c7b42301
Hishikushitja-Michael-Ndapamapedu,abc4d133-4201-4bde-8b95-3e2cf1ba0573
Hoveka-Wilfred-Uaonga,54db53b9-cda4-4ab5-90d5-943fdd74c148
Huiseb-Johannes-Sitore,70ba8853-a1e5-4ebf-89e1-159684b9d306
Josephine-Hamutwe-Kandjambanga,d44e5c1d-6fb8-4c4c-9ff2-41d627dad85b
Kaatura-Nehemia,8cd11500-ce12-4d04-b550-093792a5cc10
Kabula-Dorothy-Mareka,45e22e23-8a56-4895-8964-45350a3f9ce3
Kairabeb-Lazarus,283df88f-9229-486d-b77b-00934d18be77
Kaishungu-Shinana-Lonia,bddc0032-deee-4ece-9808-ee9e3e034bd4
Kaiyamo-Hosea-Nico,a328083e-0145-46e6-b4ba-724709ec2c1f
Kalipi-Werner,bbf79378-01ed-4bd2-94a3-38efbed15995
Kamanya-E-S-Vilho,b8ee6eb1-49ae-4f22-b182-b14734f128b4
Kandjii-Ambrosius,714abcba-742f-4b8b-bbfa-e0113b527b0e
Kanguatjivi-Cornelius-Vejama,25de4241-f8d1-42cd-9e4b-995c404be620
Kankoshi-Henok-Tangeni,eadd78df-d9dc-401b-944e-326ae86b3170
Kanyele-Titus,0db75ab4-a48c-4f47-be34-c8fb381522d3
Kapenambili-Isai-Paulus,294d2809-9f05-429f-bfe9-5f25841348f6
Kapere-Asser-Kuveri,dd2443f9-911c-43f4-ac4a-a331b41d7e5e
Kapirika-Servaius,7f36613c-8581-4228-9cc5-27a238ee765f
Karupu-Sebastiaan,f1d12d0a-0acf-4c94-b76a-35a3847c8332
Katamelo-Phillipus-Wido,c17c5661-f756-4ba1-9459-7ea25576e737
Kaujeua-Issaskar-Kaunako,4d2d100a-c8f2-45a1-a7bc-f21049030f65
Kaula-Betty-Beatrice,ef135125-4c34-44e4-ac37-33fd1893f939
