name,votes,area,term
Charmaine Scotty,340.033,Yaren,22
Kieren Keke,219.667,Yaren,22
Shadlog Bernicke,361.750,Buada,22
Jason Bingham Agir,306.083,Buada,22
Asterio Appi,248.633,Boe,22
Baron Waqa,246.134,Boe,22
Sean Oppenheimer,354.067,Anetan/Ewa,22
Cyril Buraman,326.399,Anetan/Ewa,22
Riddell Akua,263.531,Anabar/Ijuw/Anibare,22
Jaden Dogireiy,254.036,Anabar/Ijuw/Anibare,22
Tawaki Kam,519.022,Menen,22
Lionel Aingimea,436.223,Menen,22
Vodrick Detsiogo,337.260,Menen,22
David Adeang,542.361,Ubenide,22
Ranin Akua,497.212,Ubenide,22
Russ Kun,467.146,Ubenide,22
Valdon Dowiyogo,423.676,Ubenide,22
Milton Dube,395.567,Aiwo,22
Aaron Cook,391.350,Aiwo,22
