id,wikidata
nepali_congress,Q216660
communist_party_of_nepal_(unified_marxist-leninist),Q426963
unified_communist_party_of_nepal_(maoist),Q506537
"rastriya_prajatantra_party,_nepal",Q1782937
rastriya_prajatantra_party,Q2632719
tarai_madhesh_loktantrik_party,Q947974
communist_party_of_nepal_(marxist-leninist),Q974577
sadbhavana_party,Q3366312
rastriya_janamorcha,Q4589354
nepal_workers_peasants_party,Q1800560
"terai_madhesh_sadbhawana_party,_nepal",Q19604578
communist_party_of_nepal_(united),Q2090478
independent,Q327591
dalit_janajati_party,Q5211031
rastriya_janamukti_party,Q7295302
akhanda_nepal_party,Q15980896
nepa_rastriya_party,Q3366530
madhesh_samata_party_nepal,Q19604445
khambuwan_rastriya_morcha_nepal,Q19604436
